#漢字	音標	解釋
多	tɔ55	多：～少
拖	tʰɔ55	拖：～拉机
他	tʰa33	他：其～
駝	tʰɔ21	驼：骆～
哪	na21	哪：～吒
羅	lɔ21	罗：姓
左	tsɔ35	左：～右
哥	kɔ55	哥：大～，学生～
可	hɔ35	可：～能，许～证
鵝	ŋɔ21	鹅：天～
我	ŋɔ35	我：自～[文]
我	ŋɔ35	我：涯，第一人称[白]
餓	ŋɔ44	饿：饥～
河	hɔ21	河：黄～
賀	hɔ33	贺：祝～，～礼
阿	a33	阿：～爸
茄	kʰiɛ21	茄：茄子；番～
波	pɔ55	波：风～，～浪
破	pʰɔ33	破：～坏
婆	pʰɔ21	婆：老～
磨	mɔ21	磨：石～[名]
朶	tɔ35	朵：一～花，花～
糯	nɔ33	糯：～米
坐	tsʰɔ35	坐：～车，～稳
座	tsɔ33	座：～位，上～
簑	sɔ55	蓑：棕～，～衣
鎖	sɔ35	锁：～匙
果	kɔ35	果：水～
過	kɔ33	过：～去，～头
科	fɔ55	科：～学，文～
課	fɔ33	课：上～
火	fɔ35	火：着～，～车
貨	fɔ33	货：～车，百～
禾	uɔ21	禾：割～，～苗
靴	he33	靴：皮～
巴	pa55	巴：～掌，～结，～黎
把	pa35	把：～握，～脉
霸	pa33	霸：恶～，～王
怕	pʰa33	怕：害怕，惊～
爬	pʰa21	爬：～树
麻	ma21	麻：天～，～烦
馬	ma35	马：骑～，～虎
拿	na21	拿：～手，推～
茶	tʰa21	茶：～叶
渣	tsa55	渣：药～
炸	tsa33	炸：～药
査	tsʰa21	查：调～
沙	sa55	沙：泥～，～漠
家	ka55	家：老～，～庭
假	ka35	假：真～，～设
架	ka33	架：书～
牙	ŋa21	牙：～齿，刷～
蝦	ha55	虾：鱼～，～公
下	ha33	下：～背，底～
下	ha33	下：～降，～流
啞	a35	哑：哑巴，～佬
姐	tse35	姐：小～[文]
借	tse33	借：～钱
且	tsʰe35	且：而～，况～
寫	se35	写：～字
斜	tsʰe21	斜：不正
謝	tse33	谢：多～；姓
遮	tse55	遮：遮挡[动]；伞[名]
者	tse35	者：记～，作～
蔗	tse33	蔗：甘蔗
車	tsʰe55	车：火～
扯	tsʰe35	扯：～开，～烂
蛇	se21	蛇：毒～
射	se33	射：发～，～箭
捨	se35	舍：～唔得（舍不得）
社	se35	社：～会，公～
惹	je35	惹：～事
爺	je21	爷：父亲；爷爷[文]
野	je35	野：～人
夜	je33	夜：日～，～班
傻	sɔ21	傻：～瓜，～子
瓜	ka33	瓜：西～，～分
誇	kʰa33	夸：～大，～张
瓦	ŋa35	瓦：～片
花	fa33	花：开～
華	ua21	华：中～
補	pu35	补：～鞋，～充
布	pu33	布：红～，～料
部	pu33	部：～队，干～
步	pu33	步：跑～
模	mu21	模：～型，～范
墓	mu33	墓：坟～，～地
都	tu55	都：都是
賭	tu35	赌：～博
土	tʰu35	土：～地
圖	tʰu21	图：画～，地～
