#漢字	音標	解釋
多	tou45	多
拖	tʰou45	拖
他	tʰa45	他
駝	tʰou12	駝
舵	tʰou12	舵
大	tʰai31	大
挪	na31	挪
哪	na12	哪
哪	na12	哪
那	na31	那
羅	lou12	羅
鑼	luo12	鑼
籮	luo12	箩
左	tʃou31	左
佐	tʃou31	佐
歌	kou45	歌
哥	kou45	哥
個	kɔ51	個
個	ti31	個
可	hou31	可
蛾	ŋou21	蛾
鵝	ŋou12	鵝
俄	ŋou21	俄
我	ŋai12	我
我	ŋai12	我
餓	ŋou31	餓
荷	hou12	荷
荷	kʰai45	荷
河	hou12	河
何	hou12	何
賀	hou31	賀
阿	ou45	阿
阿	a45	阿
茄	kiɛ12	茄
茄	ka45	茄
波	pou45	波
菠	pou45	菠
跛	pei45	跛
簸	pɔi51	簸
簸	pou45	簸
坡	pou45	坡
玻	pou45	玻
破	pʰou51	破
婆	pʰou12	婆
薄	pɔk055	薄
魔	mou45	魔
磨	mou21	磨
磨	mou21	磨
摩	mou45	摩
磨	mou31	磨
朶	tœ31	朶
躱	miɛt021	躱
刴	tɔk055	刴
妥	tʰou12	妥
橢	tʰou12	椭
糯	nou31	糯
騾	lœy12	騾
螺	lou12	螺
腡	lou12	腡
囉	lou45	囉
銼	tsʰœ51	銼
坐	tsʰou45	坐
座	tsʰou45	座
簑	sou45	簑
梭	sou45	梭
唆	sɔ31	唆
鎖	sou31	鎖
瑣	sou31	瑣
戈	kʰou45	戈
果	kou31	果
裹	kou31	裹
過	kou51	過
科	fou45	科
棵	pʰou45	棵
課	fou51	課
臥	ŋou51	臥
火	fou31	火
夥	fou31	夥
貨	fou51	貨
和	fou12	和
和	fou12	和
禾	vou12	禾
禍	vou12	禍
和	fou12	和
窩	vou45	窩
巴	pa45	巴
芭	pa45	芭
疤	pa45	疤
把	pa31	把
霸	pa51	霸
壩	pa51	壩
吧	pa45	吧
垻	pa51	垻
爸	pa45	爸
怕	pʰa51	怕
爬	pʰa12	爬
琶	pʰa12	琶
杷	pʰa12	杷
耙	pʰa12	耙
麻	ma12	麻
痲	ma12	痲
蟆	mou45	蟆
媽	ma45	媽
媽	ma45	媽
馬	ma45	馬
碼	ma45	碼
罵	ma51	罵
拿	na31	拿
茶	tsʰa12	茶
楂	tsa45	楂
渣	tsa45	渣
詐	tsa51	詐
榨	tsa51	榨
炸	tsa51	炸
叉	tsʰa45	叉
杈	a45	杈
差	tsʰa45	差
岔	tsʰa51	岔
査	tsʰa12	查
沙	sa45	沙
紗	sa45	紗
灑	sa31	灑
廈	ha45	廈
痧	sa45	痧
家	ka45	家
砂	sa45	砂
加	ka45	加
痂	ka45	痂
嘉	ka45	嘉
假	ka31	假
賈	ka31	賈
假	ka31	假
架	ka51	架
駕	ka51	駕
嫁	ka51	嫁
稼	ka51	稼
價	ka31	價
牙	ŋa12	牙
芽	ŋa12	芽
衙	ŋa12	衙
雅	ŋa12	雅
蝦	ha45	蝦
嚇	hak022	嚇
霞	ha12	霞
蝦	ha45	蝦
下	ha31	下
下	ha45	下
夏	ha31	夏
廈	ha31	廈
下	ha31	下
夏	ha31	夏
鴉	a45	鴉
丫	a45	丫
椏	a45	椏
啞	a31	啞
亞	a51	亞
姐	tsiɛ45	姐
