#漢字	音標	解釋
多	tou55	多：～少
拖	tʰɔ55	拖：～拉机
他	tʰa55	他：其～
駝	tʰɔ21	驼：骆～
舵	tʰɔ21	舵：～手
大	tai21	大：～夫，～黄
挪	nɔ21	挪：～用公款
哪	na21	哪：～里
哪	na21	哪：～吒
羅	lɔ21	罗：姓
鑼	lɔ21	锣：～鼓
籮	lɔ55	箩：～筐
左	tsɔ35	左：～右
佐	tsɔ322	佐：辅～
歌	kɔ55	歌：唱～，～声
哥	kɔ55	哥：大～，学生～
個	kɔ322	个：两～，～别
個	kɔ322	个：我～（我的）
可	hɔ35	可：～能，许～证
蛾	ŋɔ21	蛾：飞～扑火
鵝	ŋɔ551	鹅：天～
俄	ŋɔ21	俄：～罗斯
我	ŋɔ13	我：自～[文]
我	ŋɔ13	我：涯，第一人称[白]
餓	ŋɔ21	饿：饥～
荷	hɔ21	荷：～花；薄～
荷	hɔ21	荷：挑，～担，～东西[白]
河	hɔ21	河：黄～
何	hɔ21	何：姓；如～
賀	hɔ21	贺：祝～，～礼
阿	ɔ55	阿：～胶；～弥陀佛
阿	322	阿：～爸
茄	kʰɛ35	茄：茄子；番～
茄	ka55	茄：雪～
波	pɔ55	波：风～，～浪
菠	pɔ55	菠：～菜
跛	pʰei21	跛：～脚（跛足）[训]
簸	pui322	簸：～箕甲（蛇），～谷
頗	pɛ35	颇：～有心得，偏～
坡	pɔ55	坡：山～，～度
玻	pɔ55	玻：～璃
破	pʰɔ322	破：～坏
婆	pʰɔ21	婆：老～
薄	pɔk021	薄：～荷
魔	mɔ55	魔：～术，～鬼
磨	mɔ21	磨：～刀，水～[动]
磨	mɔ21	磨：～豆浆[动]
摩	mɔ55	摩：～擦，按～
磨	mɔ21	磨：石～[名]
朶	tœ35	朵：一～花，花～
躱	tɔ35	躲：～避，～开
刴	sœk032	剁：～猪肉，～肉丸[训]
妥	tʰɔ35	妥：～当
橢	tʰɔ21	椭：～圆
惰	tɔ21	惰：～性
糯	nɔ21	糯：～米
螺	lɔ21	螺：田～
腡	wɔ551	脶：手指纹
囉	lɔ55	啰：喽～，～嗦
裸	lɔ35	裸：～体
銼	tsɔ21	锉：～刀
坐	tsʰɔ13	坐：～车，～稳
座	tsɔ21	座：～位，上～
梭	sɔ55	梭：穿～，～子蟹
唆	sɔ55	唆：～使
鎖	sɔ35	锁：～匙
瑣	sɔ35	琐：～碎，烦～
戈	kʰɔ55	戈：干～，～壁
果	kuɔ35	果：水～
裹	kuɔ35	裹：包～
過	kuɔ322	过：～去，～头
科	fɔ55	科：～学，文～
棵	lɔ35	棵：一～树
顆	lɔ35	颗：一～珍珠，～粒
課	fɔ322	课：上～
臥	ŋɔ21	卧：～室，～铺
火	fɔ35	火：着～，～车
夥	fɔ35	伙：合～，～计
貨	fɔ322	货：～车，百～
和	wɔ21	和：～平，～气[文]
和	wɔ21	和：～尚[白]
禾	wɔ21	禾：割～，～苗
禍	wɔ21	祸：大～临头，～害
和	wɔ21	和：唱～，～诗
倭	wɔ55	倭：～寇
窩	wɔ55	窝：～囊废，～藏
靴	hœ55	靴：皮～
巴	pa55	巴：～掌，～结，～黎
芭	pa55	芭：～蕉，～蕾
疤	pa55	疤：伤～
把	pa35	把：～握，～脉
霸	pa322	霸：恶～，～王
壩	pa322	坝：堤，溪～
吧	pa55	吧：酒～
垻	pa322	坝：平地，湖洋～
爸	pa21	爸：爸爸
怕	pʰa322	怕：害怕，惊～
帕	pʰa322	帕：手～
