#漢字	音標	解釋
多	tɔ55	多：～少
拖	tʰɔ55	拖：～拉机
他	tʰa55	他：其～
駝	tʰɔ31	驼：骆～
舵	tʰɔ31	舵：～手
大	tai31	大：～夫，～黄
挪	nɔ31	挪：～用公款
哪	na214	哪：～里
哪	na31	哪：～吒
那	na214	那：～里；姓
羅	lɔ31	罗：姓
鑼	lɔ31	锣：～鼓
籮	lɔ31	箩：～筐
左	tsɔ214	左：～右
佐	tsɔ31	佐：辅～
歌	kɔ55	歌：唱～，～声
哥	kɔ55	哥：大～，学生～
個	kɔ51	个：两～，～别
個	kɔ51	个：我～（我的）
可	hɔ214	可：～能，许～证
蛾	ŋɔ31	蛾：飞～扑火
鵝	ŋɔ31	鹅：天～
俄	ŋɔ31	俄：～罗斯
我	ŋɔ214	我：自～[文]
我	ŋɔ214	我：涯，第一人称[白]
餓	ŋɔ31	饿：饥～
荷	hɔ31	荷：～花；薄～
荷	hɔ51	荷：挑，～担，～东西[白]
河	hɔ31	河：黄～
何	hɔ31	何：姓；如～
賀	hɔ31	贺：祝～，～礼
阿	ɔ55	阿：～胶；～弥陀佛
阿	a51	阿：～爸
茄	kʰɛ214	茄：茄子；番～
茄	ka55	茄：雪～
波	pɔ55	波：风～，～浪
菠	pɔ55	菠：～菜
跛	pei55	跛：～脚（跛足）[训]
簸	pɔ51	簸：～箕甲（蛇），～谷
簸	pɔ214	簸：颠～
坡	pɔ55	坡：山～，～度
玻	pɔ55	玻：～璃
破	pʰɔ51	破：～坏
婆	pʰɔ31	婆：老～
薄	pɔk022	薄：～荷
魔	mɔ55	魔：～术，～鬼
磨	mɔ31	磨：～刀，水～[动]
磨	mɔ31	磨：～豆浆[动]
摩	mɔ55	摩：～擦，按～
磨	mɔ31	磨：石～[名]
朶	tœ214	朵：一～花，花～
躱	tɔ214	躲：～避，～开
刴	tet055	剁：～猪肉，～肉丸[训]
妥	tʰɔ214	妥：～当
橢	tʰɔ214	椭：～圆
惰	tɔ31	惰：～性
糯	nɔ31	糯：～米
騾	ləʏ31	骡
螺	lɔ214	螺：田～
腡	lɔ214	脶：手指纹
囉	lɔ55	啰：喽～，～嗦
裸	lɔ214	裸：～体
銼	tsʰɔ51	锉：～刀
坐	tsʰɔ214	坐：～车，～稳
座	tsɔ31	座：～位，上～
簑	sɔ55	蓑：棕～，～衣
梭	sɔ55	梭：穿～，～子蟹
唆	sɔ55	唆：～使
鎖	sɔ214	锁：～匙
瑣	sɔ214	琐：～碎，烦～
戈	kʰɔ55	戈：干～，～壁
果	kuɔ214	果：水～
裹	kuɔ214	裹：包～
過	kuɔ51	过：～去，～头
科	fɔ55	科：～学，文～
棵	pʰœ55	棵：一～树
課	fɔ51	课：上～
訛	ŋɔ31	讹：～诈，以～传～
臥	ŋɔ31	卧：～室，～铺
火	fɔ214	火：着～，～车
夥	fɔ214	伙：合～，～计
貨	fɔ51	货：～车，百～
和	uɔ31	和：～平，～气[文]
和	uɔ31	和：～尚[白]
禾	uɔ13	禾：割～，～苗
禍	ɔ214	祸：大～临头，～害
窩	uɔ55	窝：～囊废，～藏
靴	hœ55	靴：皮～
巴	pa55	巴：～掌，～结，～黎
芭	pa55	芭：～蕉，～蕾
疤	pa55	疤：伤～
把	pa214	把：～握，～脉
霸	pa51	霸：恶～，～王
壩	pa51	坝：堤，溪～
吧	pa55	吧：酒～
垻	pa51	坝：平地，湖洋～
爸	pa55	爸：爸爸
怕	pʰa51	怕：害怕，惊～
帕	pʰak033	帕：手～
爬	pʰa31	爬：～树
琶	pʰa31	琶：琵～
杷	pʰa31	杷：枇～
耙	pa13	耙：犁耙
麻	ma31	麻：天～，～烦
痲	ma31	痲：出～（得痳疹），～风
蟆	mɔk031	蟆：蛤～（蟾蜍）
媽	ma55	妈：妈妈
媽	ma55	妈：～祖
馬	ma214	马：骑～，～虎
碼	ma214	码：～头，大～
罵	ma31	骂：～人
拿	na31	拿：～手，推～
茶	tsa13	茶：～叶
楂	tsa55	楂：山～
渣	tsa55	渣：药～
詐	tsa51	诈：～骗
榨	tsa51	榨：～菜，～油
炸	tsa51	炸：～药
叉	tsʰa55	叉：刀～，～腰
杈	a55	杈：桠～，树～
差	tsʰa55	差：～别
岔	tsʰa55	岔：～路，三～路口
査	tsʰa31	查：调～
沙	sa55	沙：泥～，～漠
紗	sa55	纱：～布
灑	sa214	洒：～水
廈	ha31	厦：偏廈（厢房）
痧	sa55	痧：发～，刮～
家	ka55	家：老～，～庭
砂	sa55	砂：朱～，～纸
加	ka55	加：～工
痂	ka55	痂：结～
嘉	ka55	嘉：～宾
假	ka214	假：真～，～设
賈	ka214	贾：姓，～宝玉
假	ka214	假：放～，～期
架	ka51	架：书～
駕	ka51	驾：～驶证
嫁	ka51	嫁：～人
稼	ka31	稼：庄～，邓～先
價	ka51	价：～钱，～值
揢	kʰa55	揢：用虎口掐
牙	ŋa13	牙：～齿，刷～
芽	ŋa31	芽：豆～
衙	ŋa31	衙：～门
雅	ŋa214	雅：文～；～典（国名）
砑	ŋa31	砑：碾，～平，～碎
蝦	ha55	虾：鱼～，～公
嚇	hak031	吓：～人
霞	ha31	霞：晚～
瑕	ha31	瑕：～疵
蝦	ha55	虾：～蟆（蟾蜍）
下	ha31	下：～背，底～
下	ha31	下：取下，～下来
夏	ha31	夏：姓
廈	ha31	厦：～门，大～
下	ha214	下：～降，～流
夏	ha31	夏：春～秋冬
暇	ha214	暇：闲～
鴉	a55	鸦：老～，乌～，～片
丫	a55	丫：～鬟，～头
椏	a55	桠：～杈
啞	a214	哑：哑巴，～佬
亞	a51	亚：～洲，～军
姐	tsɛ214	姐：小～[文]
姐	tsɛ214	姐：姐姐[白]
借	tsɛ51	借：～钱
且	sɛ214	且：而～，况～
笡	tsʰɛ214	笡：斜，～～（歪斜的样子）
藉	tsek022	藉：～故，～口
些	sɛ55	些：一～
寫	sɛ214	写：～字
瀉	sɛ51	泻：腹～，一～千里
卸	sɛ51	卸：～货，推～
邪	tsʰɛ31	邪：～气，～门歪道
斜	tsʰɛ31	斜：倾～[文]
斜	tsʰɛ214	斜：不正[白]
謝	tsɛ31	谢：多～；姓
爹	tɛ55	爹：～娘
遮	tsɛ55	遮：遮挡[动]；伞[名]
者	tsɛ214	者：记～，作～
蔗	tsɛ51	蔗：甘蔗
車	tsʰɛ55	车：火～
扯	tsʰɛ214	扯：～开，～烂
蛇	sɛ13	蛇：毒～
射	sɛ31	射：发～，～箭
麝	sɛ31	麝：～香
奢	tsʰɛ55	奢：～侈
賒	sɛ51	赊：～帐
捨	sɛ214	舍：～唔得（舍不得）
赦	sɛ51	赦：～免
舍	sɛ51	舍：宿～
社	sɛ214	社：～会，公～
惹	jɛ214	惹：～事
耶	jɛ31	耶：～稣
爺	jɛ31	爷：父亲；爷爷[文]
也	ja214	也：～知
野	jɛ214	野：～人
夜	jɛ31	夜：日～，～班
傻	sɔ31	傻：～瓜，～子
瓜	kua55	瓜：西～，～分
蝸	ɔ55	蜗：～牛
寡	kua214	寡：～妇，守～
剮	kua214	剐：千刀万～
誇	kʰua55	夸：～大，～张
垮	kʰua55	垮：～台
跨	kʰua55	跨：～栏，～度
娃	a55	娃：洋～～
瓦	ŋa214	瓦：～片
花	fa55	花：开～
化	fa51	化：变～
華	ua31	华：中～
劃	ua55	划：～船
華	ua31	华：～山；姓
蛙	ua55	蛙：青～，～泳
補	pu214	补：～鞋，～充
譜	pʰu214	谱：族～，歌～
布	pu51	布：红～，～料
佈	pu51	布：公～，～置
鋪	pʰu51	铺：～路，床～
普	pʰu214	普：～通，～遍
浦	pu51	浦：黄～江
鋪	pʰu51	铺：店～，当～
怖	pu51	怖：恐～
蒲	pʰu31	蒲：（石）菖～
菩	pʰu31	菩：～萨
部	pu31	部：～队，干～
簿	pu31	簿：练习～，帐～
步	pu31	步：跑～
捕	pu31	捕：逮～，～快
埠	fɐu31	埠：开～
埠	fɐu31	埠：庵～，蚌～（地名）
模	mou31	模：～型，～范
摹	mou31	摹：～仿，描～
暮	mou31	暮：日暮
慕	mu31	慕：羡～，～名而来
墓	mu31	墓：坟～，～地
募	mou31	募：～捐
都	tu55	都：首～，～市
都	tu55	都：都是
堵	tu214	堵：～车，～塞
賭	tɐu214	赌：～博
肚	tʰou214	肚：猪～，鱼～
妬	tou31	妒：～忌
土	tʰou214	土：～地
吐	tʰou51	吐：～痰；呕～
兔	tʰou51	兔：野～
徒	tʰou31	徒：～弟
屠	tʰou31	屠：～杀
途	tʰou31	途：前～
塗	tʰou31	涂：糊～，～改
圖	tʰou31	图：画～，地～
杜	tou31	杜：姓；杜仲（中药）
肚	tʰou214	肚：肚子
度	tou31	度：～数，长～
渡	tou31	渡：偷～，摆～
鍍	tou31	镀：电～
奴	nɐu31	奴：～隶
努	nɐu214	努：～力
怒	nɐu31	怒：愤～，～气
盧	lou31	卢：姓
爐	lou31	炉：火～
蘆	lou31	芦：～苇
鸕	nɐu31	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lou214	鲁：～国，～迅
虜	lou31	虏：俘～
滷	lou214	卤：盐～，～水
路	lou31	路：大～
賂	lou31	赂：贿～
