#漢字	音標	解釋
多	tɔ55	多：～少
拖	tʰɔ55	拖：～拉机
他	tʰa55	他：其～
駝	tʰɔ31	驼：骆～
舵	tʰɔ31	舵：～手
大	tai31	大：～夫，～黄
挪	nɔ31	挪：～用公款
哪	na31	哪：～里
哪	na31	哪：～吒
那那	na31	那：～里；姓
羅	lɔ31	罗：姓
鑼	lɔ31	锣：～鼓
籮	lɔ31	箩：～筐
左	tsɔ215	左：～右
佐	tsɔ215	佐：辅～
歌	kᵊo55	歌：唱～，～声
哥	kᵊo55	哥：大～，学生～
個	kɔ52	个：两～，～别
個	kɔ52	个：我～（我的）
可	hɔ215	可：～能，许～证
蛾	ŋɔ31	蛾：飞～扑火
鵝	ŋɔ31	鹅：天～
俄	ŋɔ31	俄：～罗斯
我	ŋɔ215	我：自～[文]
我	ŋɔ215	我：涯，第一人称[白]
餓	ŋɔ31	饿：饥～
荷	hɔ31	荷：～花；薄～
荷	hɔ31	荷：挑，～担，～东西[白]
河	hɔ31	河：黄～
何	hɔ31	何：姓；如～
賀	hɔ31	贺：祝～，～礼
阿	a43	阿：～胶；～弥陀佛
阿	a43	阿：～爸
茄	kʰɛ215	茄：茄子；番～
茄	ka55	茄：雪～
波	pɔ55	波：风～，～浪
菠	pɔ55	菠：～菜
跛	pɔ55	跛：～脚（跛足）[训]
簸	pɔ43	簸：～箕甲（蛇），～谷
簸	pɔ55	簸：颠～
頗	pʰɔ215	颇：～有心得，偏～
坡	pɔ55	坡：山～，～度
玻	pɔ55	玻：～璃
破	pʰɔ52	破：～坏
婆	pʰɔ31	婆：老～
薄	pok031	薄：～荷
魔	mɔ55	魔：～术，～鬼
磨	mɔ31	磨：～刀，水～[动]
磨	mɔ31	磨：～豆浆[动]
摩	mɔ31	摩：～擦，按～
磨	mɔ31	磨：石～[名]
朶	tœ215	朵：一～花，花～
躱	tɔ215	躲：～避，～开
刴	tœ215	剁：～猪肉，～肉丸[训]
妥	tʰɔ215	妥：～当
橢	tʰɔ215	椭：～圆
唾	tsʰui31	唾：～弃，～液
惰	tɔ31	惰：～性
糯	nɔ31	糯：～米
騾	lui31	骡
螺	lɔ31	螺：田～
腡	lɔ31	脶：手指纹
囉	lɔ31	啰：喽～，～嗦
裸	lɔ215	裸：～体
銼	tsʰɔ43	锉：～刀
坐	tsʰɔ13	坐：～车，～稳
座	tsɔ52	座：～位，上～
簑	sui55	蓑：棕～，～衣
梭	sɔ55	梭：穿～，～子蟹
唆	sɔ55	唆：～使
鎖	sɔ215	锁：～匙
瑣	sɔ215	琐：～碎，烦～
戈	kʰᵊo55	戈：干～，～壁
果	kuɔ215	果：水～
裹	kuɔ215	裹：包～
過	kuɔ52	过：～去，～头
科	fɔ55	科：～学，文～
棵	pʰɔ55	棵：一～树
顆	lɔ215	颗：一～珍珠，～粒
課	fɔ43	课：上～
訛	ŋɔ31	讹：～诈，以～传～
臥	ŋɔ31	卧：～室，～铺
火	fɔ215	火：着～，～车
夥	fɔ215	伙：合～，～计
貨	fɔ52	货：～车，百～
和	uɔ31	和：～平，～气[文]
和	uɔ31	和：～尚[白]
禾	uɔ31	禾：割～，～苗
禍	uɔ13	祸：大～临头，～害
和	uɔ31	和：唱～，～诗
倭	uɔ55	倭：～寇
窩	uɔ55	窝：～囊废，～藏
瘸	kʰɛ215	瘸：不灵活，～手，～脚
靴	hœ55	靴：皮～
巴	pa55	巴：～掌，～结，～黎
芭	pa55	芭：～蕉，～蕾
疤	pa55	疤：伤～
把	pa215	把：～握，～脉
霸	pa43	霸：恶～，～王
壩	pa43	坝：堤，溪～
吧	pa55	吧：酒～
垻	pa43	坝：平地，湖洋～
爸	pa55	爸：爸爸
怕	pʰa52	怕：害怕，惊～
帕	pʰak043	帕：手～
爬	pʰa31	爬：～树
琶	pʰa31	琶：琵～
杷	pʰa31	杷：枇～
耙	pʰa31	耙：犁耙
麻	ma31	麻：天～，～烦
痲	ma31	痲：出～（得痳疹），～风
蟆	mok033	蟆：蛤～（蟾蜍）
媽	ma55	妈：妈妈
媽	ma55	妈：～祖
馬	ma215	马：骑～，～虎
碼	ma215	码：～头，大～
罵	ma52	骂：～人
拿	na31	拿：～手，推～
茶	tsʰa31	茶：～叶
楂	tsa55	楂：山～
渣	tsa55	渣：药～
詐	tsa52	诈：～骗
榨	tsa52	榨：～菜，～油
炸	tsa52	炸：～药
叉	tsʰa55	叉：刀～，～腰
杈	a55	杈：桠～，树～
差	tsʰa55	差：～别
岔	tsʰa52	岔：～路，三～路口
査	tsʰa31	查：调～
沙	sa55	沙：泥～，～漠
紗	sa55	纱：～布
灑	sa215	洒：～水
廈	ha31	厦：偏廈（厢房）
痧	sa55	痧：发～，刮～
家	ka55	家：老～，～庭
砂	sa55	砂：朱～，～纸
加	ka55	加：～工
痂	ka55	痂：结～
嘉	ka55	嘉：～宾
假	ka215	假：真～，～设
賈	ka215	贾：姓，～宝玉
假	ka215	假：放～，～期
架	ka52	架：书～
駕	ka52	驾：～驶证
嫁	ka52	嫁：～人
稼	ka52	稼：庄～，邓～先
價	ka52	价：～钱，～值
揢	kʰak031	揢：用虎口掐
牙	ŋa31	牙：～齿，刷～
芽	ŋa31	芽：豆～
衙	ŋa31	衙：～门
雅	ŋa215	雅：文～；～典（国名）
砑	ŋa31	砑：碾，～平，～碎
蝦	ha55	虾：鱼～，～公
嚇	hak052	吓：～人
霞	ha31	霞：晚～
瑕	ha31	瑕：～疵
蝦	ha55	虾：～蟆（蟾蜍）
下	ha31	下：～背，底～
下	ha31	下：取下，～下来
夏	ha31	夏：姓
廈	ha31	厦：～门，大～
下	ha31	下：～降，～流
夏	ha31	夏：春～秋冬
暇	ha31	暇：闲～
鴉	a55	鸦：老～，乌～，～片
丫	a55	丫：～鬟，～头
椏	a55	桠：～杈
啞	a215	哑：哑巴，～佬
亞	a33	亚：～洲，～军
姐	tsɛ215	姐：小～[文]
姐	tsɛ215	姐：姐姐[白]
借	tsɛ43	借：～钱
且	sɛ215	且：而～，况～
笡	tsʰɛ31	笡：斜，～～（歪斜的样子）
藉	tsek031	藉：～故，～口
些	sɛ55	些：一～
寫	sɛ215	写：～字
瀉	sɛ52	泻：腹～，一～千里
卸	sɛ52	卸：～货，推～
邪	tsʰɛ31	邪：～气，～门歪道
斜	tsʰɛ31	斜：倾～[文]
斜	tsʰɛ31	斜：不正[白]
謝	tsɛ31	谢：多～；姓
爹	tɛ55	爹：～娘
遮	tsɛ55	遮：遮挡[动]；伞[名]
者	tsɛ215	者：记～，作～
蔗	tsɛ43	蔗：甘蔗
車	tsʰɛ55	车：火～
扯	tsʰi215	扯：～开，～烂
蛇	sɛ31	蛇：毒～
射	sɛ31	射：发～，～箭
麝	sɛ31	麝：～香
奢	tsʰɛ55	奢：～侈
賒	sɛ55	赊：～帐
捨	sɛ215	舍：～唔得（舍不得）
赦	sɛ43	赦：～免
舍	sɛ43	舍：宿～
社	sɛ13	社：～会，公～
惹	jɛ215	惹：～事
耶	jɛ31	耶：～稣
爺	jɛ31	爷：父亲；爷爷[文]
也	ja13	也：～知
野	jɛ13	野：～人
夜	jɛ31	夜：日～，～班
傻	sɔ31	傻：～瓜，～子
瓜	kua55	瓜：西～，～分
蝸	uɔ55	蜗：～牛
寡	kua215	寡：～妇，守～
剮	kua215	剐：千刀万～
誇	kʰua55	夸：～大，～张
垮	kʰua55	垮：～台
跨	kʰua55	跨：～栏，～度
娃	ua55	娃：洋～～
瓦	ŋa215	瓦：～片
花	fua55	花：开～
化	fua52	化：变～
華	ua31	华：中～
劃	uak031	划：～船
華	ua31	华：～山；姓
蛙	ua55	蛙：青～，～泳
補	pou215	补：～鞋，～充
譜	pʰou215	谱：族～，歌～
布	pou43	布：红～，～料
佈	pou43	布：公～，～置
鋪	pʰou52	铺：～路，床～
普	pʰou215	普：～通，～遍
浦	pʰou215	浦：黄～江
鋪	pʰou55	铺：店～，当～
怖	pou43	怖：恐～
蒲	pʰou31	蒲：（石）菖～
菩	pʰou31	菩：～萨
脯	pʰou215	脯：胸～
部	pou31	部：～队，干～
簿	pok031	簿：练习～，帐～
步	pou31	步：跑～
捕	pou31	捕：逮～，～快
埠	fɐu31	埠：开～
埠	fɐu31	埠：庵～，蚌～（地名）
模	mou31	模：～型，～范
摹	mou31	摹：～仿，描～
暮	muk031	暮：日暮
慕	mou31	慕：羡～，～名而来
墓	mou31	墓：坟～，～地
募	mou31	募：～捐
都	tou55	都：首～，～市
都	tou55	都：都是
堵	tou215	堵：～车，～塞
賭	tou215	赌：～博
肚	tʰou13	肚：猪～，鱼～
妬	tou31	妒：～忌
土	tʰou215	土：～地
吐	tʰou52	吐：～痰；呕～
兔	tʰou52	兔：野～
徒	tʰou31	徒：～弟
屠	tʰou31	屠：～杀
途	tʰou31	途：前～
塗	tʰou31	涂：糊～，～改
圖	tʰou31	图：画～，地～
杜	tou31	杜：姓；杜仲（中药）
肚	tʰou13	肚：肚子
度	tou31	度：～数，长～
渡	tou31	渡：偷～，摆～
鍍	tou31	镀：电～
奴	nou31	奴：～隶
努	nou215	努：～力
怒	nou31	怒：愤～，～气
盧	lou31	卢：姓
