#漢字	音標	解釋
多	tɔ51	多：～少
拖	tʰɔ51	拖：～拉机
他	tʰa51	他：其～
駝	tʰɔ42	驼：骆～
哪	la13	哪：～吒
羅	lɔ42	罗：姓
左	ʦɔ35	左：～右
哥	kɔ55	哥：大～，学生～
可	hɔ35	可：～能，许～证
鵝	ŋɔ42	鹅：天～
我	ŋɔ13	我：自～[文]
我	ŋɔ13	我：涯，第一人称[白]
餓	ŋɔ22	饿：饥～
河	hɔ42	河：黄～
賀	hɔ22	贺：祝～，～礼
阿	a33	阿：～爸
茄	kʰɛ35	茄：茄子；番～
波	pɔ51	波：风～，～浪
破	pʰɔ33	破：～坏
婆	pʰɔ42	婆：老～
磨	mɔ42	磨：石～[名]
朶	tœ35	朵：一～花，花～
糯	nɔ22	糯：～米
坐	ʦʰɔ13	坐：～车，～稳
座	ʦʰɔ13	座：～位，上～
簑	sɔ51	蓑：棕～，～衣
鎖	sɔ35	锁：～匙
果	kwɔ35	果：水～
過	kwɔ33	过：～去，～头
科	fɔ55	科：～学，文～
課	fɔ33	课：上～
火	fɔ35	火：着～，～车
貨	fɔ33	货：～车，百～
禾	wɔ42	禾：割～，～苗
靴	hœ51	靴：皮～
巴	pa55	巴：～掌，～结，～黎
把	pa35	把：～握，～脉
霸	pa33	霸：恶～，～王
怕	pʰa33	怕：害怕，惊～
爬	pʰa42	爬：～树
麻	ma42	麻：天～，～烦
馬	ma13	马：骑～，～虎
拿	la42	拿：～手，推～
茶	ʦʰa42	茶：～叶
渣	tsa51	渣：药～
炸	ʦa33	炸：～药
査	ʦʰa42	查：调～
沙	sa51	沙：泥～，～漠
家	ka51	家：老～，～庭
假	ka35	假：真～，～设
架	ka35	架：书～
牙	ŋa42	牙：～齿，刷～
蝦	ha55	虾：鱼～，～公
下	ha22	下：～背，底～
下	ha22	下：～降，～流
啞	ŋa35	哑：哑巴，～佬
姐	ʦɛ35	姐：小～[文]
借	ʦɛ33	借：～钱
且	ʦʰɛ35	且：而～，况～
寫	sɛ35	写：～字
斜	ʦʰɛ42	斜：不正
謝	ʦɛ22	谢：多～；姓
遮	ʦɛ42	遮：遮挡[动]；伞[名]
遮	ʦɛ55	遮：遮挡[动]；伞[名]
者	ʦɛ35	者：记～，作～
蔗	ʦɛ33	蔗：甘蔗
車	ʦʰɛ51	车：火～
扯	ʦʰɛ35	扯：～开，～烂
蛇	sɛ42	蛇：毒～
射	sɛ22	射：发～，～箭
捨	sɛ35	舍：～唔得（舍不得）
社	sɛ13	社：～会，公～
惹	jɛ13	惹：～事
爺	jɛ42	爷：父亲；爷爷[文]
野	jɛ13	野：～人
夜	jɛ22	夜：日～，～班
傻	sɔ33	傻：～瓜，～子
瓜	kwa51	瓜：西～，～分
誇	kʰwa51	夸：～大，～张
瓦	ŋa13	瓦：～片
花	fa55	花：开～
華	wa42	华：中～
補	pou35	补：～鞋，～充
布	pou33	布：红～，～料
部	pou22	部：～队，干～
步	pou33	步：跑～
模	mou42	模：～型，～范
墓	mou22	墓：坟～，～地
都	tou55	都：都是
賭	tou35	赌：～博
土	tʰou35	土：～地
