#漢字	音標	解釋
多	tɔ51	多：～少
位	wɐi22	位：～置
司	si51	司：～令
隊	tøy24	队：排～
挨	ai51	挨：～近
夫	fu42	夫：～妻
蛙	wa51	蛙：～泳
冚	kʰɐm24	动词：盖住
睇	tʰɐi24	看
蠔	hou42	海蛎
煲	pou51	煲
攞	lɔ24	拿，取
咪	mɐi55	咪：麦克风
嘢	jɛ13	东西
乸	la24	雌性
孖	ma55	双
踎	mɐu51	蹲
慳	han51	节俭
梘	kɛn24	肥皂
諗	lɐm24	思考
奀	ɐn51	瘦小
烊	jœŋ13	融化
搵	wɐn24	找，寻找；挣（钱）
呃	ak055	欺骗
靚	lɛŋ33	漂亮
掟	tɛŋ33	丢，扔
轆	lok055	轮子
餸	soŋ33	菜肴
窿	loŋ55	窿：涵～（涵洞）
窿	loŋ55	窿：穿～（破洞）
癐	kui22	癐：累，疲乏
跔	mɐu51	跔：蹲；腿蜷曲
惶	fɔŋ42	惶：害怕
珓	pui51	珓：圣～
罅	la33	罅：缝，手指～
縈	kʰiu13	萦：～线（绕线）
噍	ʦiu22	噍：嚼
嫽	liu42	嫽：玩耍
啱	am55	啱：合适，恰巧
唔	ŋ42	唔：不
熝	lok022	熝：烫，～人
摝	lok022	摝：搅拌，～水
焗	kok022	焗：盐～鸡
瀝	lɛk022	沥：坑
壢	lɛk022	坜：地～（旱地）
擗	pʰɛk022	擗：扔弃
腈	ʦin24	腈：好，腈肉（瘦肉）
簕	lak022	簕：刺
斫	hɐm24	斫：砍，～树
桁	waŋ24	桁：檩子，承重的横木
腍	lɐm42	腍：绵软
腩	lam13	腩：肚～
竇	tɐu22	窦：鼻～炎；姓
竇	tɐu22	窦：鸟～
褸	lɐu55	褛：大～
髀	pi24	髀：大～（大腿）
脢	mui42	脢：背～（背部），～肉（背脊肉）
嫲	ma24	嫲：雌性
戟	kek055	戟：巴～（中药，鸡肠风）
坼	ʦʰak033	坼：裂开，爆～
踭	ʦaŋ51	踭：脚后跟，脚～
圳	ʦɐn33	圳：深～；田中小沟
詢	søn51	询：咨～，～问
逩	pɐn51	奔：投～
櫼	ʦin51	櫼：塞，挤
癲	tin51	癫：～鬼
健	kin22	健：～康
煞	sat033	煞：凶神恶～
