#漢字	音標	解釋
捱	ŋai11	捱 捱苦，捱打
崖	ŋai11	崖 悬崖
涯	ŋai11	涯 天涯
懈	hai31	懈 松懈
解	kai35	解 讲解
街	kai53	街 大街
佳	kai53	佳 佳节
曬	ʃai33	晒 晒谷
灑	ʃa35	洒 洒水
柴	tʃʰai11	柴 火柴
篩	ʃɐi55	筛 米筛
差	tʃʰai53	差 出差
釵	tʃʰai55	钗 宝钗；钗子
債	tʃai33	债 还债
奶	lai13	奶 奶奶
賣	mai31	卖 卖掉
買	mai13	买 买进
稗	pei35	稗 稗子
罷	pa31	罢 罢工
箄	pʰai11	排 竹排
牌	pʰai11	牌 牌坊
派	pʰai33	派 派出所
擺	pai35	摆 摇摆
挨	ŋai53	挨 挨近
械	hai31	械 机械
駭	hai13	骇 惊骇
諧	hai11	谐 和谐
楷	kai53	楷 楷书
揩	hai53	揩 揩油
戒	kai33	戒 戒指
屆	kai33	届 应届
疥	kai33	疥 疥疮
尬	kai33	尬 尴尬
芥	kai33	芥 芥菜
界	kai33	界 世界
介	kai33	介 介绍
階	kai53	阶 台阶
皆	kai53	皆 皆大欢喜
豺	tʃʰai11	豺 豺狼
齋	tʃai53	斋 吃斋
埋	mai11	埋 埋葬
排	pʰai11	排 排队
拜	pai33	拜 礼拜；拜佛
藹	ŋɔi35	蔼 和蔼
害	hɔi31	害 害人
艾	ŋai31	艾 艾草
丐	kɔi33	丐 乞丐
蓋	kʰɔi33	盖 盖子
蔡	tʃʰɔi33	蔡 姓
癩	lai31	癞 癞头
賴	lai31	赖 无赖
奈	lɔi31	奈 无奈
大	tai31	大 大小
泰	tʰai33	泰 泰山
太	tʰai33	太 太阳
帶	tai33	带 鞋带
沛	pʰui33	沛 充沛
貝	pui33	贝 宝贝
愛	ŋɔi33	爱 喜爱
埃	ŋai53	埃 尘埃
哀	ŋɔi53	哀 悲哀
亥	hɔi31	亥 辛亥革命
孩	hai11	孩 孩子
海	hɔi35	海 大海
礙	ŋɔi31	碍 妨碍
獃	ŋɔi11	呆 书呆子
咳	kʰɐt055	咳 咳嗽
慨	kʰɔi33	慨 感慨
凱	ŋɔi35	凯 凯旋
開	hɔi53	开 开门
溉	kʰɔi33	溉 灌溉
概	kʰɔi33	概 大概
改	kɔi35	改 修改
該	kɔi53	该 应该
賽	tʃʰɔi33	赛 比赛
鰓	ʃɔi53	鳃 鱼鳃
腮	ʃɔi53	腮 腮红
載	tʃɔi33	载 载重
在	tʃɔi31	在 现在
纔	tʃʰɔi11	才 刚才
裁	tʃʰɔi11	裁 裁缝
財	tʃʰɔi11	财 发财
材	tʃʰɔi11	材 材料
才	tʃʰɔi11	才 天才；才气
菜	tʃʰɔi33	菜 青菜
睬	tʃʰɔi35	睬 理睬
採	tʃʰɔi35	采 采摘；采集
彩	tʃʰɔi35	彩 彩色
踩	tʃʰai35	踩 踩死
猜	tʃʰai53	猜 猜谜
載	tʃɔi35	载 年载
再	tʃɔi33	再 再来
載	tʃɔi33	载 满载
宰	tʃɔi35	宰 宰相
栽	tʃɔi33	栽 栽种
災	tʃɔi53	灾 水灾
來	lɔi11	来 过来
耐	lɔi31	耐 耐心
乃	lai13	乃 人名用字
袋	tɔi31	袋 口袋
代	tɔi31	代 代表
怠	tʰɔi13	怠 怠慢
待	tɔi31	待 等待
抬	tʰɔi11	抬 担抬，两个人抬
苔	tʰɔi11	苔 青苔
臺	tʰɔi11	台 台湾
貸	tʰai33	贷 贷款
態	tʰai33	态 态度
胎	tʰɔi53	胎 双胞胎
戴	tai33	戴 戴帽
獃	ŋɔi11	呆 发呆
裕	jy31	裕 富裕
愉	jy11	愉 愉快
愈	jy31	愈 愈加；病愈
喩	jy11	喻 比喻
芋	wu31	芋 芋头
楡	jy11	榆 榆树
逾	jy31	逾 逾期
羽	jy13	羽 羽毛
蛀	tʃy33	蛀 虫蛀
注	tʃy33	注 注意
主	tʃy35	主 主人
珠	tʃy55	珠 珍珠
硃	tʃy53	朱 朱砂
朱	tʃy53	朱 姓
數	ʃou33	数 数学
數	ʃou35	数 数星星
住	tʃy31	住 住宿
柱	tʃʰy13	柱 柱子
廚	tʃʰy11	厨 厨房
註	tʃy33	注 注释
駐	tʃy33	驻 驻扎
株	tʃy53	株 守株待兔
蛛	tʃy55	蛛 蜘蛛
續	tʃʊk022	续 继续
誅	tʃy53	诛 天诛地灭
需	ʃ∅y53	需 需要
鬚	ʃou53	须 胡须
須	ʃ∅y53	须 必须
聚	tʃ∅y31	聚 聚会
趣	tʃʰ∅y33	趣 兴趣
娶	tʃʰ∅y35	娶 嫁娶
取	tʃʰ∅y35	取 取得
趨	tʃʰ∅y53	趋 趋势
屢	l∅y13	屡 屡教不改
霧	mou31	雾 大雾
務	mou31	务 任务
鵡	mou13	鹉 鹦鹉
侮	mou13	侮 侮辱
舞	mou13	舞 跳舞
武	mou13	武 武力
誣	mou11	诬 诬告
巫	mou11	巫 巫婆
無	mou11	无 没有；无中生有
附	fu11	附 附近
輔	fu31	辅 辅助
腐	fu31	腐 豆腐
父	fu31	父 父亲
芙	fu11	芙 芙蓉
扶	fu11	扶 扶手
符	fu11	符 符合
訃	fu31	讣 讣告
赴	fu31	赴 奔赴；赴汤蹈火
撫	fu35	抚 抚养
麩	fu53	麸 麦麸
孵	fu53	孵 孵小鸡
俘	fu53	俘 俘虏
敷	fu53	敷 敷药
咐	fu33	咐 吩咐
傅	fu31	傅 姓
賦	fu33	赋 天赋
付	fu31	付 应付
脯	pʰou35	脯 杏脯
斧	fu35	斧 斧头
甫	pʰou35	甫 杜甫
俯	fu35	俯 俯视
腑	fu35	腑 五脏六腑
府	fu35	府 广府
膚	fu53	肤 皮肤
夫	fu53	夫 夫妻
豫	jy31	豫 犹豫
預	jy31	预 预备
譽	jy31	誉 荣誉
與	jy13	与 给与；参与
餘	jy11	余 多余
余	jy11	余 姓
淤	jy35	淤 淤泥
於	jy53	于 在于
許	h∅y35	许 许多
噓	h∅y53	嘘 吹嘘
虛	hy53	虚 虚心
禦	jy31	御 驾御，防御
御	jy31	御 御用
漁	jy11	渔 渔业；渔场
語	jy13	语 语文
魚	jy13	鱼 金鱼
距	kʰ∅y13	距 距离
拒	kʰ∅y13	拒 拒绝
巨	ky31	巨 巨大
佢	kʰ∅y13	佢 他；她；它
渠	kʰy11	渠 水渠
去	hy33	去 来去
墟	hy53	墟 废墟
鋸	ky33	锯 电锯
據	k∅y33	据 收据
舉	ky35	举 举报
車	k∅y53	车 车马炮
居	k∅y53	居 居民
如	jy11	如 如果
薯	ʃy11	薯 番薯
署	ʃy13	署 署名；专署
墅	ʃ∅y13	墅 别墅
恕	ʃy33	恕 饶恕
庶	ʃy33	庶 庶民
鼠	ʃy35	鼠 老鼠
暑	ʃy35	暑 暑假
舒	ʃy53	舒 舒服
書	ʃy53	书 书本
處	tʃʰy33	处 处所
處	tʃʰy35	处 处理
煮	tʃy35	煮 煮饭
諸	tʃy53	诸 诸葛亮
疏	ʃɔ53	疏 注疏
所	ʃɔ35	所 所以
疏	ʃɔ53	疏 疏远
蔬	ʃɔ53	蔬 蔬菜
梳	ʃɔ53	梳 梳头
助	tʃɔ31	助 帮助
鋤	tʃʰɔ11	锄 锄头
礎	tʃʰɔ35	础 基础
楚	tʃʰɔ35	楚 清楚
初	tʃʰɔ53	初 初中
阻	tʃɔ35	阻 阻力
箸	tʃy33	箸 筷子；箸笼
儲	tʃʰy13	储 储蓄
除	tʃʰ∅y11	除 除法
褚	tʃy53	褚 姓
著	tʃy33	著 著名
胡	wu11	胡 二胡；姓
戽	fu33	戽 戽水
滸	wu35	滸 水浒传
虎	fu35	虎 老虎
呼	fu53	呼 呼吸
悟	ŋŋ̍31	悟 孙悟空
誤	ŋŋ̍31	误 错误
午	ŋŋ̍13	午 中午
伍	ŋŋ̍13	伍 队伍
五	ŋŋ̍13	五 第五
梧	ŋŋ̍11	梧 梧桐
吾	ŋŋ̍11	吾 我
蜈	ŋŋ̍11	蜈 蜈蚣
吳	ŋŋ̍11	吴 姓
褲	fu33	裤 裤子
庫	fu33	库 水库
苦	fu35	苦 吃苦
枯	ku53	枯 枯萎
顧	ku33	顾 照顾
雇	ku33	雇 雇主
固	ku33	固 固定
故	ku33	故 故事
蠱	ku35	蛊 蛊惑；整蛊
鼓	ku35	鼓 鼓励
股	ku35	股 股票
牯	ku35	牯 牛牯
估	ku35	估 估计
古	ku35	古 古代
辜	ku53	辜 无辜，辜负
箍	kʰu53	箍 紧箍咒
孤	ku53	孤 孤独
姑	ku53	姑 姑娘
塑	ʃɔk033	塑 塑像
訴	ʃou33	诉 告诉
素	ʃou33	素 吃素；朴素
酥	ʃou53	酥 酥油，酥饼
蘇	ʃou53	苏 苏州
錯	tʃʰɔ33	错 错误
措	tʃʰou33	措 措施
醋	tʃʰou33	醋 吃醋
粗	tʃʰou53	粗 粗心
做	tʃou31	做 做饭
組	tʃou35	组 组长
祖	tʃou35	祖 祖国
租	tʃou53	租 房租
鷺	lou31	鹭 白鹭
露	lou31	露 露水
賂	lou31	赂 贿赂
路	lou31	路 马路
滷	lou13	卤 卤水
虜	lou13	虏 俘虏
櫓	lou13	橹 摇船的工具
魯	lou13	鲁 鲁迅
鸕	lou11	鸬 鸬鹚
蘆	lou11	芦 芦苇
爐	lou11	炉 炉子
盧	lou11	卢 姓卢
怒	lou31	怒 发怒
努	lou13	努 努力
奴	lou11	奴 奴隶
鍍	tou31	镀 电镀
渡	tou31	渡 偷渡
度	tou31	度 忖度，度长
肚	tʰou13	肚 肚子，肚脐
杜	tou31	杜 杜仲；姓
圖	tʰou11	图 地图
塗	tʰou11	涂 泥涂，涂改
途	tʰou11	途 前途
屠	tʰou11	屠 屠杀
徒	tʰou11	徒 徒弟
兔	tʰou33	兔 兔子
吐	tʰou33	吐 吐痰
吐	tʰou33	吐 呕吐
土	tʰou35	土 土地
妒	tou31	妒 妒忌
肚	tʰou13	肚 猪肚（胃），鱼肚
賭	tou35	赌 赌博
堵	tou35	堵 堵车
都	tou53	都 首都
都	tou55	都 都是
募	mou31	募 募捐
慕	mou31	慕 羡慕
暮	mou31	暮 日暮
墓	mou31	墓 坟墓
摹	mou11	摹 摹仿
模	mou11	模 模型
模	mou11	模 模范
埠	fɐu31	埠 埠头
捕	pou31	捕 捕捉；捕快
步	pou31	步 跑步
簿	pou11	簿 帐簿
部	pou31	部 部队
葡	pʰou11	葡 葡萄
脯	pʰou35	脯 胸脯
菩	pʰu11	菩 菩萨
蒲	pʰou11	蒲 蒲团
怖	pou33	怖 恐怖
鋪	pʰou33	铺 店铺
浦	pʰou33	浦 浦江
普	pʰou35	普 普通
鋪	pʰou53	铺 铺设
佈	pou33	布 布置；公布
布	pou33	布 布匹，一块布
譜	pʰou35	谱 族谱
補	pou35	补 补衣服
窪	wa55	洼 低洼
蛙	wa55	蛙 青蛙
樺	wa11	桦 桦树
華	wa11	华 中华
劃	wak022	划 划船
華	wa11	华 华山
化	fa33	化 变化
花	fa53	花 开花
瓦	ŋa13	瓦 瓦片
跨	kwʰa53	跨 跨度
垮	kwʰa53	垮 垮台
誇	kwʰa53	夸 夸奖；夸张
剮	kwa35	剐 千刀万剐
寡	kwa35	寡 寡妇
蝸	wɔ53	蜗 蜗牛
瓜	kwa55	瓜 西瓜
耍	ʃa35	耍 玩耍
傻	ʃɔ31	傻 傻瓜
夜	ja31	夜 夜晚
野	ja13	野 野兔
也	ja13	也 也是
椰	ja11	椰 椰子
爺	ja11	爷 爷爷
耶	ja11	耶 耶酥
惹	ja13	惹 招惹
社	ʃia13	社 公社
佘	ʃia11	佘 佘太君
舍	ʃia33	舍 宿舍
赦	ʃia33	赦 赦免
捨	ʃia35	舍 舍得，舍弃
賒	tʃʰia53	赊 赊帐
奢	tʃʰia53	奢 奢侈
麝	ʃia31	麝 麝香
射	ʃia31	射 发射
蛇	ʃia11	蛇 毒蛇
扯	tʃʰia35	扯 拉扯
車	tʃʰia53	车 火车
者	tʃia35	者 记者
蔗	tʃia33	蔗 甘蔗
遮	tʃia55	遮 遮（伞，名词）
爹	tɛ55	爹 爹娘
謝	tʃia31	谢 谢谢；姓
斜	tʃʰia11	斜 斜线
邪	tʃʰia11	邪 邪气
卸	ʃia33	卸 卸货
瀉	ʃia33	泻 腹泻
寫	ʃia35	写 写字
些	ʃia53	些 一些
藉	tʃek022	藉 藉故，藉口
且	tʃʰia35	且 而且
借	tʃia33	借 借钱
亞	a33	亚 亚洲
姐	tʃia35	姐 姐姐
啞	ŋa35	哑 哑巴
椏	ŋa55	桠 桠杈
丫	ŋa53	丫 丫头
鴉	ŋa53	鸦 乌鸦
暇	ha11	暇 目不暇接，闲暇
夏	ha31	夏 姓夏
下	ha31	下 下面
廈	ha31	厦 高楼大厦，商厦
夏	ha31	夏 春夏
下	ha31	下 下降
蝦	ha55	虾 鱼虾
瑕	ha11	瑕 瑕疵
霞	ha11	霞 朝霞
嚇	hak033	吓 恐吓
?	ha55	虾 虾腰
蝦	ha55	虾 虾蟆（蛤蟆）
雅	ŋa13	雅 典雅
蚜	ŋa11	蚜 蚜虫（生在豆类、棉花、稻等幼苗上）
芽	ŋa11	芽 豆芽
衙	ŋa11	衙 衙门
牙	ŋa11	牙 牙齿
價	ka33	价 价钱
嫁	ka33	嫁 出嫁
稼	ka33	稼 庄稼
架	ka33	架 衣架
駕	ka33	驾 驾驶
賈	ka35	賈 姓，贾宝玉
假	ka33	假 放假
傢	ka53	家 家具
假	ka35	假 真假
嘉	ka53	嘉 嘉宾
加	ka53	加 加工
痂	ka53	痂 结痂
家	ka53	家 成家，老家
灑	ʃa35	洒 洒水
廈	ha31	厦 大厦；厦门
砂	ʃa53	砂 朱砂；砂纸
痧	ʃa53	痧 刮痧；斑痧
紗	ʃa53	纱 纱布
沙	ʃa53	沙 沙漠
乍	tʃa33	乍 初来乍到
査	tʃʰa11	查 调查
岔	tʃʰa55	岔 三岔路口
差	tʃʰa53	差 差别
杈	tʃʰa55	杈 枝杈
叉	tʃʰa55	叉 叉腰
榨	tʃa33	榨 榨油
炸	tʃa33	炸 炸弹
