#漢字	音標	解釋
拖	tʰua33	拖：～拉机
他	tʰa33	他：其～
駝	tʰɔʔ055	驼：骆～
舵	tua25	舵：～手
大	tua22	大：～夫，～黄
挪	na51	挪：～用公款
哪	na51	哪：～里
哪	na51	哪：～吒
那	na51	那：～里；姓
羅	lɔ55	罗：姓
鑼	lɔ55	锣：～鼓
籮	lɔ55	箩：～筐
左	tsɔ51	左：～右
佐	tsɔ51	佐：辅～
歌	kua33	歌：唱～，～声
歌	kɔ33	歌：唱～，～声
哥	kɔ33	哥：大～，学生～
個	kai55	个：两～，～别
個	kai22	个：我～（我的）
可	kʰɔ51	可：～能，许～证
蛾	ŋɔ55	蛾：飞～扑火
鵝	ɡɔ55	鹅：天～
俄	ŋɔ55	俄：～罗斯
我	ua51	我：自～[文]
我	ua51	我：涯，第一人称[白]
餓	ɡɔ22	饿：饥～
荷	ɔ55	荷：～花；薄～
河	hɔ55	河：黄～
何	hɔ55	何：姓；如～
賀	hɔ22	贺：祝～，～礼
阿	a33	阿：～胶；～弥陀佛
阿	a33	阿：～爸
茄	kiɛ55	茄：茄子；番～
茄	kia33	茄：雪～
波	pɔ33	波：风～，～浪
菠	pɔ33	菠：～菜
跛	kuai51	跛：～脚（跛足）[训]
簸	pua51	簸：～箕甲（蛇），～谷
簸	pua13	簸：颠～
頗	pʰua51	颇：～有心得，偏～
坡	pɔ33	坡：山～，～度
玻	pɔ33	玻：～璃
破	pʰua13	破：～坏
婆	pʰua55	婆：老～
薄	pɔʔ055	薄：～荷
魔	mɔ55	魔：～术，～鬼
磨	bɔ22	磨：～刀，水～[动]
磨	bua55	磨：～豆浆[动]
摩	mɔ55	摩：～擦，按～
磨	bɔ22	磨：石～[名]
朶	tɔ55	朵：一～花，花～
躱	tɔ55	躲：～避，～开
刴	tɔk021	剁：～猪肉，～肉丸[训]
妥	tʰɔ51	妥：～当
橢	tʰɔ33	椭：～圆
唾	sui33	唾：～弃，～液
惰	tuã25	惰：～性
糯	tsut055	糯：～米
騾	lɔ55	骡
螺	lɔ55	螺：田～
腡	lɔ55	脶：手指纹
囉	lɔ55	啰：喽～，～嗦
裸	lɔ51	裸：～体
銼	tsʰɔ13	锉：～刀
坐	tsɔ25	坐：～车，～稳
座	tsɔ22	座：～位，上～
簑	sui33	蓑：棕～，～衣
梭	sɔ33	梭：穿～，～子蟹
唆	sɔ33	唆：～使
鎖	sɔ51	锁：～匙
瑣	sɔ51	琐：～碎，烦～
戈	kʰɔ33	戈：干～，～壁
果	kuẽ51	果：水～
裹	kuẽ51	裹：包～
過	kue13	过：～去，～头
科	kʰue33	科：～学，文～
棵	kʰɔ33	棵：一～树
顆	lɔ51	颗：一～珍珠，～粒
課	kʰue13	课：上～
訛	hue13	讹：～诈，以～传～
臥	ɔ25	卧：～室，～铺
火	hue51	火：着～，～车
夥	hue51	伙：合～，～计
貨	hue13	货：～车，百～
和	hua55	和：～平，～气[文]
和	hua55	和：～尚[白]
禾	ta55	禾：割～，～苗
禍	hua25	祸：大～临头，～害
和	hua55	和：唱～，～诗
倭	oi51	倭：～寇
窩	o33	窝：～囊废，～藏
瘸	kʰue33	瘸：不灵活，～手，～脚
靴	oi55	靴：皮～
巴	pa33	巴：～掌，～结，～黎
芭	pa33	芭：～蕉，～蕾
疤	pa33	疤：伤～
把	pa51	把：～握，～脉
霸	pa13	霸：恶～，～王
壩	pa13	坝：堤，溪～
吧	pa33	吧：酒～
垻	pa13	坝：平地，湖洋～
