#漢字	音標	解釋
多	tɔ44	多：～少
拖	tʰɔ44	拖：～拉机
他	tʰa44	他：其～
駝	tʰɔk033	驼：骆～
哪	na44	哪：～吒
羅	lɔ25	罗：姓
左	tsɔ23	左：～右
哥	kɔ44	哥：大～，学生～
可	kʰɔ23	可：～能，许～证
鵝	ŋɔ25	鹅：天～
我	ŋɔ25	我：自～[文]
我	ŋai23	我：涯，第一人称[白]
餓	ŋɔ51	饿：饥～
河	hɔ25	河：黄～
賀	hɔ51	贺：祝～，～礼
阿	a44	阿：～爸
茄	kʰiau25	茄：茄子；番～
波	pɔ44	波：风～，～浪
破	pʰɔ51	破：～坏
婆	pʰɔ25	婆：老～
磨	mɔ51	磨：石～[名]
朶	tɔ31	朵：一～花，花～
糯	nɔ51	糯：～米
坐	tsʰɔ44	坐：～车，～稳
座	tsʰɔ44	座：～位，上～
簑	sɔ44	蓑：棕～，～衣
鎖	sɔ23	锁：～匙
果	kuɔ23	果：水～
過	kuɔ51	过：～去，～头
科	kʰɔ44	科：～学，文～
課	kʰɔ51	课：上～
火	fɔ23	火：着～，～车
貨	fɔ51	货：～车，百～
禾	vɔ25	禾：割～，～苗
巴	pa44	巴：～掌，～结，～黎
把	pa23	把：～握，～脉
霸	pa51	霸：恶～，～王
怕	pʰa51	怕：害怕，惊～
爬	pʰa25	爬：～树
麻	ma25	麻：天～，～烦
馬	ma44	马：骑～，～虎
拿	ma44	拿：～手，推～
茶	tsʰa25	茶：～叶
渣	tsa44	渣：药～
炸	tsa51	炸：～药
査	tsʰa25	查：调～
沙	sa44	沙：泥～，～漠
家	ka44	家：老～，～庭
假	ka23	假：真～，～设
架	ka51	架：书～
牙	ŋa25	牙：～齿，刷～
蝦	ha25	虾：鱼～，～公
下	ha44	下：～背，底～
下	ha44	下：～降，～流
啞	a31	哑：哑巴，～佬
姐	tsia31	姐：小～[文]
借	tsia51	借：～钱
且	tsʰia31	且：而～，况～
寫	sia31	写：～字
斜	tsʰia51	斜：不正
謝	tsʰia51	谢：多～；姓
遮	tʃa44	遮：遮挡[动]；伞[名]
者	tʃa31	者：记～，作～
蔗	tʃa51	蔗：甘蔗
車	tʃʰa44	车：火～
扯	tʃʰa31	扯：～开，～烂
蛇	ʃa25	蛇：毒～
射	ʃa51	射：发～，～箭
捨	ʃa51	舍：～唔得（舍不得）
社	ʃa44	社：～会，公～
惹	ȵia44	惹：～事
爺	ja25	爷：父亲；爷爷[文]
野	ja23	野：～人
夜	ja51	夜：日～，～班
傻	sɔ25	傻：～瓜，～子
瓜	kua44	瓜：西～，～分
誇	kʰua44	夸：～大，～张
瓦	ŋua31	瓦：～片
花	fa44	花：开～
華	fa25	华：中～
補	pu31	补：～鞋，～充
布	pu51	布：红～，～料
部	pʰu51	部：～队，干～
步	pʰu51	步：跑～
模	mɔ25	模：～型，～范
墓	mu51	墓：坟～，～地
都	tɔu44	都：都是
賭	tu31	赌：～博
土	tʰu31	土：～地
圖	tʰu25	图：画～，地～
度	tʰu51	度：～数，长～
奴	nu25	奴：～隶
爐	lu25	炉：火～
滷	lu44	卤：盐～，～水
路	lu51	路：大～
租	tsu44	租：～金，出～
祖	tsu23	祖：～宗，～国
做	tsɔ51	做：～好事
粗	tsʰu44	粗：～心
蘇	su44	苏：～州；姓
姑	ku44	姑：大～
鼓	ku23	鼓：锣～，～励
故	ku23	故：～事，～乡
苦	kʰu23	苦：辛～，食～（吃苦）
苦	kʰu23	苦：～味
褲	kʰu51	裤：裤子
吳	m̩25	吴：姓
五	m̩23	五：数字
誤	ŋu51	误：～会，错～
虎	fu23	虎：老～
胡	fu25	胡：二～ ；姓
戶	fu51	户：～口
烏	vu44	乌：黑
女	ȵiu31	女：女人
呂	le25	吕：姓
慮	li51	虑：考～
徐	si25	徐：姓
序	si51	序：顺～
楚	tsʰu31	楚：清～
豬	tʃu44	猪：～肉
除	tʃʰu25	除：～法
初	tsʰu44	初：当～，～中
助	tsʰu51	助：帮～
梳	sɿ44	梳：梳子[名]；梳头[动]
煮	tʃu31	煮：～饭
處	tʃʰu31	处：～理，相～
書	ʃu44	书：读～
鼠	tʃʰu31	鼠：老～
薯	ʃu31	薯：番～
如	ʒu25	如：～果，假～
舉	ki31	举：～报，～重
鋸	kiu51	锯：电～
去	hi51	去：来～，过～
佢	ki25	佢：他，第三人称
巨	ki31	巨：～大，艰～
魚	ȵiu25	鱼：金～
語	ȵiu44	语：～文
虛	hi44	虚：～心
許	hiu31	许：允～；姓
餘	ʒu25	余：多～
預	ʒi25	预：～报，～备
夫	fu44	夫：～妻，车～
府	fu31	府：政～
斧	pu31	斧：～头
輔	fu31	辅：～导，～助
武	vu31	武：～器，～术
舞	vu31	舞：跳～
務	vu51	务：任～，～农
取	tsʰi31	取：～钱
趣	tsʰi51	趣：兴～
聚	tsʰip033	聚：～会
需	hi44	需：～要
柱	tʃʰu44	柱：柱子
住	tʃʰu51	住：～宿
朱	tʃu44	朱：姓
主	tʃu31	主：～人，地～
樹	ʃu51	树：～立，种～
區	kʰi44	区：地～，～别
具	kʰi51	具：～体
遇	ȵiu51	遇：遭～，相～，～到
雨	ʒu31	雨：落～，谷～，～水
臺	tʰɔi25	台：～湾
代	tʰɔi51	代：～替，～表
耐	nai51	耐：～力，～心，忍～
來	lɔi25	来：过～，～去
再	tsai51	再：～来
彩	tsʰai31	彩：～色
菜	tsʰɔi51	菜：煮～，青～
才	tsʰɔi25	才：人～，～气，秀～
賽	sai51	赛：比～
該	kai44	该：应～
改	kɔi31	改：修～，～正
開	kʰɔi44	开：公～，～门
海	hɔi31	海：大～
哀	ai44	哀：悲～
愛	ɔi51	爱：～情；要
帶	tai51	带：鞋～
大	tʰai51	大：大小
賴	lai51	赖：依～，无～；姓
艾	ŋei51	艾：艾草
害	hɔi51	害：～人
拜	pai51	拜：结～，礼～，～佛
排	pʰai25	排：～队
埋	me25	埋：～伏
齋	tsai44	斋：食～（吃斋）
階	kai44	阶：台～，～级
介	kai51	介：～绍，中～
擺	pai31	摆：摇～
派	pʰai51	派：正～，～出所
買	mai44	买：～卖
賣	mai51	卖：买～
柴	tsʰiau25	柴：姓；火～
街	ke44	街：～路
解	kai31	解：～释，讲～[文]
鞋	he25	鞋：布～
蟹	hai31	蟹：老～
矮	e31	矮：高矮
敗	pʰai51	败：失～
幣	pi51	币：人民～
例	li51	例：举～，～外
祭	tsi51	祭：～祀
制	tʃi51	制：～度
世	ʃe51	世：～界
藝	ȵi51	艺：～术，文～晚会
米	mi23	米：大米
低	te44	低：高～
底	te31	底：水～
梯	tʰɔi44	梯：楼～
體	tʰi31	体：～育，身～
題	tʰi25	题：～目，难～
蹄	tʰe25	蹄：马～
弟	tʰi51	弟：兄～[文]
弟	tʰe44	弟：弟弟，老～[白]
泥	ne25	泥：水～，地～（地板）
犁	le25	犁：耕田用具
禮	li44	礼：～貌
齊	tsʰe25	齐：整～，放～，来～[白]
西	si44	西：东西南北
洗	se31	洗：～菜，～衣机
細	se51	细：粗细，大小
雞	ke44	鸡：～公（公鸡）
計	ke51	计：～算，会～
溪	kʰe44	溪：～水
啟	kʰi31	启：～发
係	he51	系：是[白]
杯	pui44	杯：茶～
輩	pui51	辈：～分，长～
背	pɔi51	背：违～，后～
坯	pʰe44	坯：泥～，毛～房
配	pʰui51	配：分～，搭～
賠	pʰɔi25	赔：～钱
背	pʰɔi51	背：～书
梅	mui25	梅：～花
妹	mɔi51	妹：妹妹，姊～，老～
堆	tui44	堆：一～[量]，～放[动]
對	tui51	对：～错；成双成～
推	tʰui44	推：～荐，～动
退	tʰui51	退：后～，～步[文]
內	nui51	内：～行，～外
雷	lui25	雷：打～，～公；姓
催	tsʰui44	催：～促，～眠
罪	tsʰui51	罪：得～，犯～[文]
碎	sui51	碎：～布，破～
塊	kʰuai51	块：一～钱，～头
灰	fɔi44	灰：石～，～色
回	fui25	回：～想[文]
最	tsui51	最：～好
外	ŋuai51	外：～面
會	fui51	会：开～
會	vɔi51	会：～睡，～来
乖	kuai44	乖：小孩听话
怪	kuai51	怪：奇～
懷	fai25	怀：～疑
壞	fai51	坏：～人
