#漢字	音標	解釋
多	tɔ44	多：～少
拖	tʰɔ44	拖：～拉机
他	tʰa44	他：其～
駝	tʰɔ11	驼：骆～
舵	tʰɔ53	舵：～手
大	tʰai53	大：～夫，～黄
挪	nɔ11	挪：～用公款
哪	nai53	哪：～里
哪	na11	哪：～吒
那	na31	那：姓
羅	lɔ11	罗：姓
鑼	lɔ11	锣：～鼓
籮	lɔ11	箩：～筐
左	tsɔ31	左：～右
佐	tsɔ31	佐：辅～
歌	kɔ44	歌：唱～，～声
哥	kɔ44	哥：大～，学生～
個	kɔ31	个：两～，～别
個	kiɛ53	个：我～（我的）
可	kʰɔ31	可：～能，许～证
蛾	ŋɔ11	蛾：飞～扑火
鵝	ŋɔ11	鹅：天～
俄	ŋɔ11	俄：～罗斯
我	ŋɔ44	我：～们[文]
我	ŋai11	我：涯，第一人称[白]
餓	ŋɔ53	饿：饥～
荷	hɔ11	荷：～花；薄～
荷	kʰai44	荷：挑，～担，～东西[白]
河	hɔ11	河：黄～
何	hɔ11	何：姓；如～
賀	fɔ53	贺：祝～，～礼
阿	ɔ44	阿：～胶；～弥陀佛
阿	a44	阿：～爸
茄	ka44	茄：番～
茄	ka44	茄：雪～
波	pɔ44	波：风～，～浪
菠	pɔ44	菠：～菜
跛	pai44	跛：～脚（跛足）[训]
簸	pai53	簸：～箕，～谷
簸	pai53	簸：颠～
頗	pʰɔ44	颇：～有心得，偏～
坡	pɔ44	坡：山～，～度
玻	pɔ44	玻：～璃
破	pʰɔ53	破：～坏
婆	pʰɔ11	婆：老～
薄	pʰɔk5	薄：～荷
魔	mɔ11	魔：～术，～鬼
磨	mɔ11	磨：～刀[动]
磨	mɔ53	磨：～豆浆，水～[动]
摩	mɔ11	摩：～擦，按～
磨	mɔ53	磨：石～[名]
朶	tɔ31	朵：一～花，花～
躱	tɔ31	躲：～避，～开
刴	tau53	剁：～猪肉，～肉丸[训]
妥	tʰɔ31	妥：～当
橢	tʰɔ53	椭：～圆
唾	tʰɔ53	唾：～弃，～液
惰	tʰɔ53	惰：～性
糯	nɔ53	糯：～米
騾	lɔ11	骡
螺	lɔ11	螺：田～
腡	lɔ11	脶：手指纹
囉	lɔ11	啰：喽～，～嗦
裸	lɔ11	裸：～体
銼	tsʰɔ53	锉：～刀
坐	tsʰɔ44	坐：～车，～稳
座	tsʰɔ53	座：～位，上～
簑	sɔ44	蓑：棕～，～衣
梭	sɔ44	梭：穿～，～子蟹
唆	sɔ44	唆：～使
鎖	sɔ31	锁：～匙
瑣	sɔ31	琐：～碎，烦～
