#漢字	音標	解釋
多	tɔ44	多：～少
拖	tʰɔ44	拖：～拉机
他	tʰa44	他：其～
駝	tʰɔ22	驼：骆～
舵	tʰɔ52	舵：～手
大	tʰɑi52	大：～夫，～黄
挪	nɔ213	挪：～用公款
哪	na31	哪：～里
哪	na31	哪：～吒
那	na31	那：～里；姓
羅	lɔ213	罗：姓
鑼	lɔ213	锣：～鼓
籮	lɔ213	箩：～筐
左	tsɔ31	左：～右
佐	tsɔ31	佐：辅～
歌	kɔ44	歌：唱～，～声
哥	kɔ44	哥：大～，学生～
個	kɛ52	个：两～，～别
個	kɛ52	个：我～（我的）
可	kʰɔ31	可：～能，许～证
蛾	ŋɔ213	蛾：飞～扑火
鵝	ŋɔ213	鹅：天～
俄	ŋɔ213	俄：～罗斯
我	ŋɔ44	我：自～[文]
我	ŋɑi213	我：涯，第一人称[白]
餓	ŋɔ52	饿：饥～
荷	hɔ213	荷：～花；薄～
荷	kʰɑi34	荷：挑，～担，～东西[白]
河	hɔ213	河：黄～
何	hɔ213	何：姓；如～
賀	fɔ52	贺：祝～，～礼
阿	ɔ44	阿：～胶；～弥陀佛
阿	a44	阿：～爸
茄	tsʰiɑ22	茄：茄子；番～
茄	ka44	茄：雪～
波	pɔ44	波：风～，～浪
菠	pɔ44	菠：～菜
跛	pɑi34	跛：～脚（跛足）[训]
簸	pɑi52	簸：～箕甲（蛇），～谷
簸	pɑi52	簸：颠～
頗	pɔ31	颇：～有心得，偏～
坡	pɔ44	坡：山～，～度
玻	pɔ44	玻：～璃
破	pʰɔ52	破：～坏
婆	pʰɔ213	婆：老～
薄	pʰɔʔ055	薄：～荷
魔	mɔ213	魔：～术，～鬼
磨	mɔ213	磨：～刀，水～[动]
磨	mɔ52	磨：～豆浆[动]
摩	mɔ213	摩：～擦，按～
磨	mɔ52	磨：石～[名]
朶	tɔ213	朵：一～花，花～
躱	tɔ213	躲：～避，～开
刴	tɔ52	剁：～猪肉，～肉丸[训]
妥	tʰɔ213	妥：～当
橢	tʰɔ52	椭：～圆
唾	tʰɔ52	唾：～弃，～液
惰	tʰɔ52	惰：～性
糯	nɔ52	糯：～米
騾	lɔ213	骡
螺	lɔ213	螺：田～
腡	lɔ213	脶：手指纹
囉	lɔ213	啰：喽～，～嗦
裸	kʰɔ52	裸：～体
銼	tsʰɔ52	锉：～刀
坐	tsʰɔ34	坐：～车，～稳
座	tsʰɔ52	座：～位，上～
簑	sɔ44	蓑：棕～，～衣
梭	sɔ44	梭：穿～，～子蟹
唆	sɔ44	唆：～使
鎖	sɔ31	锁：～匙
