#漢字	音標	解釋
多	tou̯33	多：多少，多数
拖	tɔ33	拖：拖车，（拉，拉长），吐舌头是否说拖，拖鞋，拖拉机
他	ki33	他：其他
駝	tʰɔ22	驼：驼背，骆驼
馱	tʰɔ22	驮：驮东西（背负或扛在肩上），拿在手里。
舵	tʰɔ22	舵：船舵，舵手
大	tʰai52	大：大小，大学
挪	na22	挪：挪用公款，挪地方
哪	ai52	哪：哪里，哪吒
那	kai52	那：那里
羅	lɔ13	罗：姓
鑼	lɔ13	锣：锣鼓
籮	lɔ13	箩：箩筐，装稻谷用
蘿	lɔ13	萝：萝卜
左	tsɔ31	左：左手，左右
佐	tsɔ31	佐：辅佐，佐料
搓	tsʰai31	搓：搓手，搓绳子，搓衣服，搓麻将
娑	sa44	娑：婆娑
歌	kɔ44	歌：唱歌，歌曲
哥	kɔ44	哥：哥哥，老哥，哥们儿
個	tʂaʔ031	个：一个，这个。个人，个体户。
可	kʰɔ31	可：可以，许可证
蛾	ŋɔ22	蛾：飞蛾，夏天晚上集中到亮处的动物，似蝴蝶
鵝	ŋɔ22	鹅：一种家禽
俄	ŋɔ22	俄：俄国，苏俄
我	ŋai22	我：注意文白读
餓	au52	饿：肚子饿，饿他一顿，饿肚子
荷	hɔ22	荷：薄荷（有两种，做菜用、药用）
何	hɔ22	何：姓，哪里
河	hɔ22	河：一条河，黄河
荷	hɔ22	荷：荷花
荷	kʰai44	荷：挑担
賀	fɔ52	贺：姓，祝贺
阿	a33	阿：阿胶，阿弥陀佛
茄	kʰiu22	茄：茄子
波	pɔ33	波：波浪，风波
菠	pɔ33	菠：菠菜
簸	pin52	簸：簸一簸
跛	pai33	跛：跛足
播	pɔ31	播：传播，播种
簸	pin52	簸：簸箕
頗	pɔ33	颇：颇有心得，偏颇，廉颇
坡	pɔ33	坡：山坡，山体滑坡
玻	pɔ33	玻：玻璃
破	lain52	破：东西破了，破鱼肚，破坏
婆	pʰɔ22	婆：外婆，老太婆
薄	pʰɔʔ055	薄：薄菏（有两种，做菜用、药用）
魔	mɔ13	魔：魔鬼，魔术
磨	nɔ13	磨：磨刀，磨墨
摩	mɔ13	摩：摩擦，按摩
磨	mɔ52	磨：石磨，磨豆腐
朵	tɔ31	朵：一朵花
躲	piaŋ52	躲：躲起来，躲避
剁	tɔʔ055	剁：用刀向下砍
妥	tʰɔ31	妥：妥当，妥协
橢	tʰɔ52	椭：橢圆
唾	tʰui52	唾：唾液（吐出来的口水）唾沫
惰	lain33	惰：懒惰，惰性
墮	tʂui52	堕：从高处掉下，堕落
糯	nɔ52	糯：糯米
騾	lu22	骡：马与驴杂交的一种动物
螺	lɔ13	螺：螺蛳
腡	lɔ13	脶：手指纹，圆的
囉	lɔ13	啰：啰唆
裸	kʰɔ52	裸：裸体
瘰	lɔ22	瘰：生瘰（疮疖），多生在脖子上
摞	tuɔi33	摞：把东西整齐地重叠往上放
銼	tʰuin52	锉：锉刀，木锉
矬	tuiʔ031	矬：矮，矮矬矬
坐	tsʰɔ33	坐：坐下来，请坐
座	tsʰɔ52	座：座位，上座
蓑	sɔ33	蓑：蓑衣
梭	sɔ33	梭：织布梭
唆	sɔ33	唆：啰唆，唆使
鎖	sɔ31	锁：一把锁，锁匙
瑣	sɔ31	琐：琐碎，烦琐
過	kɔ52	过：姓
戈	kɔ33	戈：大动干戈
果	kɔ31	果：水果，果冻
裹	kɔ31	裹：包裹，裹东西（如棕子）
餜	kɔ31	馃：清明馃，米馃，巧果
過	kɔ52	过：过去（走过去，从前）
科	kʰɔ33	科：文科，科学
窠	tiu52	窠：鸟巢，鸡窝
棵	kʰɔ52	棵：一棵，棵子（植物的梗子，根茎）
顆	kʰɔ52	颗：一颗珍珠，颗粒
課	kʰɔ31	课：上课，课文
訛	tsʰuɔi31	讹：讹诈，讹传，以讹传讹
臥	ŋɔ52	卧：卧倒，卧铺，卧薪尝胆
火	fɔ31	火：着火，火车，火神庙
夥	fɔ31	伙：伙计（店里打杂工的），合伙
伙	fɔ31	伙：伙食
貨	fɔ52	货：到货，货车，百货商店
和	fɔ22	和：我和你,和牌，和平
禾	vɔ13	禾：水稻
禍	fɔ52	祸：闯祸，祸害
和	fɔ22	和：和面，唱和，和诗
倭	vɔ33	倭：倭寇
窩	vɔ33	窝：窝藏，窝囊，窝火
萵	vɔ33	莴：萵苣
瘸	pai35	瘸：瘸手，瘸腿
靴	ʂɔ33	靴：靴子，皮靴
巴	pa33	巴：巴掌，巴结，巴黎
芭	pa33	芭：芭蕉，芭蕾
疤	pa33	疤：结疤，伤疤
吧	pa33	吧：酒吧，吧台
笆	pa33	笆：篱笆
把	pa31	把：把握，一把刀，把脉，抓一把
垻	pa52	坝：平地
欛	pa31	把：刀把（柄）
壩	pa52	坝：大坝，堤坝
爸	pa33	爸：父亲
怕	pʰa52	怕：害怕，怕生
帕	pʰa52	帕：手帕
爬	pʰa13	爬：爬树，爬行动物
琶	pa22	琶：琵琶
杷	pʰa22	杷：枇杷
鈀	pʰa22	钯：钉钯（猪八戒的武器），钯子，挖地的农具
耙	pʰa22	耙：犁耙，用牛拉的碎土工具
麻	ma22	麻：麻袋，天麻
蟆	ma22	蟆：蛤蟆（青蛙、蛙类、蝌蚪），癞蛤蟆
媽	ma22	妈：妈妈，后妈
痲	ma22	痳：痳疹，痳疯
馬	ma33	马：骑马，马后砲，马虎
碼	ma33	码：码头，筹码
駡	ma52	骂：骂人，咒骂
拿	na33	拿：拿不出手，拿手，拿东西，推拿
茶	tsʰa22	茶：茶叶，喝茶
搽	tsʰa22	搽：搽药，搽雪花膏
査	tsa33	楂：山楂
渣	tsa33	渣：甘蔗渣，油渣，药渣，渣滓
詐	tsa52	诈：诈骗，敲诈
榨	tsa52	榨：榨油，榨菜，压榨
炸	tsa52	炸：轰炸，炸弹
叉	tsʰa33	叉：鱼叉，叉腰
杈	a33	杈：枝杈
差	tsʰa33	差：差别，时差，好的差的
岔	tsʰa33	岔：三岔路口，《三岔口》（京剧）
差	tsʰa33	差：差多少钱
茬	tsʰa33	茬：割水稻后残留的根，剃胡子后残留的短毛，找茬儿
査	tsʰa22	查：调查，查帐
乍	tsa52	乍：乍浦，初来乍到
沙	sa33	沙：黄沙，泥沙，沙漠
紗	sa33	纱：纱布，棉纱
痧	sa33	痧：夏天中暑，刮痧
砂	sa33	砂：朱砂，铁砂，砂纸
灑	pʰaiʔ031	洒：洒水
廈	ha52	厦：高楼大厦，商厦
家	ka33	家：成家，家教，老家
加	ka33	加：加法，加工，加油
痂	ka33	痂：结痂，痂皮
嘉	ka33	嘉：嘉宾，嘉兴，嘉峪关
傢	ka33	傢：傢伙，傢什（工匠用的），傢具
假	ka31	假：真假
賈	ka31	贾：姓，贾宝玉
假	ka31	假：放假，假期
架	ka52	架：衣架，脚手架，摆架子
駕	ka52	驾：驾驶，大驾光临
嫁	ka52	嫁：出嫁，嫁女儿
稼	ka52	稼：庄稼，邓稼先
價	ka52	价：价钱，价值
揢	tsoʔ031	揢：捕鱼，抓人，拿在手里
牙	ŋa13	牙：牙齿，刷牙
芽	ŋa13	芽：豆芽
衙	ŋa13	衙：衙门
伢	ŋa13	伢：伢儿，伢郎（小孩子）
蚜	ŋa22	蚜：蚜虫（木虱,生在豆类、棉花、稻等幼苗上）
雅	ŋa13	雅：文雅，雅座
砑	ŋa13	砑：弹好棉花后，用厚实的木圆盘砑砑平
蝦	ha13	虾：鱼虾，虾公
?	haʔ031	?：虾腰，背虾起
嚇	haʔ031	吓：吓一跳
霞	ha13	霞：朝霞，晚霞，人名用字
瑕	ha22	瑕：瑕疵
遐	ha22	遐：遐想，闻名遐迩
蝦	ha22	虾：虾蟆（青蛙、蛙类、蝌蚪）
下	ha52	下：下面，乡下，上下
夏	ha52	厦：厦门
廈	ha52	夏：姓
下	ha52	下：下降，下去，下流
夏	ha52	夏：春夏，立夏
暇	ha22	暇：闲暇
鴉	a44	鸦：老鸦，乌鸦
丫	tsʰa44	丫：丫头
椏	va44	桠：桠杈
啞	a31	哑：哑巴，聋哑
亞	a44	亚：亚洲，亚军，东亚
姐	tsi31	姐：姐姐，小姐
借	tsia52	借：借钱
且	tsʰia31	且：而且，况且
褯	tsʰiaʔ055	褯：褯子（小儿尿布，或包裹婴儿的衣被）
些	sia44	些：一些
寫	sia31	写：写字，写信
瀉	sia52	泻：腹泻，泻肚子
卸	ha44	卸：装卸，卸货
邪	sia13	邪：邪气，邪门歪道
斜	sia13	斜：不正
謝	tsʰia52	谢：谢谢，姓
爹	tia44	爹：父亲
遮	tʂa33	遮：遮住，遮挡
者	tʂa31	者：记者，作者，之乎者也。
蔗	tʂa52	蔗：甘蔗，蔗糖
車	tʂʰa33	车：火车
扯	tʂʰa31	扯：拉扯，扯钻
