#漢字	音標	解釋
多	tou44	多：多少，多数
拖	tʰou44	拖：拖车，（拉，拉长），吐舌头是否说拖，拖鞋，拖拉机
他	tʰa44	他：其他
駝	tʰou22	驼：驼背，骆驼
馱	pa22	驮：驮东西（背负或扛在肩上），拿在手里。
舵	tʰou51	舵：船舵，舵手
大	tʰai51	大：大小，大学
挪	la44	挪：挪用公款，挪地方
哪	la31	哪：哪里，哪吒
那	la31	那：那里
羅	lou22	罗：姓
鑼	lou22	锣：锣鼓
籮	lou22	箩：箩筐，装稻谷用
蘿	lou22	萝：萝卜
左	tsou31	左：左手，左右
佐	tsou31	佐：辅佐，佐料
搓	tsʰou51	搓：搓手，搓绳子，搓衣服，搓麻将
娑	sa44	娑：婆娑
歌	kou44	歌：唱歌，歌曲
哥	kou44	哥：哥哥，老哥，哥们儿
個	kei51	个：一个，这个。个人，个体户。
可	kʰou31	可：可以，许可证
蛾	ŋou22	蛾：飞蛾，夏天晚上集中到亮处的动物，似蝴蝶
鵝	ŋou22	鹅：一种家禽
俄	ŋou22	俄：俄国，苏俄
我	ŋou44	我：注意文白读
餓	ŋou51	饿：肚子饿，饿他一顿，饿肚子
荷	hou22	荷：薄荷（有两种，做菜用、药用）
何	hou22	何：姓，哪里
河	hou22	河：一条河，黄河
荷	hou22	荷：荷花
荷	hou44	荷：挑担
賀	hou51	贺：姓，祝贺
阿	ou44	阿：阿胶，阿弥陀佛
茄	kʰia22	茄：茄子
波	pou44	波：波浪，风波
菠	pou44	菠：菠菜
簸	pou44	簸：簸一簸
跛	pai22	跛：跛足
播	pou51	播：传播，播种
簸	pou51	簸：簸箕
頗	pou44	颇：颇有心得，偏颇，廉颇
坡	pou44	坡：山坡，山体滑坡
玻	pou44	玻：玻璃
破	pʰou51	破：东西破了，破鱼肚，破坏
婆	pʰou22	婆：外婆，老太婆
薄	pʰɔk033	薄：薄菏（有两种，做菜用、药用）
魔	mou22	魔：魔鬼，魔术
磨	mou22	磨：磨刀，磨墨
摩	mou22	摩：摩擦，按摩
磨	mou51	磨：石磨，磨豆腐
朵	tou31	朵：一朵花
躲	tou31	躲：躲起来，躲避
剁	tɔk033	剁：用刀向下砍
妥	tʰou31	妥：妥当，妥协
橢	tʰou51	椭：橢圆
惰	tʰou51	惰：懒惰，惰性
墮	tʰou51	堕：从高处掉下，堕落
糯	lou51	糯：糯米
騾	lou22	骡：马与驴杂交的一种动物
螺	lou22	螺：螺蛳
腡	lou22	脶：手指纹，圆的
囉	lou44	啰：啰唆
裸	kʰou31	裸：裸体
瘰	lit033	瘰：生瘰（疮疖），多生在脖子上
摞	lou22	摞：把东西整齐地重叠往上放
銼	tsʰou51	锉：锉刀，木锉
矬	tsʰou51	矬：矮，矮矬矬
坐	tsʰou44	坐：坐下来，请坐
座	tsʰou44	座：座位，上座
蓑	sou44	蓑：蓑衣
梭	sou44	梭：织布梭
唆	sou44	唆：啰唆，唆使
鎖	sou31	锁：一把锁，锁匙
瑣	sou31	琐：琐碎，烦琐
過	kou51	过：姓
鍋	vɔk033	锅：砂锅，锅铲
戈	kʰou44	戈：大动干戈
果	kou31	果：水果，果冻
裹	kou31	裹：包裹，裹东西（如棕子）
餜	kou31	馃：清明馃，米馃，巧果
過	kou51	过：过去（走过去，从前）
科	kʰou44	科：文科，科学
窠	teu51	窠：鸟巢，鸡窝
棵	kʰou44	棵：一棵，棵子（植物的梗子，根茎）
顆	tʃak031	颗：一颗珍珠，颗粒
課	kʰou51	课：上课，课文
訛	ŋou22	讹：讹诈，讹传，以讹传讹
臥	ŋou51	卧：卧倒，卧铺，卧薪尝胆
火	fou31	火：着火，火车，火神庙
夥	fou31	伙：伙计（店里打杂工的），合伙
伙	fou31	伙：伙食
貨	fou51	货：到货，货车，百货商店
和	fou22	和：我和你,和牌，和平
禾	vou22	禾：水稻
禍	fou51	祸：闯祸，祸害
和	fou22	和：和面，唱和，和诗
倭	vei44	倭：倭寇
窩	vou44	窝：窝藏，窝囊，窝火
萵	vou22	莴：萵苣
瘸	kʰia22	瘸：瘸手，瘸腿
靴	hei22	靴：靴子，皮靴
巴	pa44	巴：巴掌，巴结，巴黎
芭	pa44	芭：芭蕉，芭蕾
疤	pa44	疤：结疤，伤疤
吧	pa44	吧：酒吧，吧台
笆	pa44	笆：篱笆
把	pa31	把：把握，一把刀，把脉，抓一把
垻	pa51	坝：平地
欛	pa31	把：刀把（柄）
壩	pa51	坝：大坝，堤坝
爸	pa44	爸：父亲
怕	pʰa51	怕：害怕，怕生
帕	pʰa51	帕：手帕
爬	pʰa22	爬：爬树，爬行动物
琶	pʰa22	琶：琵琶
杷	pʰa22	杷：枇杷
鈀	pʰa22	钯：钉钯（猪八戒的武器），钯子，挖地的农具
耙	pʰa22	耙：犁耙，用牛拉的碎土工具
麻	ma22	麻：麻袋，天麻
蟆	mou22	蟆：蛤蟆（青蛙、蛙类、蝌蚪），癞蛤蟆
媽	ma22	妈：妈妈，后妈
痲	ma22	痳：痳疹，痳疯
馬	ma44	马：骑马，马后砲，马虎
碼	ma44	码：码头，筹码
駡	ma51	骂：骂人，咒骂
拿	la44	拿：拿不出手，拿手，拿东西，推拿
茶	tsʰa22	茶：茶叶，喝茶
搽	tsʰat031	搽：搽药，搽雪花膏
査	tsʰa22	楂：山楂
渣	tsa44	渣：甘蔗渣，油渣，药渣，渣滓
詐	tsa51	诈：诈骗，敲诈
榨	tsa51	榨：榨油，榨菜，压榨
炸	tsa51	炸：轰炸，炸弹
叉	tsʰa44	叉：鱼叉，叉腰
杈	tsʰa44	杈：枝杈
差	tsʰa44	差：差别，时差，好的差的
岔	tsʰa51	岔：三岔路口，《三岔口》（京剧）
差	tsʰa44	差：差多少钱
茬	tsʰa44	茬：割水稻后残留的根，剃胡子后残留的短毛，找茬儿
査	tsʰa22	查：调查，查帐
乍	tsa51	乍：乍浦，初来乍到
沙	sa44	沙：黄沙，泥沙，沙漠
紗	sa44	纱：纱布，棉纱
痧	sa44	痧：夏天中暑，刮痧
砂	sa44	砂：朱砂，铁砂，砂纸
灑	sa31	洒：洒水
