#漢字	音標	解釋
多	tɔu21	多：～少
拖	tʰɔu21	拖：～拉机
他	tʰa21	他：其～
駝	tʰɔu55	驼：骆～
舵	tʰɔu21	舵：～手
大	tʰai35	大：～夫，～黄
挪	na21	挪：～用公款
哪	na21	哪：～里
哪	na21	哪：～吒
那	ka55	那：～里；姓
羅	lɔu55	罗：姓
鑼	lɔu55	锣：～鼓
籮	lɔu55	箩：～筐
左	tsɔu51	左：～右
佐	tsɔu51	佐：辅～
歌	kɔu21	歌：唱～，～声
哥	kɔu21	哥：大～，学生～
個	kai51	个：两～，～别
個	kai51	个：我～（我的）
可	kʰɔu51	可：～能，许～证
蛾	ŋɔu55	蛾：飞～扑火
鵝	ŋɔu55	鹅：天～
俄	ŋɔu55	俄：～罗斯
我	ŋai55	我：自～[文]
我	ŋai55	我：涯，第一人称[白]
餓	ŋɔu35	饿：饥～
荷	hɔu55	荷：～花；薄～
荷	kʰai21	荷：挑，～担，～东西[白]
河	hɔu55	河：黄～
何	hɔu55	何：姓；如～
賀	hɔu35	贺：祝～，～礼
阿	a21	阿：～胶；～弥陀佛
阿	a21	阿：～爸
茄	kʰiau55	茄：茄子；番～
茄	kʰiau55	茄：雪～
波	pɔu21	波：风～，～浪
菠	pɔu21	菠：～菜
跛	pei55	跛：～脚（跛足）[训]
簸	pɔu51	簸：～箕甲（蛇），～谷
簸	pɔu51	簸：颠～
頗	pɔu21	颇：～有心得，偏～
坡	pɔu21	坡：山～，～度
玻	pɔu21	玻：～璃
破	pʰɔu51	破：～坏
婆	pʰɔu55	婆：老～
薄	pʰɔk051	薄：～荷
魔	mɔu55	魔：～术，～鬼
磨	mɔu35	磨：～刀，水～[动]
磨	mɔu35	磨：～豆浆[动]
摩	mɔu55	摩：～擦，按～
磨	mɔu35	磨：石～[名]
朵	tɔu51	朵：一～花，花～
躲	tɔu51	躲：～避，～开
剁	tɔk051	剁：～猪肉，～肉丸[训]
妥	tʰɔu21	妥：～当
橢	tʰɔu21	椭：～圆
唾	tʰɔu51	唾：～弃，～液
惰	tʰɔu51	惰：～性
糯	nɔu35	糯：～米
騾	lɔu55	骡
螺	lɔu55	螺：田～
腡	lɔu55	脶：手指纹
囉	lɔu55	啰：喽～，～嗦
裸	lɔu51	裸：～体
銼	tsʰɔu51	锉：～刀
坐	tsʰɔu21	坐：～车，～稳
座	tsʰɔu21	座：～位，上～
蓑	sɔu21	蓑：棕～，～衣
梭	sɔu21	梭：穿～，～子蟹
唆	sɔu21	唆：～使
鎖	sɔu51	锁：～匙
瑣	sɔu51	琐：～碎，烦～
戈	kʰɔu21	戈：干～，～壁
果	kɔu51	果：水～
裹	kɔu51	裹：包～
過	kɔu51	过：～去，～头
科	kʰɔu21	科：～学，文～
棵	kʰɔu21	棵：一～树
顆	kʰɔu21	颗：一～珍珠，～粒
課	kʰɔu51	课：上～
訛	ŋɔu55	讹：～诈，以～传～
臥	ŋɔu35	卧：～室，～铺
火	fɔu51	火：着～，～车
夥	fɔu51	伙：合～，～计
貨	fɔu51	货：～车，百～
和	fɔu55	和：～平，～气[文]
和	vɔu55	和：～尚[白]
禾	vɔu55	禾：割～，～苗
禍	fɔu35	祸：大～临头，～害
和	tsɔu21	和：唱～，～诗
倭	vɔu21	倭：～寇
窩	vɔu21	窝：～囊废，～藏
瘸	pai55	瘸：不灵活，～手，～脚
靴	hiau21	靴：皮～
巴	pa21	巴：～掌，～结，～黎
芭	pa21	芭：～蕉，～蕾
疤	pa21	疤：伤～
把	pa51	把：～握，～脉
霸	pa51	霸：恶～，～王
吧	pa21	吧：酒～
垻	pa51	坝：平地，湖洋～
爸	pa21	爸：爸爸
怕	pʰa51	怕：害怕，惊～
帕	pʰa51	帕：手～
爬	pʰa55	爬：～树
琶	pʰa55	琶：琵～
杷	pʰa55	杷：枇～
耙	pʰa55	耙：犁耙
麻	ma55	麻：天～，～烦
痲	ma55	痲：出～（得痳疹），～风
蟆	ma55	蟆：蛤～（蟾蜍）
媽	ma35	妈：妈妈
媽	ma35	妈：～祖
馬	ma21	马：骑～，～虎
碼	ma21	码：～头，大～
駡	ma51	骂：～人
拿	na21	拿：～手，推～
茶	tsʰa55	茶：～叶
楂	tsa21	楂：山～
渣	tsa21	渣：药～
詐	tsa51	诈：～骗
榨	tsa51	榨：～菜，～油
炸	tsa51	炸：～药
叉	tsʰa21	叉：刀～，～腰
杈	tsʰa21	杈：桠～，树～
差	tsʰa21	差：～别
岔	tsʰa51	岔：～路，三～路口
査	tsʰa55	查：调～
沙	sa21	沙：泥～，～漠
紗	sa21	纱：～布
灑	sa51	洒：～水
廈	ha35	厦：偏廈（厢房）
痧	sa21	痧：发～，刮～
家	ka21	家：老～，～庭
砂	sa21	砂：朱～，～纸
加	ka21	加：～工
痂	ka21	痂：结～
嘉	ka21	嘉：～宾
假	ka51	假：真～，～设
賈	ka51	贾：姓，～宝玉
假	ka51	假：放～，～期
架	ka51	架：书～
駕	ka51	驾：～驶证
嫁	ka51	嫁：～人
稼	ka21	稼：庄～，邓～先
價	ka51	价：～钱，～值
揢	kʰiam55	揢：用虎口掐
牙	ŋa55	牙：～齿，刷～
芽	ŋa55	芽：豆～
衙	ŋa55	衙：～门
雅	ŋa21	雅：文～；～典（国名）
蚜	ŋan55	砑：碾，～平，～碎
蝦	ha55	虾：鱼～，～公
嚇	hak035	吓：～人
霞	ha55	霞：晚～
瑕	ha55	瑕：～疵
蝦	ha55	虾：～蟆（蟾蜍）
下	ha35	下：～背，底～
下	ha35	下：取下，～下来
夏	ha35	夏：姓
廈	ha35	厦：～门，大～
下	ha35	下：～降，～流
夏	ha35	夏：春～秋冬
暇	ha55	暇：闲～
鴉	a21	鸦：老～，乌～，～片
丫	a21	丫：～鬟，～头
椏	a21	桠：～杈
啞	a51	哑：哑巴，～佬
亞	a21	亚：～洲，～军
姐	tsia51	姐：小～[文]
姐	tsi51	姐：姐姐[白]
借	tsia51	借：～钱
且	tsʰia35	且：而～，况～
笡	tsʰia55	笡：斜，～～（歪斜的样子）
藉	sit051	藉：～故，～口
些	sia21	些：一～
寫	sia51	写：～字
瀉	sia51	泻：腹～，一～千里
卸	sia51	卸：～货，推～
邪	sia55	邪：～气，～门歪道
斜	tsʰia55	斜：倾～[文]
斜	tsʰia55	斜：不正[白]
謝	tsʰia35	谢：多～；姓
爹	tia55	爹：～娘
遮	tʃa21	遮：遮挡[动]；伞[名]
者	tʃa51	者：记～，作～
蔗	tʃa51	蔗：甘蔗
車	tʃʰa21	车：火～
扯	tʃʰa51	扯：～开，～烂
蛇	ʃa55	蛇：毒～
射	ʃa35	射：发～，～箭
麝	ʃa35	麝：～香
奢	tʃʰa21	奢：～侈
賒	tʃʰa21	赊：～帐
捨	ʃa51	舍：～唔得（舍不得）
赦	ʃa51	赦：～免
舍	ʃa51	舍：宿～
社	ʃa21	社：～会，公～
耶	ʒa21	耶：～稣
爺	ʒa55	爷：父亲；爷爷[文]
也	ʒa21	也：～知
野	ʒa21	野：～人
夜	ʒa35	夜：日～，～班
傻	ʃa21	傻：～瓜，～子
瓜	kua21	瓜：西～，～分
蝸	vɔu21	蜗：～牛
寡	kua51	寡：～妇，守～
剮	kua51	剐：千刀万～
誇	kʰua21	夸：～大，～张
垮	kʰua21	垮：～台
跨	kʰua21	跨：～栏，～度
娃	va21	娃：洋～～
瓦	ŋa51	瓦：～片
花	fa21	花：开～
化	fa51	化：变～
華	fa55	华：中～
划	fa55	划：～船
華	fa55	华：～山；姓
蛙	va21	蛙：青～，～泳
補	pu51	补：～鞋，～充
譜	pʰu51	谱：族～，歌～
布	pu51	布：红～，～料
佈	pu51	布：公～，～置
鋪	pʰu51	铺：～路，床～
普	pʰu51	普：～通，～遍
浦	pʰu51	浦：黄～江
鋪	pʰu51	铺：店～，当～
怖	pu51	怖：恐～
蒲	pʰu55	蒲：（石）菖～
菩	pʰu55	菩：～萨
脯	pʰu55	脯：胸～
部	pʰu35	部：～队，干～
簿	pʰu21	簿：练习～，帐～
步	pʰu35	步：跑～
捕	pʰu51	捕：逮～，～快
埠	pu21	埠：开～
模	mɔu55	埠：庵～，蚌～（地名）
模	mɔu55	模：～型，～范
摹	mɔu55	摹：～仿，描～
暮	mɔk035	暮：日暮
慕	mɔu51	慕：羡～，～名而来
墓	mɔu51	墓：坟～，～地
募	mɔk035	募：～捐
都	tu21	都：首～，～市
都	tɔu21	都：都是
堵	tu51	堵：～车，～塞
賭	tu35	赌：～博
肚	tu51	肚：猪～，鱼～
妒	tu51	妒：～忌
土	tʰu51	土：～地
吐	tʰu51	吐：～痰；呕～
兔	tʰu51	兔：野～
徒	tʰu55	徒：～弟
屠	tʰu55	屠：～杀
途	tʰu55	途：前～
塗	tʰu55	涂：糊～，～改
圖	tʰu55	图：画～，地～
杜	tʰu51	杜：姓；杜仲（中药）
肚	tu51	肚：肚子
度	tʰu35	度：～数，长～
渡	tʰu35	渡：偷～，摆～
鍍	tʰu35	镀：电～
奴	nu55	奴：～隶
努	nu55	努：～力
怒	nu35	怒：愤～，～气
盧	lu55	卢：姓
爐	lu55	炉：火～
蘆	lu55	芦：～苇
鸕	lu55	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu21	鲁：～国，～迅
虜	lu21	虏：俘～
滷	lu21	卤：盐～，～水
路	lu35	路：大～
賂	lu51	赂：贿～
露	lu51	露：～水，白～，打～
鷺	lu35	鹭：白～
租	tsɿ21	租：～金，出～
祖	tsɿ51	祖：～宗，～国
組	tsɿ21	组：～织，小～
做	tsɔu51	做：～好事
粗	tsʰɿ21	粗：～心
醋	tsʰɿ51	醋：陈～
措	tsʰɿ51	措：～施
錯	tsʰɔu51	错：～误
蘇	sɿ21	苏：～州；姓
酥	sɿ21	酥：脆，杏仁～
素	sɿ51	素：～菜，朴～
訴	sɿ51	诉：上～，倾～
塑	sɔk035	塑：雕～，～料
姑	ku21	姑：大～
孤	ku21	孤：～儿，～单
箍	ku51	箍：紧～咒[文]
箍	ku51	箍：围束，～桶[白]
古	ku51	古：～代
估	kʰu21	估：～计
牯	ku51	牯：牛～
股	ku51	股：～票
故	ku51	故：～事，～乡
蠱	ku51	蛊：养～，～惑
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	kʰu21	枯：干～，～水
苦	kʰu51	苦：辛～，食～（吃苦）
苦	kʰu51	苦：～味
庫	kʰu51	库：水～，仓～
褲	kʰu51	裤：裤子
吳	m̩55	吴：姓
蜈	m̩55	蜈：～蚣
梧	ŋu55	梧：～桐
五	m̩51	五：数字
