#漢字	音標	解釋
捍	kiɔk031	捍：捍卫
旱	kiɔŋ35	旱：干旱
韓	hɔn51	韩：姓，韩国
寒	hɔn51	寒：伤寒，小寒，寒冷
喝	kiɔŋ35	喝：喝采，吆喝
熯	kiɔŋ35	熯：用极少的油煎，菜放在上蒸，烘烤
罕	ȵiɔk051	罕：稀罕，罕见
岸	ʒɔŋ33	岸：岸上，口岸
渴	ʒɔŋ31	渴：口渴，渴望
看	kʰɔn21	看：看见
刊	kʰan33	刊：报刊
看	kʰɔn31	看：看守
葛	ʃɔk031	葛：姓，诸葛亮
割	ʃɔk051	割：割稻
幹	ʃɔŋ33	干：干部，能干
趕	ʃɔŋ33	赶：赶走，追赶
擀	ʃɔŋ33	擀：擀面
稈	ʃɔŋ31	秆：稻秆
桿	ʃɔŋ51	杆：木杆
竿	kɔn33	竿：竹竿
肝	kɔn33	肝：身体，猪肝
乾	kɔn33	干：干湿
干	kɔn33	干：天干地支
薩	ʃɔŋ31	萨：菩萨，拉萨
撒	ʃɔŋ35	撒：撒化肥，撒种
散	ʃɔŋ35	散：散会，解散
傘	ʃɔk031	伞：雨伞
散	tʃʰɔŋ35	散：松散，鞋带散了
珊	tsan33	珊：珊瑚
殘	tsʰan51	残：残疾，摧残
擦	tʃʰɔŋ35	擦：擦洗
餐	tsʰɔŋ35	餐：一餐饭，快餐
灒	ʃɔk031	灒：溅水
贊	tʃɔŋ33	赞：赞助
瘌	tʃɔŋ33	瘌：瘌痢头
辣	tʃɔŋ31	辣：味道，泼辣
爛	tʃɔŋ35	烂：腐烂，烂掉
懶	tʃɔŋ35	懒：懒惰，很懒
欄	lan51	栏：栏杆，猪栏
攔	lan51	拦：拦住
蘭	lan51	兰：兰花
捺	pʰi51	捺：撇捺，捺下去
難	nan51	难：落难，逃难
難	nan51	难：困难，很难
達	pʰei35	达：达到，到达
蛋	pi33	蛋：鸡蛋，皮蛋
彈	tʰan51	弹：子弹，弹子
但	pi33	但：但是，不但
誕	pi33	诞：诞生
彈	tʰan51	弹：弹琴
壇	tʰan51	坛：天坛
檀	tʰan51	檀：檀香
獺	pi31	獭：水獭
炭	pui35	炭：烧炭，木炭
歎	ʒʅ33	叹：叹气，感叹
坦	ʒʅ51	坦：坦白，坦克
癱	tʰan33	瘫：瘫痪，风瘫
攤	tʰan33	摊：摆摊，摊开
灘	tʰan33	滩：沙滩
旦	ʃi35	旦：元旦
疸	ȵi31	疸：黄疸
撣	ȵi33	掸：鸡毛掸子，掸埲尘
單	tan35	单：单独
丹	tan35	丹：人丹
淫	ʒin51	淫：淫荡，浸淫
邑	ȵi51	邑：
揖	kʰi51	揖：作揖
飮	kʰi35	饮：饮马
窨	kʰi35	窨：阴沟，地窖
陰	ʒim35	阴：屋子里很阴
飮	ki35	饮：饮酒，米汤
陰	ʒim35	阴：阴天，乌阴
音	ʒim35	音：声音，音乐
吸	kʰi35	吸：呼吸，吸住
及	ki33	及：不及，及时
擒	kʰin51	擒：擒拿
禽	kʰin51	禽：家禽
琴	kʰin51	琴：弹琴
泣	hei33	泣：哭泣
撳	ʃʅ51	揿：手用力捏住，往下按
欽	kʰin35	钦：钦佩
給	tʃʰʅ33	给：供给
級	ʃʅ35	级：级别，年级
急	tʃʰei35	急：着急，急忙
禁	kim31	禁：禁止
襟	tʃit031	襟：衣的前幅，连襟
禁	kim35	禁：禁不住
金	kim35	金：金银，金子
今	kin33	今：今天，今年，如今
入	tʃʅ35	入：入口，进入
紝	tʃʅ35	纴：缝纴
任	ʒin35	任：任务
任	ʒim35	任：姓
拾	tʃʰʅ51	拾：拾金不昧
什	tʃʅ33	什：果什，什物
十	tʃʅ35	十：数字
甚	ti35	甚：甚至，欺人太甚
濕	tsʰɿ33	湿：潮湿，很湿，湿溻溻，湿润
嬸	sɔŋ35	婶：叔之妻
沈	tsʰɔŋ33	沈：姓，沈阳
深	tʃʰim35	深：深浅，深入
葚	tsʰɔŋ31	葚：桑葚
汁	tsʰɔŋ31	汁：菜汁，果汁，墨汁
執	tsʰɔŋ35	执：执行，执法
枕	tsɔŋ33	枕：动词
枕	tsɔŋ35	枕：枕头
斟	ʧin35	斟：斟酌，斟酒
針	ʧim35	针：缝衣针，针线，针对
澀	tʃɔk031	涩：青苹果味
滲	tʃɔŋ33	渗：渗透，渗水
參	ʃim35	参：人参
森	ʃin35	森：森林
岑	tʃʰin33	岑：姓
參	tsʰam35	参：参差
簪	ʦam35	簪：发簪
蟄	tʃʰɔŋ51	蛰：惊蛰
沉	tʃʰim51	沉：沉浮
