#漢字	音標	解釋
多	tɔu33	多：多少，多数
拖	tʰɔu33	拖：拖车，（拉，拉长），吐舌头是否说拖，拖鞋，拖拉机
他	ki23	他：其他
駝	tʰɔu212	驼：驼背，骆驼
舵	tʰɔu212	舵：船舵，舵手
大	tʰai52	大：大小，大学
挪	na33	挪：挪用公款，挪地方
哪	nei52	哪：哪里，哪吒
那	kei52	那：那里
羅	lɔu212	罗：姓
鑼	lɔu23	锣：锣鼓
籮	lɔu23	箩：箩筐，装稻谷用
蘿	lɔu23	萝：萝卜
左	tsɔu31	左：左手，左右
佐	tsɔu31	佐：辅佐，佐料
搓	nɔu212	搓：搓手，搓绳子，搓衣服，搓麻将
娑	sa33	娑：婆娑
歌	kɔu33	歌：唱歌，歌曲
哥	kɔu33	哥：哥哥，老哥，哥们儿
個	kei52	个：一个，这个。个人，个体户。
可	kʰɔu31	可：可以，许可证
蛾	ŋɔu212	蛾：飞蛾，夏天晚上集中到亮处的动物，似蝴蝶
鵝	ŋɔu212	鹅：一种家禽
俄	ŋɔu212	俄：俄国，苏俄
我	ŋai212	我：注意文白读
餓	ŋɔu52	饿：肚子饿，饿他一顿，饿肚子
荷	hɔu212	荷：薄荷（有两种，做菜用、药用）
何	hɔu212	何：姓，哪里
河	hɔu212	河：一条河，黄河
荷	hɔu212	荷：荷花
荷	hɔu45	荷：挑担
賀	hɔu52	贺：姓，祝贺
阿	ɔu45	阿：阿胶，阿弥陀佛
茄	kʰiau23	茄：茄子
波	pɔu45	波：波浪，风波
菠	pɔu33	菠：菠菜
簸	pun52	簸：簸一簸
跛	pei212	跛：跛足
播	pɔu52	播：传播，播种
簸	pun52	簸：簸箕
頗	pet031	颇：颇有心得，偏颇，廉颇
坡	pɔu33	坡：山坡，山体滑坡
玻	pɔu33	玻：玻璃
破	pʰɔu52	破：东西破了，破鱼肚，破坏
婆	pʰɔu212	婆：外婆，老太婆
薄	pʰɔt055	薄：薄菏（有两种，做菜用、药用）
魔	mɔu212	魔：魔鬼，魔术
磨	mɔu212	磨：磨刀，磨墨
摩	mɔu212	摩：摩擦，按摩
磨	mɔu212	磨：石磨，磨豆腐
朵	tɔu31	朵：一朵花
