#漢字	音標	解釋
多	tɔ213	多：～少
拖	tʰɔ213	拖：～拉机
他	tʰa213	他：其～
駝	tʰɔ21	驼：骆～
舵	tʰɔ21	舵：～手
大	tʰai45	大：～夫，～黄
挪	nɔ21	挪：～用公款
哪	na51	哪：～里
哪	na213	哪：～吒
那	na51	那：～里；姓
羅	lɔ21	罗：姓
鑼	lɔ21	锣：～鼓
籮	lɔ21	箩：～筐
左	ʦɔ51	左：～右
佐	ʦɔ51	佐：辅～
歌	kɔ213	歌：唱～，～声
哥	kɔ213	哥：大～，学生～
個	kɔ51	个：两～，～别
個	kei21	个：我～（我的）
可	kʰɔ51	可：～能，许～证
蛾	ŋɔ21	蛾：飞～扑火
鵝	ŋɔ21	鹅：天～
俄	ŋɔ21	俄：～罗斯
我	ŋɔ213	我：自～[文]
我	ŋai21	我：涯，第一人称[白]
餓	ŋɔ45	饿：饥～
荷	hɔ21	荷：～花；薄～
荷	kʰai213	荷：挑，～担，～东西[白]
河	hɔ21	河：黄～
何	hɔ21	何：姓；如～
賀	hɔ45	贺：祝～，～礼
阿	ɔ213	阿：～胶；～弥陀佛
阿	a213	阿：～爸
茄	kʰiɔ21	茄：茄子；番～
茄	ka213	茄：雪～
波	pɔ213	波：风～，～浪
菠	pɔ213	菠：～菜
跛	pai213	跛：～脚（跛足）[训]
簸	pun45	簸：～箕甲（蛇），～谷
簸	pɔ213	簸：颠～
頗	pʰɔ213	颇：～有心得，偏～
坡	pɔ213	坡：山～，～度
玻	pɔ213	玻：～璃
破	pʰɔ45	破：～坏
婆	pʰɔ21	婆：老～
薄	pʰɔk045	薄：～荷
魔	mɔ21	魔：～术，～鬼
磨	mɔ21	磨：～刀，水～[动]
磨	mɔ21	磨：～豆浆[动]
摩	mɔ21	摩：～擦，按～
磨	mɔ45	磨：石～[名]
朶	tɔ51	朵：一～花，花～
躱	tɔ51	躲：～避，～开
刴	ʦen213	剁：～猪肉，～肉丸[训]
妥	tʰɔ213	妥：～当
橢	tʰɔ213	椭：～圆
唾	tʰɔ45	唾：～弃，～液
惰	tʰɔ45	惰：～性
糯	nɔ45	糯：～米
