#漢字	音標	解釋
多	tɔ24	多：～少
拖	tʰɔ24	拖：～拉机
他	tʰa24	他：其～
駝	tʰɔ21	驼：骆～
舵	tɔ45	舵：～手
大	tʰai45	大：～夫，～黄
挪	nɔ21	挪：～用公款
哪	na41	哪：～里
哪	na21	哪：～吒
那	na41	那：～里；姓
羅	lɔ21	罗：姓
鑼	lɔ21	锣：～鼓
籮	lɔ21	箩：～筐
左	ʦɔ41	左：～右
佐	ʦɔ41	佐：辅～
歌	kɔ24	歌：唱～，～声
哥	kɔ24	哥：大～，学生～
個	kɔ41	个：两～，～别
個	kɛ45	个：我～（我的）
可	kʰɔ41	可：～能，许～证
蛾	ŋɔ21	蛾：飞～扑火
鵝	ŋɔ21	鹅：天～
俄	ŋɔ21	俄：～罗斯
我	ŋɔ24	我：～们[文]
我	ŋai21	我：涯，第一人称[白]
餓	ŋɔ45	饿：饥～
荷	hɔ21	荷：～花；薄～
荷	kʰai33	荷：挑，～担，～东西[白]
河	hɔ21	河：黄～
何	hɔ21	何：姓；如～
賀	hɔ45	贺：祝～，～礼
阿	ɔ33	阿：～胶；～弥陀佛
阿	a33	阿：～爸
茄	kʰiɔ21	茄：茄子；番～
茄	ka24	茄：雪～
波	pɔ24	波：风～，～浪
菠	pɔ24	菠：～菜
跛	pai24	跛：～脚（跛足）[训]
簸	pai45	簸：～箕甲（蛇），～谷
簸	pɔ24	簸：颠～
頗	pʰɔ24	颇：～有心得，偏～
坡	pʰɔ24	坡：山～，～度
玻	pɔ24	玻：～璃
破	pʰɔ45	破：～坏
婆	pʰɔ21	婆：老～
薄	pʰɔk045	薄：～荷
魔	mɔ21	魔：～术，～鬼
磨	mɔ21	磨：～刀，水～[动]
磨	mɔ45	磨：～豆浆[动]
摩	mɔ21	摩：～擦，按～
磨	mɔ45	磨：石～[名]
朶	tɔ41	朵：一～花，花～
躱	tɔ41	躲：～避，～开
刴	tɔ45	剁：～猪肉，～肉丸[训]
妥	tʰɔ41	妥：～当
橢	tʰɔ24	椭：～圆
唾	tʰɔ45	唾：～弃，～液
惰	tɔ45	惰：～性
糯	nɔ45	糯：～米
騾	lɔ21	骡
螺	lɔ21	螺：田～
腡	lɔ21	脶：手指纹
囉	lɔ21	啰：喽～，～嗦
裸	lɔ41	裸：～体
銼	ʦʰɔ45	锉：～刀
坐	ʦʰɔ24	坐：～车，～稳
座	ʦʰɔ45	座：～位，上～
簑	sɔ24	蓑：棕～，～衣
梭	sɔ24	梭：穿～，～子蟹
唆	sɔ24	唆：～使
鎖	sɔ41	锁：～匙
瑣	sɔ41	琐：～碎，烦～
戈	kɔ24	戈：干～，～壁
果	kɔ41	果：水～
裹	kɔ41	裹：包～
過	kɔ45	过：～去，～头
科	kʰɔ24	科：～学，文～
棵	kʰɔ24	棵：一～树
顆	kʰɔ24	颗：一～珍珠，～粒
課	kʰɔ45	课：上～
訛	ŋɔ21	讹：～诈，以～传～
臥	ŋɔ45	卧：～室，～铺
火	fɔ41	火：着～，～车
夥	fɔ41	伙：合～，～计
貨	fɔ45	货：～车，百～
和	fɔ21	和：～平，～气[文]
和	vɔ21	和：～尚[白]
禾	vɔ21	禾：割～，～苗
禍	fɔ45	祸：大～临头，～害
和	fɔ45	和：唱～，～诗
倭	vɔ24	倭：～寇
窩	vɔ24	窝：～囊废，～藏
瘸	kʰiɔ21	瘸：不灵活，～手，～脚
靴	hiɔ24	靴：皮～
巴	pa24	巴：～掌，～结，～黎
芭	pa24	芭：～蕉，～蕾
疤	pa24	疤：伤～
把	pa41	把：～握，～脉
霸	pa45	霸：恶～，～王
壩	pa45	坝：堤，溪～
吧	pa24	吧：酒～
垻	pa45	坝：平地，湖洋～
爸	pa24	爸：爸爸
怕	pʰa45	怕：害怕，惊～
帕	pʰa45	帕：手～
爬	pʰa21	爬：～树
琶	pʰa21	琶：琵～
杷	pa21	杷：枇～
耙	pʰa21	耙：犁耙
麻	ma21	麻：天～，～烦
痲	ma21	痲：出～（得痳疹），～疯
蟆	ma21	蟆：蛤～（蟾蜍）
媽	ma21	妈：妈妈；奶奶
媽	ma24	妈：～祖
馬	ma24	马：骑～，～虎
碼	ma24	码：～头，大～
罵	ma45	骂：～人
拿	na24	拿：～手，推～
茶	ʦʰa21	茶：～叶
楂	ʦa24	楂：山～
渣	ʦa24	渣：药～
詐	ʦa45	诈：～骗
榨	ʦa45	榨：～菜，～油
炸	ʦa45	炸：～药
叉	ʦʰa24	叉：刀～，～腰
杈	ʦʰa24	杈：桠～，树～
差	ʦʰa24	差：～别
岔	ʦʰa45	岔：～路，三～路口
査	ʦʰa21	查：调～
沙	sa24	沙：泥～，～漠
紗	sa24	纱：～布
灑	sa41	洒：～水
痧	sa24	痧：发～，刮～
家	ka24	家：老～，～庭
