#漢字	音標	解釋
多	to52	多：～少
拖	tʰo52	拖：～拉机
他	tʰa52	他：其～
駝	tʰo55	驼：骆～
哪	na24	哪：～吒
羅	lo55	罗：姓
左	tsou24	左：～右
哥	ko52	哥：大～，学生～
可	kʰo24	可：～能，许～证
鵝	ŋo55	鹅：天～
我	ŋo52	我：自～[文]
我	ŋai24	我：涯，第一人称[白]
餓	ŋo22	饿：饥～
河	ho55	河：黄～
賀	ho22	贺：祝～，～礼
阿	a31	阿：～爸
茄	kʰio55	茄：茄子；番～
波	po52	波：风～，～浪
破	pʰo31	破：～坏
婆	pʰo55	婆：老～
磨	mo55	磨：石～[名]
朶	to24	朵：一～花，花～
糯	no22	糯：～米
坐	tsʰo52	坐：～车，～稳
座	tsʰo22	座：～位，上～
簑	so52	蓑：棕～，～衣
鎖	so24	锁：～匙
果	ko24	果：水～
過	ko52	过：～去，～头
科	kʰo52	科：～学，文～
課	kʰo31	课：上～
火	fo24	火：着～，～车
貨	fo31	货：～车，百～
禾	vo55	禾：割～，～苗
靴	hio31	靴：皮～
巴	pa52	巴：～掌，～结，～黎
把	pa24	把：～握，～脉
霸	pa31	霸：恶～，～王
怕	pʰa31	怕：害怕，惊～
爬	pʰa55	爬：～树
麻	ma55	麻：天～，～烦
馬	ma52	马：骑～，～虎
拿	na52	拿：～手，推～
茶	tsʰa55	茶：～叶
渣	tsa52	渣：药～
炸	tsa31	炸：～药
査	tsʰa55	查：调～
沙	sa52	沙：泥～，～漠
家	ka52	家：老～，～庭
假	ka24	假：真～，～设
架	ka31	架：书～
牙	ŋa55	牙：～齿，刷～
蝦	ha55	虾：鱼～，～公
下	ha52	下：～背，底～
下	ha22	下：～降，～流
啞	a24	哑：哑巴，～佬
姐	tsia24	姐：小～[文]
借	tsia31	借：～钱
且	tsʰia24	且：而～，况～
寫	sia24	写：～字
斜	sia55	斜：不正
謝	tsʰia22	谢：多～；姓
遮	tʃa52	遮：遮挡[动]；伞[名]
者	ʒa24	者：记～，作～
蔗	tʃa31	蔗：甘蔗
車	tʃʰa52	车：火～
扯	kʰi24	扯：～开，～烂
蛇	ʃa55	蛇：毒～
射	ʃa22	射：发～，～箭
捨	ʃa31	舍：～唔得（舍不得）
社	ʃa52	社：～会，公～
惹	ȵia52	惹：～事
爺	ʒa55	爷：父亲；爷爷[文]
野	ʒa52	野：～人
夜	ʒa24	夜：日～，～班
傻	so55	傻：～瓜，～子
瓜	kua52	瓜：西～，～分
誇	kʰua52	夸：～大，～张
瓦	ŋua24	瓦：～片
花	fa52	花：开～
華	fa55	华：中～
補	pu24	补：～鞋，～充
布	pu31	布：红～，～料
部	pʰu22	部：～队，干～
步	pʰu22	步：跑～
模	mu55	模：～型，～范
墓	mu31	墓：坟～，～地
都	tu52	都：都是
賭	tu24	赌：～博
土	tʰu24	土：～地
圖	tʰu55	图：画～，地～
度	tʰu22	度：～数，长～
奴	nu55	奴：～隶
爐	lu55	炉：火～
滷	lu31	卤：盐～，～水
路	lu22	路：大～
租	tsu52	租：～金，出～
祖	tsu24	祖：～宗，～国
做	tsou31	做：～好事
粗	tsʰu31	粗：～心
蘇	su52	苏：～州；姓
姑	ku52	姑：大～
鼓	ku24	鼓：锣～，～励
故	ku31	故：～事，～乡
苦	kʰu24	苦：辛～，食～（吃苦）
苦	kʰu24	苦：～味
褲	kʰu31	裤：裤子
吳	m̍55	吴：姓
五	m̍24	五：数字
誤	ŋu22	误：～会，错～
虎	fu24	虎：老～
胡	fu55	胡：二～ ；姓
戶	fu22	户：～口
烏	vu52	乌：黑
女	m̍24	女：女人
呂	li31	吕：姓
慮	li24	虑：考～
徐	tsʰi55	徐：姓
序	si22	序：顺～
楚	tsʰu24	楚：清～
豬	tʃu52	猪：～肉
除	tʃʰu55	除：～法
初	tsʰu52	初：当～，～中
鋤	tsʰo55	锄：～草，～禾日当午
助	tsʰu22	助：帮～
梳	sɿ52	梳：梳子[名]；梳头[动]
煮	tʃu24	煮：～饭
處	tʃʰu31	处：～理，相～
書	ʃu52	书：读～
鼠	tʃʰu24	鼠：老～
薯	ʃu55	薯：番～
如	ʒi55	如：～果，假～
舉	ki24	举：～报，～重
鋸	ki31	锯：电～
去	kʰi31	去：来～，过～
佢	ki55	佢：他，第三人称
巨	ki24	巨：～大，艰～
魚	m̍55	鱼：金～
語	ȵi52	语：～文
虛	hi52	虚：～心
許	hi24	许：允～；姓
餘	ʒi55	余：多～
預	ʒi22	预：～报，～备
夫	fu52	夫：～妻，车～
府	fu24	府：政～
斧	pu24	斧：～头
輔	pʰu52	辅：～导，～助
武	vu24	武：～器，～术
舞	vu24	舞：跳～
務	mu31	务：任～，～农
取	tsʰi24	取：～钱
趣	tsʰi31	趣：兴～
聚	tsʰi31	聚：～会
需	si52	需：～要
柱	tʃʰu52	柱：柱子
住	tʃʰu22	住：～宿
朱	tʃu52	朱：姓
主	tʃu24	主：～人，地～
樹	ʃu22	树：～立，种～
區	kʰi52	区：地～，～别
具	kʰi22	具：～体
遇	ȵi22	遇：遭～，相～，～到
雨	ʒi24	雨：落～，谷～，～水
臺	tʰɔi55	台：～湾
代	tʰɔi24	代：～替，～表
耐	nai22	耐：～力，～心，忍～
來	lɔi55	来：过～，～去
再	tsai31	再：～来
彩	tsʰai24	彩：～色
菜	tsʰɔi31	菜：煮～，青～
才	tsʰɔi55	才：人～，～气，秀～
賽	sai31	赛：比～
該	kai52	该：应～
改	kɔi24	改：修～，～正
開	kʰɔi52	开：公～，～门
海	hɔi24	海：大～
哀	ɔi52	哀：悲～
愛	ɔi31	爱：～情；要
帶	tai31	带：鞋～
大	tʰai22	大：大小
賴	lai22	赖：依～，无～；姓
艾	ŋai31	艾：艾草
害	hɔi22	害：～人
拜	pai31	拜：结～，礼～，～佛
排	pʰai55	排：～队
埋	mai55	埋：～伏
齋	tsai52	斋：食～（吃斋）
階	kai52	阶：台～，～级
介	kai31	介：～绍，中～
擺	pai24	摆：摇～
派	pʰai31	派：正～，～出所
買	mai52	买：～卖
賣	mai22	卖：买～
柴	tsʰiau55	柴：姓；火～
街	kai52	街：～路
解	kai24	解：～释，讲～[文]
鞋	hai55	鞋：布～
蟹	hai24	蟹：老～
矮	ai24	矮：高矮
敗	pʰai22	败：失～
幣	pi31	币：人民～
例	li22	例：举～，～外
祭	tsi31	祭：～祀
制	tʃi31	制：～度
世	ʃei31	世：～界
藝	ȵi22	艺：～术，文～晚会
米	mi24	米：大米
低	tai52	低：高～
底	tai24	底：水～
