#漢字	音標	解釋
多	tɔ33	多：～少
拖	tʰɔ33	拖：～拉机
他	tʰa33	他：其～
駝	tʰɔ21	驼：骆～
舵	tʰɔ21	舵：～手
大	tʰai55	大：～夫，～黄
挪	na21	挪：～用公款
哪	ŋai552	哪：～里
哪	na21	哪：～吒
那	kai552	那：～里；姓
羅	lɔ21	罗：姓
鑼	lɔ21	锣：～鼓
籮	lɔ21	箩：～筐
左	tsɔ31	左：～右
佐	tsɔ31	佐：辅～
歌	kɔ33	歌：唱～，～声
哥	kɔ33	哥：大～，学生～
個	kɛ552	个：两～，～别
個	kɛ552	个：我～（我的）
可	kʰɔ31	可：～能，许～证
蛾	ŋɔ21	蛾：飞～扑火
鵝	ŋɔ21	鹅：天～
俄	ŋɔ21	俄：～罗斯
我	ŋɔ33	我：自～[文]
我	ŋai21	我：涯，第一人称[白]
餓	ŋɔ552	饿：饥～
荷	hɔ21	荷：～花；薄～
荷	kʰai33	荷：挑，～担，～东西[白]
河	hɔ21	河：黄～
何	hɔ21	何：姓；如～
賀	fɔ552	贺：祝～，～礼
阿	ɔ33	阿：～胶；～弥陀佛
阿	a33	阿：～爸
茄	kʰiɔ21	茄：茄子；番～
茄	ka33	茄：雪～
波	pɔ33	波：风～，～浪
菠	pɔ33	菠：～菜
跛	pai213	跛：～脚（跛足）[训]
簸	pun552	簸：～箕甲（蛇），～谷
簸	pɔ33	簸：颠～
頗	pɔk044	颇：～有心得，偏～
坡	pɔ33	坡：山～，～度
玻	pɔ33	玻：～璃
破	pʰɔ55	破：～坏
婆	pʰɔ31	婆：老～
薄	pʰɔk044	薄：～荷
魔	mɔ21	魔：～术，～鬼
磨	mɔ21	磨：～刀
磨	mɔ552	磨：～豆浆[动]
摩	mɔ21	摩：～擦，按～
磨	mɔ552	磨：石～[名]
朶	tɔ31	朵：一～花，花～
躱	tɔ31	躲：～避，～开
刴	tɔk044	剁：～猪肉，～肉丸[训]
妥	tʰɔ31	妥：～当
橢	tʰɔ55	椭：～圆
唾	tʰɔ552	唾：～弃，～液
惰	tʰɔ552	惰：～性
糯	nɔ55	糯：～米
騾	lɔ21	骡
螺	lɔ21	螺：田～
腡	lɔ21	脶：手指纹
囉	lɔ21	啰：喽～，～嗦
裸	lɔ21	裸：～体
銼	tsʰɔ55	锉：～刀
坐	tsʰɔ33	坐：～车，～稳
座	tsʰɔ552	座：～位，上～
簑	sɔ33	蓑：棕～，～衣
梭	sɔ33	梭：穿～，～子蟹
唆	sɔ213	唆：～使
鎖	sɔ31	锁：～匙
瑣	sɔ31	琐：～碎，烦～
戈	kʰɔ213	戈：干～，～壁
果	kɔ31	果：水～
裹	kɔ31	裹：包～
過	kɔ55	过：～去，～头
科	kʰɔ33	科：～学，文～
棵	kʰɔ33	棵：一～树
顆	kʰɔ33	颗：一～珍珠，～粒
課	kʰɔ552	课：上～
訛	ŋɔ21	讹：～诈，以～传～
臥	ŋɔ55	卧：～室，～铺
火	fɔ31	火：着～，～车
夥	fɔ31	伙：合～，～计
貨	fɔ55	货：～车，百～
和	fɔ21	和：～平，～气[文]
和	vɔ21	和：～尚[白]
禾	vɔ21	禾：割～，～苗
禍	fɔ55	祸：大～临头，～害
和	fɔ21	和：唱～，～诗
倭	vɔ33	倭：～寇
窩	vɔ33	窝：～囊废，～藏
瘸	pai24	瘸：不灵活，～手，～脚
靴	hiɔ31	靴：皮～
巴	pa33	巴：～掌，～结，～黎
芭	pa33	芭：～蕉，～蕾
疤	pa33	疤：伤～
把	pa31	把：～握，～脉
霸	pa55	霸：恶～，～王
壩	pa55	坝：堤，溪～
吧	pa33	吧：酒～
垻	pa55	坝：平地，湖洋～
爸	pa33	爸：爸爸
怕	pʰa55	怕：害怕，惊～
帕	pʰa55	帕：手～
爬	pʰa21	爬：～树
琶	pʰa21	琶：琵～
杷	pʰa21	杷：枇～
耙	pʰa21	耙：犁耙
麻	ma21	麻：天～，～烦
痲	ma21	痲：出～（得痳疹），～风
蟆	ma21	蟆：蛤～（蟾蜍）
媽	ma33	妈：妈妈
媽	ma33	妈：～祖
馬	ma33	马：骑～，～虎
碼	ma33	码：～头，大～
罵	ma55	骂：～人
拿	na33	拿：～手，推～
茶	tsʰa21	茶：～叶
楂	tsa33	楂：山～
渣	tsa33	渣：药～
詐	tsa55	诈：～骗
榨	tsa55	榨：～菜，～油
炸	tsa55	炸：～药
叉	tsʰa33	叉：刀～，～腰
杈	tsʰa33	杈：桠～，树～
差	tsʰa33	差：～别
岔	tsʰa55	岔：～路，三～路口
査	tsʰa21	查：调～
沙	sa213	沙：泥～，～漠
紗	sa33	纱：～布
灑	sa31	洒：～水
廈	ha55	厦：偏廈（厢房）
痧	sa33	痧：发～，刮～
家	ka33	家：老～，～庭
砂	sa33	砂：朱～，～纸
加	ka33	加：～工
痂	lak031	痂：结～
嘉	ka33	嘉：～宾
假	ka31	假：真～，～设
賈	ka55	贾：姓，～宝玉
假	ka31	假：放～，～期
架	ka55	架：书～
駕	ka55	驾：～驶证
嫁	ka55	嫁：～人
稼	ka55	稼：庄～，邓～先
價	ka55	价：～钱，～值
揢	kʰak044	揢：用虎口掐
牙	ŋa21	牙：～齿，刷～
芽	ŋa21	芽：豆～
衙	ŋa21	衙：～门
雅	ŋa31	雅：文～；～典（国名）
砑	ŋan33	砑：碾，～平，～碎
蝦	ha21	虾：鱼～，～公
嚇	hak031	吓：～人
霞	ha21	霞：晚～
瑕	ha21	瑕：～疵
蝦	ha21	虾：～蟆（蟾蜍）
下	ha33	下：～背，底～
下	ha33	下：取下，～下来
夏	ha55	夏：姓
廈	ha55	厦：～门，大～
下	ha55	下：～降，～流
夏	ha55	夏：春～秋冬
暇	ha21	暇：闲～
鴉	a33	鸦：老～，乌～，～片
丫	a33	丫：～鬟，～头
椏	a33	桠：～杈
啞	a31	哑：哑巴，～佬
亞	a33	亚：～洲，～军
姐	tsia31	姐：小～[文]
姐	tsi31	姐：姐姐[白]
借	tsia55	借：～钱
且	tsʰia31	且：而～，况～
笡	tsʰia21	笡：斜，～～（歪斜的样子）
藉	tsia55	藉：～故，～口
些	sia33	些：一～
寫	sia31	写：～字
瀉	sia55	泻：腹～，一～千里
卸	sia55	卸：～货，推～
邪	sia21	邪：～气，～门歪道
斜	sia31	斜：倾～[文]
斜	sia21	斜：不正[白]
謝	tsʰia55	谢：多～；姓
爹	tia33	爹：～娘
遮	tsa33	遮：遮挡[动]；伞[名]
者	tsa31	者：记～，作～
蔗	tsa55	蔗：甘蔗
車	tsʰa213	车：火～
扯	tsʰa31	扯：～开，～烂
蛇	sa21	蛇：毒～
射	sa55	射：发～，～箭
麝	sa55	麝：～香
奢	tsʰa213	奢：～侈
賒	tsʰa33	赊：～帐
捨	sa31	舍：～唔得（舍不得）
赦	sa55	赦：～免
舍	sa55	舍：宿～
社	sa33	社：～会，公～
惹	ŋia33	惹：～事
耶	iai21	耶：～稣
爺	ia21	爷：父亲；爷爷[文]
也	a33	也：～知
野	ia31	野：～人
夜	ia55	夜：日～，～班
傻	sa31	傻：～瓜，～子
瓜	kua33	瓜：西～，～分
蝸	vɔ33	蜗：～牛
寡	kua31	寡：～妇，守～
剮	kua31	剐：千刀万～
誇	kʰua33	夸：～大，～张
垮	kʰua33	垮：～台
跨	kʰua33	跨：～栏，～度
娃	va33	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa33	花：开～
化	fa55	化：变～
華	fa21	华：中～
劃	vak044	划：～船
華	fa21	华：～山；姓
蛙	va33	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu31	谱：族～，歌～
布	pu55	布：红～，～料
佈	pu552	布：公～，～置
鋪	pʰu33	铺：～路，床～
普	pʰu33	普：～通，～遍
浦	pʰu31	浦：黄～江
鋪	pʰu33	铺：店～，当～
怖	pu552	怖：恐～
蒲	pʰu33	蒲：（石）菖～
菩	pʰu21	菩：～萨
脯	pʰu21	脯：胸～
部	pʰu552	部：～队，干～
簿	pʰu33	簿：练习～，帐～
步	pʰu552	步：跑～
捕	pʰu31	捕：逮～，～快
埠	pu552	埠：开～
埠	pu552	埠：庵～，蚌～（地名）
模	mɔ21	模：～型，～范
摹	mɔ21	摹：～仿，描～
暮	mu552	暮：日暮
慕	mu552	慕：羡～，～名而来
墓	mu552	墓：坟～，～地
募	mu552	募：～捐
都	tu33	都：首～，～市
都	tu33	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu552	妒：～忌
土	tʰu31	土：～地
吐	tʰu552	吐：～痰；呕～
兔	tʰu552	兔：野～
徒	tʰu21	徒：～弟
屠	tʰu21	屠：～杀
途	tʰu21	途：前～
塗	tʰu21	涂：糊～，～改
圖	tʰu21	图：画～，地～
杜	tʰu552	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu552	度：～数，长～
渡	tʰu55	渡：偷～，摆～
鍍	tʰu552	镀：电～
奴	nu21	奴：～隶
努	nu31	努：～力
怒	nu55	怒：愤～，～气
盧	lu21	卢：姓
爐	lu21	炉：火～
蘆	lu21	芦：～苇
鸕	lu21	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu33	鲁：～国，～迅
虜	lu552	虏：俘～
滷	lu33	卤：盐～，～水
路	lu552	路：大～
