#漢字	音標	解釋
多	tou33	～少
拖	tʰou33	～拉机
他	tʰa33	其～
駝	tʰou21	骆～
大	tʰai55	～夫，～黄
挪	nou21	～用公款
哪	nai31	～里
哪	na21	～吒
那	na55	～里；姓
羅	lou21	姓
鑼	lou21	～鼓
籮	lou21	～筐
左	tsou31	～右
佐	tsou31	辅～
歌	kou33	唱～，～声
哥	kou33	大～，学生～
个	kei55	两～，～别
个	kei55	我～（我的）
可	kʰou31	～能，许～证
蛾	ŋou21	飞～扑火
鵝	ŋou21	天～
俄	ŋou21	～罗斯
我	ŋou33	～们[文]
我	ŋai21	涯，第一人称[白]
餓	ŋou55	饥～
荷	hou21	～花；薄～
荷	kʰai33	挑，～担，～东西[白]
河	hou21	黄～
何	hou21	姓；如～
賀	fet05	祝～，～礼
阿	ou33	～胶；～弥陀佛
阿	a33	～爸
茄	kʰiou21	茄子；番～
茄	ka33	雪～
波	pou33	风～，～浪
菠	pou33	～菜
跛	pai33	～脚（跛足）[训]
簸	pai55	～箕甲（蛇），～谷
頗	pʰou33	～有心得，偏～
坡	pʰou33	山～，～度
玻	pou33	～璃
破	pʰou55	～坏
婆	pʰou21	老～
薄	pʰɔk05	～荷
魔	mou21	～术，～鬼
磨	mou21	水～[动]
磨	mou21	～豆浆[动]
摩	mou21	～擦，按～
磨	met05	石～[名]
朵	tou31	一～花，花～
躲	tou31	～避，～开
剁	tɔk05	～猪肉，～肉丸[训]
妥	tʰou31	～当
橢	tʰou31	～圆
唾	tʰou55	～弃，～液
糯	nou55	～米
騾	lou21	骡
螺	lou21	田～
腡	lou21	手指纹
囉	lou21	喽～，～嗦
裸	lou21	～体
坐	tsʰou33	～车，～稳
座	tsʰou55	～位，上～
蓑	sou33	棕～，～衣
梭	sou33	穿～，～子蟹
唆	sou33	～使
鎖	sou31	～匙
瑣	sou31	～碎，烦～
果	kuɔ31	水～
裹	kuɔ31	包～
過	kuɔ55	～去，～头
科	kʰou33	～学，文～
棵	kʰou33	一～树
顆	kʰou33	一～珍珠，～粒
課	kʰou55	上～
臥	ŋou55	～室，～铺
火	fou31	着～，～车
伙	fou31	合～，～计
貨	fou55	～车，百～
和	fou21	～平，～气[文]
和	vou21	～尚[白]
禾	vou21	割～，～苗
禍	fou55	大～临头，～害
倭	vou33	～寇
窩	vou33	～囊废，～藏
瘸	kʰiɔ21	不灵活，～手，～脚
靴	ʃiɔ33	皮～
巴	pa33	～掌，～结，～黎
芭	pa33	～蕉，～蕾
疤	pa33	伤～
把	pa31	～握，～脉
霸	pa55	恶～，～王
壩	pa55	堤，溪～
吧	pa33	酒～
爸	pa33	爸爸
怕	pʰa55	害怕，惊～
帕	pʰa55	手～
爬	pʰa21	～树
琶	pʰa21	琵～
杷	pʰa21	枇～
耙	pʰa21	犁耙
麻	ma21	天～，～烦
痲	ma21	出～（得痳疹），～疯
蟆	ma21	蛤～（蟾蜍）
媽	ma21	妈妈
媽	ma33	～祖
馬	ma33	骑～，～虎
碼	ma33	～头，大～
骂	ma55	～人
拿	na33	～手，推～
茶	tsʰa21	～叶
楂	tsa33	山～
渣	tsa33	药～
詐	tsa55	～骗
榨	tsa55	～菜，～油
炸	tsa55	～药
叉	tsʰa33	刀～，～腰
杈	tsʰa33	桠～，树～
差	tsʰa33	～别
岔	tsʰa55	～路，三～路口
査	tsʰa21	调～
沙	sa33	泥～，～漠
紗	sa33	～布
洒	sa31	～水
廈	sa55	偏廈（厢房）
痧	sa33	发～，刮～
家	ka33	老～，～庭
砂	sa33	朱～，～纸
加	ka33	～工
痂	kat031	结～
嘉	ka33	～宾
假	ka31	真～，～设
賈	kap031	姓，～宝玉
假	ka31	放～，～期
架	ka55	书～
駕	ka55	～驶证
嫁	ka55	～人
稼	ka55	庄～，邓～先
价	ka55	～钱，～值
揢	kʰa21	用虎口掐
牙	ŋa21	～齿，刷～
芽	ŋa21	豆～
衙	ŋa21	～门
雅	ŋa31	文～，典～；～典（国名）
砑	ŋa33	碾，～平，～碎
蝦	ha33	鱼～，～公
吓	hak031	～人
霞	ha21	晚～
瑕	ha21	～疵
蝦	ha21	～蟆（蟾蜍）
下	ha33	～背，底～
下	ha31	取下，～下来
夏	ha55	姓
廈	ha55	～门，大～
下	ha55	～降，～流
夏	ha55	春～秋冬
暇	ha21	闲～
鴉	a33	老～，乌～
丫	jia33	～鬟，～头
椏	va33	～杈
啞	a31	哑巴，～佬
亞	a33	～洲，～军
姐	tsia31	小～[文]
借	tsia55	～钱
且	tsʰia31	而～，况～
藉	tsia55	～故，～口
些	sia33	一～
寫	sia31	～字
瀉	sia55	腹～，一～千里
卸	sia55	～货，推～
邪	sia21	～气，～门歪道
斜	sia21	倾～[文]
斜	tsʰia21	不正[白]
謝	tsʰia55	多～；姓
爹	tia33	～娘
遮	tsa33	遮挡[动]；伞[名]
者	tsa31	记～，作～
蔗	tsa55	甘蔗
車	tsʰa33	火～
扯	tsʰa31	～开，～烂
蛇	sa21	毒～
射	sa55	发～，～箭
麝	sa55	～香
賒	tsʰa33	～帐
舍	sa31	～唔得（舍不得）
赦	sa55	～免
舍	sa55	宿～
社	sa33	～会，公～
惹	ȵia33	～事
爺	jia21	父亲；爷爷[文]
也	jia33	～知
野	jia33	～人
夜	jia55	日～，～班
傻	sɔ21	～瓜，～子
瓜	kua33	西～，～分
蝸	vou33	～牛
寡	kua31	～妇，守～
剮	kuat031	千刀万～
夸	kʰua33	～大，～张
垮	kʰua31	～台
跨	kʰua55	～栏，～度
娃	va33	洋～～
瓦	ŋa31	～片
花	fa33	开～
化	fa55	变～
華	fa21	中～
划	vat05	～船
華	fa21	～山；姓
蛙	va33	青～，～泳
補	pu31	～鞋，～充
譜	pʰu31	族～，歌～
布	pu55	红～，～料
布	pu55	公～，～置
鋪	pʰu33	～路，床～
普	pʰu33	～通，～遍
浦	pʰu31	黄～江
鋪	pʰu55	店～，当～
怖	pu55	恐～
蒲	pʰu31	（石）菖～
菩	pʰu21	～萨
脯	pʰu31	胸～
部	pʰu55	～队，干～
簿	pʰu55	练习～，帐～
步	pʰu55	跑～
捕	pʰu31	逮～，～快
模	mu21	～型，～范
摹	mu21	～仿，描～
暮	muk031	日暮
慕	mu55	羡～，～名而来
墓	muk031	坟～，～地
募	muk031	～捐
都	tu33	首～，～市
都	tu33	都是
堵	tu31	～车，～塞
賭	tu31	～博
肚	tu31	猪～，鱼～
妒	tu55	～忌
土	tʰu31	～地
吐	tʰu55	～痰；呕～
兔	tʰu55	野～
徒	tʰu21	～弟
屠	tʰu21	～杀
途	tʰu21	前～
涂	tʰu21	糊～，～改
圖	tʰu21	画～，地～
杜	tʰu55	姓；杜仲（中药）
肚	tu31	肚子
度	tʰu55	～数，长～
渡	tʰu55	偷～，摆～
鍍	tʰu55	电～
奴	nu21	～隶
努	nu31	～力
怒	nu55	愤～，～气
盧	lu21	姓
爐	lu21	火～
芦	lu21	～苇
鸕	lu21	～鹚（扁嘴善捕鱼的水鸟）
魯	lu33	～国，～迅
虜	lu21	俘～
卤	lu33	盐～，～水
路	lu55	大～
賂	lu55	贿～
露	lu55	～水，白～，打～
鷺	lu55	白～
租	tsu33	～金，出～
祖	tsu31	～宗，～国
組	tsu33	～织，小～
做	tsou55	～好事
粗	tsʰu33	～心
醋	tsʰu55	陈～
措	tsʰɔk031	～施
錯	tsʰou55	～误
苏	su33	～州；姓
酥	su33	脆，杏仁～
素	su55	～菜，朴～
訴	su55	上～，倾～
塑	sɔk031	雕～，～料
姑	ku33	大～
孤	ku33	～儿，～单
箍	ku33	紧～咒[文]
箍	kʰe33	围束，～桶[白]
古	ku31	～代
估	kʰu33	～计
牯	ku31	牛～
股	ku31	～票
鼓	ku31	锣～，～励
故	ku55	～事，～乡
蠱	ku31	养～，～惑
固	ku55	～定
錮	ku55	禁～
雇	ku55	～人，～主
顧	ku55	照～
枯	kʰu33	干～，～水
苦	kʰu31	辛～，食～（吃苦）
苦	fu31	～味
庫	kʰu55	水～，仓～
褲	fu55	裤子
吳	nn̍21	姓
蜈	nn̍21	～蚣
梧	nn̍21	～桐
五	nn̍31	数字
伍	nn̍31	姓；队～
午	nn̍31	中～，端～
誤	ŋu55	～会，错～
悟	vu55	觉～；孙～空
呼	fu33	称～，～吸，招～
虎	fu31	老～
虎	fu31	马～
滸	fu31	水～
戽	fu55	～水（泼水），～斗
胡	fu21	二～ ；姓
湖	fu21	西～
狐	fu21	～狸
壺	fu21	水～
乎	fu33	在～
瓠	fu21	瓠卢，同葫芦
胡	fu21	～须
蝴	fu21	～蝶
糊	fu21	浆～，～涂
戶	fu55	～口
滬	fu55	上海简称
互	fu33	～相
護	fu55	保～，～士
瓠	pʰu21	瓠瓜（味似葫芦而长）
烏	vu33	黑
污	vu33	～染
塢	vu33	船～
恶	vu55	可～
女	nn̍31	女人
廬	lu21	～山
呂	li33	姓
旅	li31	～游
虑	li55	考～
濾	li55	过～
徐	tsʰi21	姓
序	si55	顺～
緖	si55	情～；光～
豬	tsu33	～肉
著	tsu55	～名，显～
除	tsʰu21	～法
儲	su31	～蓄
苧	tsʰu33	～麻
阻	tsu31	～止，～力
初	tsʰɿ33	当～，～中
楚	tsʰɿ31	清～
礎	tsʰɿ31	基～
鋤	tsʰɿ21	～草，～禾日当午
助	tsʰu55	帮～
梳	sɿ33	梳子[名]；梳头[动]
疏	su33	～远；稀疏
蔬	su33	～菜
所	sou31	～以；派出～
諸	tsu33	姓；～如此类
煮	tsu31	～饭
處	tsʰu55	～理
處	tsʰu55	～所
書	su33	读～
舒	su33	～服
暑	tsʰu31	～假
鼠	tsʰu31	老～
恕	su55	宽～
署	su31	～名
薯	su21	番～
如	ji21	～果，假～
居	ki33	～民
車	tsʰa33	象棋，～马炮
舉	ki31	～报，～重
据	ki31	收～
鋸	ki55	电～
墟	ʃi33	～日
去	ʃi55	来～，过～
佢	ki21	他，第三人称
巨	kʰi33	～大
拒	kʰi33	～绝
距	kʰi33	～离
魚	ŋei21	金～
語	ȵi33	～文
御	ȵi55	防～
虛	ʃi33	～心
噓	ʃi33	吹～
許	ʃi31	允～；姓
于	ji33	在～
淤	ji33	～泥
余	ji21	姓
余	ji21	多～
与	ji33	～众不同
譽	ji55	荣～
預	ji55	～报，～备
豫	ji55	犹～
夫	fu33	～妻，车～
膚	fu33	皮～
府	fu31	政～
腑	fuk031	五脏六～
俯	fu31	～卧撑，～视
甫	fu31	杜～
脯	pʰu31	菜～（萝卜干）
斧	pu31	～头
付	fu55	应～
咐	fu55	吩～
賦	fu55	天～
傅	fu31	师～[文]
傅	fu55	姓[白]
敷	fu33	～衍，～药
俘	fu21	～虏
孵	pʰu55	孵小鸡
撫	fu31	～养，安～
殕	pʰu31	食物长毛变质，臭～
赴	fu55	奔～，～汤蹈火
訃	pʰu55	～告
符	fu21	～合，鬼画～
扶	fu21	～贫，～手[文]
扶	pʰu21	搀扶，～起来[白]
芙	fu21	～蓉
父	fu55	～亲
釜	fu31	破～沉舟
腐	fu31	～败
腐	fu55	豆～
輔	pʰu31	～导，～助
附	fu55	～近，～带
无	vu21	没有，～中生有[文]
无	mou21	没有，～事[白]
巫	vu33	姓；～婆
誣	vu33	～陷，～告
舞	vu31	跳～
舞	mu31	拨弄，摆弄[白，动]
侮	vu33	～辱
鵡	vu31	鹦～
務	vu55	任～，～农
霧	vu55	大～
縷	li31	千丝万～
屢	li31	～次，～教不改
趨	kʰi33	～势
取	tsʰi31	～钱
娶	tsʰi31	嫁～
趣	tsʰi55	兴～
聚	tsʰi55	～会
聚	tsʰiu33	捡～（收拢）[白]
须	si33	必～
须	si33	胡～
需	si33	～要
續	siup05	连～，继～
誅	tsu33	天～地灭
蛛	tsu33	蜘～
株	tsu33	守～待兔
駐	tsu55	～扎
注	tsu55	～释
廚	tsʰu21	～房
櫥	tsʰu21	碗～
柱	tsʰu33	柱子
住	tsʰu55	～宿
雛	tsʰu33	～形
數	su31	～落，～星星[动]
數	su55	～字，～学
朱	tsu33	姓
珠	tsu33	珍～
主	tsu31	～人，地～
注	tsu55	～意
蛀	tsu55	～虫
鑄	tsu55	～铁，～钢
樞	su33	中～，～纽
輸	su33	～赢
戍	su33	～边
輸	su33	运～
殊	su21	特～
豎	su55	横～
樹	su55	～立，种～
儒	ji21	～家思想
乳	lu33	哺～，母～[文]
乳	nen55	食～（吃奶），麦～精[训]
拘	ki33	～留
倶	kʰi55	～备，～乐部
矩	ki31	规～，～形
句	ki55	～号
區	kʰi33	地～，～别
驅	kʰi33	先～，～动
具	kʰi55	～体
懼	kʰi55	恐～
愚	ji21	～蠢，～公移山
娛	ȵi21	～乐
遇	ȵi55	遭～，相～，～到
寓	ȵi55	～言；公～
迂	ji33	～回，～腐
于	ji33	姓；等～
雨	ji31	落～，谷～，～水
宇	ji33	～宙
羽	ji33	～翼未丰
芋	vu55	芋头
逾	ji21	超过，～期
愉	ji21	～快
喩	ji55	比～
裕	ji55	富～
呆	tai33	书～子，发～[文]
呆	ŋɔi21	发～[白]
戴	tai55	姓；～帽
胎	tʰɔi33	双胞～，～盘
台	tʰɔi21	天台
態	tʰai55	～度，心～
貸	tʰɔi55	～款
台	tʰɔi21	～湾
苔	tʰɔi21	青～，舌～
抬	tʰɔi21	两个人抬
待	tʰɔi55	等～，～人接物
怠	tʰɔi55	～慢，～工
殆	tʰɔi55	百战不～
代	tʰɔi55	～替，～表
袋	tʰɔi55	袋子
乃	nai33	安～近；人名用字
耐	nai55	～力，～心，忍～
來	lɔi21	过～，～去
灾	tsai33	水～
栽	tsai33	种，～培
宰	tsai31	～相
載	tsai31	一年半～
再	tsai55	～来
載	tsɔi55	～重
猜	tsʰai33	～谜
彩	tsʰai31	～色
采	tsʰai31	～集
睬	tsʰɔi31	理睬
菜	tsʰɔi55	煮～，青～
才	tsʰɔi21	人～，～气，秀～
材	tsʰɔi21	材，药～，～料
药～	tsʰɔi21	材，药～，～料
～料	tsʰɔi21	材，药～，～料
財	tsʰɔi21	财，发～
发～	tsʰɔi21	财，发～
裁	tsʰai21	裁，～纸，剪～
～紙	tsʰai21	裁，～纸，剪～
剪～	tsʰai21	裁，～纸，剪～
才	tsʰɔi21	刚～
在	tsʰai55	实～，现～[文]
在	tsʰɔi33	存在，还～[白]
載	tsɔi55	满～而归
腮	sai33	～腺炎，～红
賽	sɔi55	比～
該	kɔi33	应～
改	kɔi31	修～，～正
概	kʰɔi31	大～，～括
溉	kɔi55	灌～
開	kʰɔi33	公～，～门
凱	kʰɔi31	～旋
慨	kʰɔi31	慷～，感～
咳	kʰet031	～嗽，止～糖浆
呆	ŋɔi21	～板
礙	ŋɔi55	妨～
海	hɔi31	大～
孩	hai21	～童
亥	hɔi55	辛～革命
哀	ɔi33	悲～
埃	ai33	尘～，～及
愛	ɔi55	～情；要
貝	pi55	宝～
貝	pi55	川～，～壳
沛	pʰi55	充～
帶	tai55	鞋～
太	tʰai55	老～婆
泰	tʰai55	～山
大	tʰai55	大小
奈	nai55	无～，～何
賴	lai55	依～，无～；姓
癩	lai55	～蛤蟆[文]
蔡	tsʰai55	姓
盖	kɔi55	～被[动]；盖子[名]
丐	kɔi55	～帮
艾	ɔi55	姓；～滋病
艾	nei55	艾草
害	hɔi55	～人
拜	pai55	结～，礼～，～佛
排	pʰai21	～队
埋	mai21	～伏
齋	tsai33	食～（吃斋）
豺	sai33	～狼
階	kiai33	台～，～级
介	kiai55	～绍，中～
界	kiai55	世～
芥	kiai55	～菜
尬	ka55	尴～
屆	kiai55	第一～
戒	kiai55	～烟，猪八～
楷	kʰɔi31	～书，～模
諧	hai21	和～
駭	hɔi55	惊～，～人听闻
械	hai55	机～
挨	ai33	～打，～近
摆	pai31	摇～
派	pʰai55	正～，～出所
牌	pʰai21	～坊，～匾[文]
排	pʰai21	竹排
罷	pʰa55	～工
買	mai33	～卖
賣	mai55	买～
奶	nai33	二～，～牛
債	tsai55	欠～
釵	tsʰai33	宝～
差	tsʰai33	出～
柴	tsʰai21	姓；火～
篩	sai33	～选，～米
洒	sa31	潇～，～水
佳	ka33	～人，～节
街	kiai33	～路
解	kiai31	～释，讲～[文]
解	kei31	～开[白]
懈	hai55	松～，坚持不～
涯	ŋa21	天～
崖	ŋa21	悬～
捱	ŋai55	难～，～苦
鞋	hai21	布～
解	kiai31	懂了，理～，了～
蟹	hai31	老～
矮	ai31	高矮
敗	pʰai55	失～
寨	tsʰai55	山～，大～
蔽	pi55	隐～
弊	pi55	作～
幣	pi55	人民～
斃	pi55	枪～
例	li55	举～，～外
厲	li55	严～，～害
勵	li55	鼓～
祭	ki55	～祀
際	ki55	国～
制	tsɿ55	～度
制	tsɿ55	～造
世	sɿ55	～界；出～
勢	sɿ55	～力，有权有～
誓	sɿ55	发～
逝	sɿ55	～世
藝	ȵi55	～术，文～晚会
閉	pi55	关～
箅	pi55	蒸笼中的竹屉
批	pʰi33	～评，大～
批	pai33	螺丝～
迷	mi33	入～，～路
米	mi31	大米
謎	mi21	～语，猜～
低	tai33	高～
堤	tʰi21	河～，～坝
底	tai31	水～
抵	ti31	～押
抵	tai31	用手抵挡
帝	ti55	皇～
梯	tʰɔi33	楼～
体	tʰi31	～育，身～
替	tʰi55	代～，～身
剃	tʰi55	～头
屉	tʰi55	抽～
題	tʰi21	～目，难～
提	tʰi21	～问，～醒
蹄	tʰai21	马～
啼	tʰi21	哭哭～～[文]
啼	tʰai21	鸡～[白]
弟	tʰi55	兄～[文]
弟	hai33	弟弟，老～[白]
第	tʰi55	～一，门～
遞	tʰi55	传～，邮～员
泥	nai21	水～，地～（地板）
犁	lai21	耕田用具
黎	li21	～民，～明；姓
禮	li33	～貌
麗	li55	秀～
隶	li55	奴～，～属
濟	tsi55	～公，经～
妻	tsʰi33	夫～
齊	tsʰi21	～国[文]
齊	tsʰei21	整～，放～，来～[白]
臍	tsʰi21	肚～，～带
劑	tsi55	一～药，药～
西	si33	东西南北
栖	si33	两～动物
犀	si33	～牛
洗	sei31	～菜，～衣机
細	sei55	粗细，大小
婿	sei55	女～
雞	kei33	～公（公鸡）
計	ki55	～算，会～
繼	ki55	～续，～承
系	kei33	～鞋带
髻	ki55	发髻，～鬉
溪	hai33	～水
啓	kʰi31	～发
契	kʰei55	房～，～约
兮	ʃi33	神经～～
系	ʃi55	中文～，～统
系	ʃi55	联～
系	ʃi55	关～[文]
系	hei55	是[白]
杯	pi33	茶～
輩	pʰi55	～分，长～
背	pɔi55	违～，后～
坯	pʰɔi33	泥～，毛～房
配	pʰi55	分～，搭～
培	pʰi21	～训
陪	pʰi21	～同
賠	pʰɔi21	～钱
倍	pʰi55	～数
佩	pʰi55	～服
背	pʰɔi55	～书
梅	mɔi21	～花
枚	mɔi21	两～
媒	mɔi21	～人
煤	mɔi21	烧～，～矿
玫	mɔi21	～瑰
每	mi33	～只，～日
莓	mɔi21	草～
妹	mɔi55	妹妹，姊～，老～
昧	mi55	愚～，拾金不～
堆	tɔi33	一～[量]，～放[动]
對	ti55	～错；成双成～
碓	tɔi55	舂米工具，踏～
推	tʰi33	～荐，～动
腿	tʰi31	～部
退	tʰi55	后～，～步[文]
退	tʰi55	向后退[白]
隊	ti55	～伍，排～
內	ni55	～行，～外
雷	li21	打～，～公；姓
累	li55	劳～
催	tsʰɔi33	～促，～眠
崔	tsʰei33	姓，～莺莺
摧	tsʰei33	～残
罪	tsʰi55	得～，犯～[文]；～过（可怜、难受）[白]
碎	sei55	～布，破～
盔	fɔi33	头～
魁	kʰui21	～梧，花～
恢	fɔi33	～复
块	kʰuai55	一～钱，～头
灰	fɔi33	石～，～色
賄	fei55	受～，～赂
悔	fei31	后～
晦	fei55	～气
回	fei21	～想[文]
回	fei21	～礼[白]
汇	fei55	～报，～款
潰	kui55	～疡，胃～疡
煨	vɔi33	～番薯
兌	ti55	～水，～换
最	tsei55	～好
會	kʰuai55	～计
劊	kʰuai55	～子手
檜	kʰuai55	人名，秦～
外	ŋɔi55	～面
會	fei55	开～
會	vɔi55	～睡，～来
繪	fei55	～图，测～
乖	kuai33	小孩听话
怪	kuai55	奇～
怀	fai31	～疑
槐	fai31	～树
淮	fai31	～河，～北
坏	fai55	～人
拐	kuai31	～卖，铁～李
挂	kua55	～起来，牵～，～钩
卦	kua55	八～
歪	vai33	～风邪气
畫	fa55	～图，图～
快	kʰuai55	～车
筷	kʰuai55	公～
話	fa55	笑～，讲～[文，名]
話	fa55	讲～[白，名]
話	va55	说话[白，动]
脆	tsʰei55	干～[文]
歲	sei55	万～，～月[文]
歲	sei33	十～，～数[白]
贅	tsei55	累～，入～
稅	sɔi55	交～，～收
衛	vei55	～生
銳	jɔi55	尖～，～角
廢	fei55	～品，作～
肺	fei55	猪～
吠	pʰɔi31	狗～
圭	kui33	人名用字；乌拉～
閨	kui33	～房
桂	kui55	～花
奎	kʰui21	人名用字；～宁（药名）
惠	fei55	～州，优～
慧	fei55	智～
碑	pi33	石～，～文
卑	pi33	～鄙
彼	pi31	～此
臂	pi31	手～，～力
披	pʰi33	～肩，～露
皮	pʰi21	调～，～肤
疲	pʰi21	～劳
脾	pʰi21	～胃，～气
被	pʰi33	被子，毛巾～
婢	pʰi33	奴～，～女
被	pʰi33	～动，～迫
避	pʰit031	逃～
糜	mi21	～烂
弥	mi21	～补，～漫，阿～陀佛
离	li21	～別，～开
篱	li21	～笆
璃	li21	玻～
荔	li55	～枝
紫	tsɿ31	～色
雌	tsʰɿ21	～雄
此	tsʰɿ31	到～为止
刺	tsʰɿ55	鱼～，～激
疵	tsɿ33	瑕～，吹毛求～
斯	sɿ33	～大林
撕	sɿ33	～烂
徙	sai31	移居，～屋，迁～
賜	tsʰɿ55	赏～
知	ti33	无～[文]
知	tsɿ33	～识[文]
知	ti33	知道，唔～[白]
蜘	tsɿ33	～蛛
智	tsɿ55	～慧
池	tsʰɿ21	水～
馳	tsʰɿ21	奔～
差	tsʰa33	参～不齐
篩	tsʰei33	谷～，米～
支	ki33	两～笔[白，量]
支	tsɿ33	～持，天干地～[文]
枝	tsɿ33	树～
肢	tsɿ33	四～，～体
紙	tsɿ31	白～
只	tsət031	～有
侈	tsʰɿ31	奢～
舐	sei33	舔
施	sɿ33	措～；姓
翅	tsʰɿ55	鱼～
匙	sɿ31	锁～，汤～
是	sɿ55	～否，～非
氏	sɿ55	姓～
豉	sɿ55	豆～
儿	ji21	～童
尔	ji21	～虞我诈；保～（人名）
寄	ki55	～信，～托
羈	ki33	～押，放荡不～
企	kʰi31	～业，～鹅
奇	kʰi21	～怪
騎	kʰi21	～马
岐	kʰi21	～山
徛	kʰi33	站立；（山）斜度高
技	kʰi33	～术[文]
技	kʰi33	杂～[白]
妓	ki55	～女
宜	ȵi21	便～，适～，～昌
儀	ȵi21	礼～，～式
蟻	ŋei55	蚂蚁，白～
義	ȵi55	情～，～气
議	ȵi55	～论，会～
犧	ʃi33	～牲
戲	ʃi55	做～
倚	ji21	～靠，不偏不～，～老卖老
椅	ji31	椅子，藤～
移	ji21	～动
易	ji55	容～
悲	pi33	～伤
鄙	pʰi31	卑～，～视[文]
鄙	pei31	差劲[白]
比	pi31	～较，对～
秘	pi55	～书，～密
泌	pi55	分～；滤出汤汁
痹	pi55	麻～
丕	pʰi33	人名用字，曹～
屁	pʰi55	屙～（放屁）
琵	pʰi21	～琶
枇	pʰi21	～杷
備	pʰi55	准～，～用
鼻	pʰi31	鼻子；鼻涕
篦	pin33	篦子（很密的梳子）
眉	mi21	眉毛，画～
黴	mɔi21	发～，倒～
美	mi33	～丽，～化
媚	mi33	～眼，妩～；人名用字
寐	mi55	梦～以求，假～
地	tʰi55	土～
尼	ni21	～姑
膩	nei55	油～，细～
梨	li21	梨
履	li31	～行，～历
利	li55	～润，有～
痢	li55	～疾
痢	li21	癞～（头屑）
資	tsɿ33	～本
姿	tsɿ33	～势
咨	tsɿ33	～询
姊	tsi31	～妹
次	tsʰɿ55	名～，～品
瓷	tsʰɿ21	～砖，陶～
糍	tsʰi21	糍粑，糯米～
自	tsʰɿ55	～私
私	sɿ33	自～
死	si31	～人
