#漢字	音標	解釋
多	tɔ33	～少
拖	tʰɔ33	～拉机
他	tʰa33	其～
駝	tʰɔ21	骆～
舵	tʰɔ21	～手
大	tʰai51	～夫，～黄
挪	na21	～用公款
哪	na31	～里
哪	na31	～吒
那	na31	～里；姓
羅	lɔ21	姓
鑼	lɔ21	～鼓
籮	lɔ21	～筐
左	tsɔ31	～右
佐	tsɔ31	辅～
歌	kɔ33	唱～，～声
哥	kɔ33	大～，学生～
個	kɔ31	两～，～别
個	ke51	我～（我的）
可	kʰɔ31	～能，许～证
蛾	ŋɔ21	飞～扑火
鵝	ŋɔ21	天～
俄	ŋɔ21	～罗斯
我	ŋɔ35	自～[文]
我	ŋai21	涯，第一人称[白]
餓	ŋɔ51	饥～
荷	hɔ21	～花；薄～
荷	kʰai33	挑，～担，～东西[白]
河	hɔ21	黄～
何	hɔ21	姓；如～
賀	fɔ51	祝～，～礼
阿	ɔ33	～胶；～弥陀佛
阿	a33	～爸
茄	kʰiɔ21	茄子；番～
茄	ka33	雪～
波	pɔ33	风～，～浪
菠	pɔ33	～菜
跛	pai33	～脚（跛足）[训]
簸	pai51	～箕甲（蛇），～谷
簸	pɔ33	颠～
頗	pʰɔk031	～有心得，偏～
坡	pɔ33	山～，～度
玻	pɔ33	～璃
破	pʰɔ51	～坏
婆	pʰɔ21	老～
薄	pʰɔk055	～荷
魔	mɔ21	～术，～鬼
磨	mɔ21	～刀，水～[动]
磨	mɔ51	～豆浆[动]
摩	mɔ21	～擦，按～
磨	mɔ51	石～[名]
朶	tɔ31	一～花，花～
躱	tɔ31	～避，～开
刴	tɔ51	～猪肉，～肉丸[训]
妥	tʰɔ33	～当
橢	tʰɔ51	～圆
唾	tʰɔ51	～弃，～液
惰	tʰɔ51	～性
糯	nɔ51	～米
騾	li33	骡
螺	lɔ21	田～
腡	lɔ21	手指纹
囉	lɔ21	喽～，～嗦
裸	kʰɔ51	～体
銼	tsʰɔ51	～刀
坐	tsʰɔ51	～车，～稳
座	tsʰɔ51	～位，上～
簑	sɔ33	棕～，～衣
梭	sɔ33	穿～，～子蟹
唆	sɔ33	～使
鎖	sɔ31	～匙
瑣	sɔ31	～碎，烦～
戈	kʰɔ33	干～，～壁
果	kuɔ31	水～
裹	kuɔ31	包～
過	kuɔ51	～去，～头
科	kʰɔ35	～学，文～
棵	kʰɔ51	一～树
顆	kʰɔ51	一～珍珠，～粒
課	kʰɔ51	上～
訛	ŋɔ21	～诈，以～传～
臥	ŋɔ51	～室，～铺
火	fɔ31	着～，～车
夥	fɔ31	合～，～计
貨	fɔ51	～车，百～
和	fɔ21	～平，～气[文]
和	vɔ21	～尚[白]
禾	vɔ21	割～，～苗
禍	fɔ51	大～临头，～害
和	fɔ21	唱～，～诗
倭	vɔ35	～寇
窩	vɔ35	～囊废，～藏
瘸	kʰiɔ21	不灵活，～手，～脚
靴	ʃiɔ35	皮～
巴	pa33	～掌，～结，～黎
芭	pa33	～蕉，～蕾
