#漢字	音標	解釋
稱	ts'in44	称：～呼
職	tset5	职：～位，称～
稱	ts'in44	称：～心如意，对～
織	tset5	织：纺～，～布
證	tsen31	证：～明
症	tsen31	症：～状
拯	tsen24	拯：～救；包～（人名）
蒸	tsen44	蒸：清～，～发
嗇	siɛt5	啬：吝啬
色	sat5	色：颜～，～彩
測	ts'at5	测：～量，观～
側	tsat5	侧：～面
値	ts'it3	值：价～，～日
瞪	sim51	瞪：瞪眼[白]
直	ts'it3	直：～接
橙	ts'an51	橙：橙子
瞪	tan44	瞪：瞪眼，目～口呆[文]
懲	tsen44	惩：～罚，严～
澄	ts'an51	澄：～海（地名）[白]
澄	ts'aŋ51	澄：～清[文]
澄	k'in51	澄：水浑，澄一澄[白]
徵	tsen44	征：～求
媳	set5	媳：～妇，婆～
熄	set5	熄：～火
息	sat5	息：子息，孙～[白]
息	set5	息：休～[文]
鯽	tsat5	鲫：～鱼
力	lik3	力：大～，～量
卽	tset5	即：～时，立～
菱	lin51	菱：～角
陵	lin51	陵：中山～
淩	lin51	凌：冰淇～，壮志～云
匿	niɔk3	匿：～名信
憑	p'an51	凭：倚靠，～墙[白]
憑	p'an51	凭：文～，～借[文]
冰	pin44	冰：结～，～箱
恆	han51	恒：～心，永～
黑	hat5	黑：～白
克	k'at5	克：～服，攻～
刻	k'at5	刻：～字[白]
刻	k'at5	刻：时～ ，～画[文]
肯	k'an24	肯：愿意，～去[白]
肯	k'an24	肯：～定，中～[文]
塞	siɛt5	塞：堵～，～车
僧	tsan44	僧：～人
僧	tsan44	僧：唐～，沙～
贈	tsan31	赠：～送
賊	ts'at5	贼：做～
層	ts'an51	层：～次
蹭	ts'aŋ44	蹭：磨～
曾	ts'an51	曾：～经
則	tsat5	则：否～，规～
增	tsan44	增：～加
憎	tsan44	憎：～恨
曾	tsan44	曾：姓
勒	lat3	勒：～索
肋	lat3	肋：～骨
能	nan51	能：才～，～够
特	t'at3	特：～别
鄧	t'an44	邓：姓，～小平
疼	t'uŋ31	疼：疼痛
藤	tan51	藤：～椅
謄	tan51	誊：～写，～抄
騰	tan51	腾：奔～
忒	t'at5	忒：～细（太小）
得	tat5	得：获～，～意
德	tat5	德：品～；～国（国名）
凳	tan31	凳：凳子
燈	tan44	灯：～光
等	tan24	等：～人，高～
登	tan44	登：～山，攀～
默	mat3	默：沉～，～写
朋	pan51	朋：～友
墨	mat3	墨：～水
崩	pan44	崩：倒塌，山～，～溃
北	pat5	北：东南西北
學	hɔk5	学：数～，～习
握	vɔk5	握：～手，把～
巷	hɔŋ44	巷：巷子，两条～
項	hɔŋ24	项：～链；姓，～羽
降	kɔŋ31	降：投～
樂	ŋɔk3	乐：音～
岳	ŋɔk3	岳：姓，～飞
殼	hɔk5	壳：贝～
嶽	ŋɔk3	岳：五～
確	k'ɔk5	确：～定，的～
餃	kau24	饺：饺子，水～
腔	k'iɔŋ44	腔：口～
覺	kɔk5	觉：～得，知～
角	kɔk5	角：牛～，～色
虹	huŋ51	虹：彩～
降	kɔŋ31	降：下～，～低
講	kɔŋ24	讲：～话
港	kɔŋ24	港：～口；香～（地名）
扛	kɔŋ44	扛：肩扛，双手抬
江	kɔŋ44	江：长～，～湖
朔	sɔk5	朔：每月初一，～望
鐲	ak5	镯：手～
雙	suŋ44	双：一～鞋
窗	ts'uŋ44	窗：门～，～帘
捉	tsuk5	捉：捕～，～棋（下棋）
濁	ts'uk3	浊：浑～
撞	ts'ɔŋ44	撞：～人
啄	tsiɔk5	啄：～木鸟，鸡～米
琢	tiɔk5	琢：～磨，雕～
卓	tsɔk5	卓：～越；姓，～别林
桌	tsɔk5	桌：书～
樁	tsɔŋ44	桩：打～
雹	p'ɔk3	雹：冰～
蚌	p'ɔŋ31	蚌：～壳
蚌	p'ɔŋ31	蚌：～埠（地名）
