#漢字	音標	解釋
晝	tsiu212	昼：上～，～夜
抽	ts'iu33	抽：～出
綢	ts'iu31	绸：～缎，丝～
宙	ʦ'iu54	宙：宇～
鄒	tsɔi33	邹：姓，～家华
皺	tsiu31	皱：～纹
愁	sɔi31	愁：～眉苦脸
搜	sau33	搜：～查
瘦	sɔi212	瘦：肥瘦
周	tsiu33	周：姓；～围，～年
醜	ts'iu24	丑：不好看，出～
臭	ts'iu212	臭：～味
收	siu33	收：丰～，～集
手	siu24	手：～脚，～段
獸	siu212	兽：野～
仇	siu31	仇：～人，报～
壽	siu54	寿：长～
九	kiu24	九：数字，～龙
救	kiu212	救：～命
求	k'iu31	求：要～
舅	k'iu212	舅：～公
舊	k'iu54	旧：新～
牛	ŋɔi31	牛：～牯
休	hiu33	休：～息，退～
有	jiu212	有：～钱
右	jiu54	右：左～
油	jiu31	油：麻～
丟	tiu33	丢：～失
答	tap5	答：回～
貪	t'am33	贪：～心
探	t'am212	探：试～
南	nam31	南：东南西北
納	nap3	纳：归～
參	ts'am33	参：～军，～加
慘	ts'am24	惨：悲～
蠶	ts'am31	蚕：～丝
雜	ts'ap3	杂：复～
鴿	kəp5	鸽：白～
砍	k'am24	砍：～伤
含	həm24	含：包～[文]
含	həm31	含：～糖[白]
多	tɔ33	多：～少
拖	t'ɔ33	拖：～拉机
他	k'i31	他：其～
駝	t'ɔ31	驼：骆～
哪	na31	哪：～吒
羅	lɔ31	罗：姓
左	tsɔ24	左：～右
蹄	t'iɛ31	蹄：马～
弟	t'iɛ54	弟：兄～[文]
弟	t'iɛ212	弟：弟弟，老～[白]
泥	niɛ31	泥：水～，地～（地板）
犁	liɛ31	犁：耕田用具
禮	liɛ212	礼：～貌
齊	ts'iɛ31	齐：整～，放～，来～[白]
西	siɛ33	西：东西南北
洗	siɛ24	洗：～菜，～衣机
細	siɛ212	细：粗细，大小
雞	kiɛ33	鸡：～公（公鸡）
計	kiɛ212	计：～算，会～
溪	k	溪：～水
溪	'iɛ33	溪：～水
啟	k'iɛ24	启：～发
係	hai54	系：是[白]
杯	p'ɔi33	杯：茶～
