#漢字	音標	解釋
多	ʦiei33	多：～少
拖	tʰua55	拖：～拉机
他	tʰa55	他：其～
駝	tʰɔ24	驼：骆～
哪	na24	哪：～吒
羅	lɔ24	罗：姓
左	tsɔ51	左：～右
哥	hia55	哥：大～，学生～
可	kʰɔ51	可：～能，许～证
鵝	ŋɔ24	鹅：天～
我	ŋua51	我：自～[文]
我	ŋua51	我：涯，第一人称[白]
餓	iau55	饿：饥～
河	hɔ24	河：黄～
賀	hɔ33	贺：祝～，～礼
阿	a33	阿：～爸
茄	kio24	茄：茄子；番～
波	pɔ55	波：风～，～浪
破	pʰua21	破：～坏
婆	pɔ24	婆：老～
磨	vua24	磨：石～[名]
朶	lui51	朵：一～花，花～
糯	tsut055	糯：～米
坐	tsie33	坐：～车，～稳
座	tsie33	座：～位，上～
簑	sɔ55	蓑：棕～，～衣
鎖	sɔ51	锁：～匙
果	kue51	果：水～
過	kue21	过：～去，～头
科	kʰɔ55	科：～学，文～
課	kʰɔ21	课：上～
火	hue51	火：着～，～车
貨	hue21	货：～车，百～
禾	tiu33	禾：割～，～苗
靴	hiɔ55	靴：皮～
把	pɛ51	把：～握，～脉
霸	pa21	霸：恶～，～王
怕	kia55	怕：害怕，惊～
爬	pɛ24	爬：～树
麻	ma24	麻：天～，～烦
馬	vie51	马：骑～，～虎
拿	ni55	拿：～手，推～
茶	tie24	茶：～叶
渣	tsie55	渣：药～
炸	tsa33	炸：～药
査	tsʰie24	查：调～
沙	sua55	沙：泥～，～漠
家	kie55	家：老～，～庭
假	kie51	假：真～，～设
架	kie21	架：书～
牙	ie24	牙：～齿，刷～
蝦	hie24	虾：鱼～，～公
下	ɛ33	下：～背，底～
下	ɛ33	下：～降，～流
啞	ɛ51	哑：哑巴，～佬
姐	ʦia51	姐：小～[文]
借	tsio51	借：～钱
且	tsʰia51	且：而～，况～
寫	sia51	写：～字
斜	sia24	斜：不正
謝	tsʰia33	谢：多～；姓
遮	tsa33	遮：遮挡[动]；伞[名]
者	tsa51	者：记～，作～
蔗	tsia21	蔗：甘蔗
車	tsʰia55	车：火～
扯	tʰia51	扯：～开，～烂
蛇	tsua24	蛇：毒～
射	sia33	射：发～，～箭
捨	sia21	舍：～唔得（舍不得）
社	sia55	社：～会，公～
惹	ȵia55	惹：～事
爺	ia24	爷：父亲；爷爷[文]
野	ia51	野：～人
夜	me24	夜：日～，～班
傻	sɔ24	傻：～瓜，～子
瓜	kue55	瓜：西～，～分
誇	kʰa55	夸：～大，～张
瓦	hia33	瓦：～片
花	hue55	花：开～
華	hua24	华：中～
補	pou51	补：～鞋，～充
布	pou21	布：红～，～料
部	pou33	部：～队，干～
步	pou33	步：跑～
模	mu24	模：～型，～范
墓	vɔŋ33	墓：坟～，～地
都	tu55	都：都是
賭	tu51	赌：～博
土	tʰou51	土：～地
圖	tou24	图：画～，地～
度	tou33	度：～数，长～
奴	nou24	奴：～隶
爐	lou24	炉：火～
滷	lou51	卤：盐～，～水
路	lou33	路：大～
租	tsou55	租：～金，出～
祖	tsu51	祖：～宗，～国
做	tsɔᵘ33	做：～好事
粗	tsʰou55	粗：～心
蘇	sou55	苏：～州；姓
姑	kou55	姑：大～
鼓	kou51	鼓：锣～，～励
故	kou21	故：～事，～乡
苦	kʰou51	苦：辛～，食～（吃苦）
苦	kʰou51	苦：～味
褲	kʰou21	裤：裤子
吳	ŋou24	吴：姓
五	ŋou33	五：数字
誤	ŋou33	误：～会，错～
虎	hou51	虎：老～
胡	hou24	胡：二～ ；姓
戶	hu33	户：～口
烏	ou55	乌：黑
女	ŋi51	女：女人
呂	li55	吕：姓
慮	li33	虑：考～
徐	tsʰi24	徐：姓
序	si33	序：顺～
楚	ʦʰɔ51	楚：清～
豬	ti55	猪：～肉
除	tu24	除：～法
初	ʦiei55	初：当～，～中
鋤	ti33	锄：～草，～禾日当午
助	ʦu33	助：帮～
梳	sei55	梳：梳子[名]；梳头[动]
煮	tsi51	煮：～饭
處	tsʰu51	处：～理，相～
書	su55	书：读～
鼠	tsʰi51	鼠：老～
薯	tsi24	薯：番～
如	ji24	如：～果，假～
舉	ki51	举：～报，～重
鋸	ki21	锯：电～
去	hi21	去：来～，过～
伊	ji55	伊：他，第三人称
巨	kʰi55	巨：～大，艰～
魚	hi24	鱼：金～
語	ȵi55	语：～文
虛	hi55	虚：～心
許	kʰɔu51	许：姓
餘	ji24	余：多～
預	ji21	预：～报，～备
夫	hu55	夫：～妻，车～
