#漢字	音標	解釋
多	tɔ44	多：～少
拖	t'ɔ44	拖：～拉机
他	t'a44	他：其～
駝	t'ɔ24	驼：骆～
舵	t'ɔ51	舵：～手
大	t'ai51	大：～夫，～黄
挪	nɔ24	挪：～用公款
哪	nai51	哪：～里
哪	na31	哪：～吒
那	nai51	那：～里；姓
羅	lɔ24	罗：姓
鑼	lɔ24	锣：～鼓
籮	lɔ24	箩：～筐
左	ʦɔ31	左：～右
佐	ʦɔ31	佐：辅～
歌	kɔ44	歌：唱～，～声
哥	kɔ44	哥：大～，学生～
個	kɔ31	个：两～，～别
個	kei51	个：我～（我的）
可	k'ɔ31	可：～能，许～证
蛾	ŋɔ24	蛾：飞～扑火
鵝	ŋɔ24	鹅：天～
俄	ŋɔ24	俄：～罗斯
我	ŋɔ44	我：自～[文]
我	ŋai24	我：涯，第一人称[白]
餓	ŋɔ51	饿：饥～
荷	hɔ24	荷：～花；薄～
荷	k'ei44	荷：挑，～担，～东西[白]
河	hɔ24	河：黄～
何	hɔ24	何：姓；如～
賀	hɔ51	贺：祝～，～礼
阿	ɔ44	阿：～胶；～弥陀佛
阿	a44	阿：～爸
茄	k'iɔ24	茄：茄子；番～
茄	ka44	茄：雪～
波	pɔ44	波：风～，～浪
菠	pɔ44	菠：～菜
跛	pei44	跛：～脚（跛足）[训]
簸	pai51	簸：～箕甲（蛇），～谷
簸	p'au51	簸：颠～
頗	p'ɔ31	颇：～有心得，偏～
坡	pɔ44	坡：山～，～度
玻	pɔ44	玻：～璃
破	p'ɔ51	破：～坏
婆	p'ɔ24	婆：老～
薄	p'ɔk5	薄：～荷
魔	mɔ24	魔：～术，～鬼
磨	mɔ24	磨：～刀，水～[动]
磨	mɔ51	磨：～豆浆[动]
摩	mɔ24	摩：～擦，按～
磨	mɔ51	磨：石～[名]
朶	tɔ31	朵：一～花，花～
躱	tɔ31	躲：～避，～开
刴	tɔ51	剁：～猪肉，～肉丸[训]
妥	t'ɔ31	妥：～当
橢	t'ɔ31	椭：～圆
唾	t'ui51	唾：～弃，～液
惰	t'ɔ51	惰：～性
糯	nɔ51	糯：～米
騾	lɔ24	骡
螺	lɔ24	螺：田～
腡	lɔ24	脶：手指纹
囉	lɔ44	啰：喽～，～嗦
裸	lɔ31	裸：～体
銼	ʦ'ɔ51	锉：～刀
坐	ʦ'ɔ44	坐：～车，～稳
座	ʦ'ɔ44	座：～位，上～
簑	sɔ31	蓑：棕～，～衣
梭	sɔ44	梭：穿～，～子蟹
唆	sɔ24	唆：～使
鎖	sɔ31	锁：～匙
瑣	sɔ31	琐：～碎，烦～
戈	kɔ44	戈：干～，～壁
果	kɔ31	果：水～
裹	kɔ31	裹：包～
過	kɔ51	过：～去，～头
科	k'ɔ44	科：～学，文～
棵	kɔ44	棵：一～树
顆	k'ɔ44	颗：一～珍珠，～粒
課	k'ɔ51	课：上～
訛	ŋɔ24	讹：～诈，以～传～
臥	vɔ31	卧：～室，～铺
火	fɔ31	火：着～，～车
夥	fɔ31	伙：合～，～计
貨	fɔ51	货：～车，百～
和	fɔ24	和：～平，～气[文]
和	vɔ24	和：～尚[白]
禾	vɔ24	禾：割～，～苗
禍	fɔ51	祸：大～临头，～害
和	hɔ24	和：唱～，～诗
倭	vɔ44	倭：～寇
窩	vɔ44	窝：～囊废，～藏
瘸	pei44	瘸：不灵活，～手，～脚
靴	sɔ44	靴：皮～
巴	pa44	巴：～掌，～结，～黎
芭	pa44	芭：～蕉，～蕾
疤	pa44	疤：伤～
把	pa31	把：～握，～脉
霸	pa51	霸：恶～，～王
壩	pa51	坝：堤，溪～
吧	pa44	吧：酒～
垻	pa51	坝：平地，湖洋～
爸	pa44	爸：爸爸
怕	p'a51	怕：害怕，惊～
帕	p'a51	帕：手～
爬	p'a24	爬：～树
琶	p'a24	琶：琵～
杷	p'a24	杷：枇～
耙	p'a24	耙：犁耙
麻	ma24	麻：天～，～烦
痲	ma24	痲：出～（得痳疹），～风
蟆	ma24	蟆：蛤～（蟾蜍）
媽	ma44	妈：妈妈
媽	ma44	妈：～祖
馬	ma44	马：骑～，～虎
碼	ma44	码：～头，大～
