#漢字	音標	解釋
多	to44	多：～少
拖	tʰɔ55	拖：～拉机
駝	tʰɔ11	驼：骆～
哪	la24	哪：～吒
羅	lɔ11	罗：姓
左	tsɔ35	左：～右
哥	kɔ55	哥：大～，学生～
可	hɔ35	可：～能，许～证
鵝	ŋɔ11	鹅：天～
河	hɔ11	河：黄～
賀	hɔ22	贺：祝～，～礼
阿	a33	阿：～爸
茄	kʰe11	茄：茄子；番～
茄	-35	茄：茄子；番～
波	po55	波：风～，～浪
破	pʰɔ33	破：～坏
婆	pʰɔ11	婆：老～
磨	mo11	磨：石～[名]
朶	tɔ35	朵：一～花，花～
糯	lɔ22	糯：～米
坐	tsʰɔ35	坐：～车，～稳
鎖	sɔ35	锁：～匙
果	kɔ35	果：水～
過	kɔ33	过：～去，～头
科	fɔ55	科：～学，文～
課	fɔ33	课：上～
火	fɔ35	火：着～，～车
貨	fɔ33	货：～车，百～
禾	vɔ11	禾：割～，～苗
巴	pa55	巴：～掌，～结，～黎
把	pa35	把：～握，～脉
霸	pa33	霸：恶～，～王
怕	pʰa33	怕：害怕，惊～
爬	pʰa11	爬：～树
麻	bᵐa11	麻：天～，～烦
馬	bᵐa24	马：骑～，～虎
拿	la11	拿：～手，推～
茶	tsʰa11	茶：～叶
渣	tsa55	渣：药～
炸	tsa33	炸：～药
査	tsʰa11	查：调～
沙	sa55	沙：泥～，～漠
家	ka55	家：老～，～庭
假	ka35	假：真～，～设
架	ka33	架：书～
牙	ɡᵑa11	牙：～齿，刷～
下	ha22	下：～背，底～
啞	a35	哑：哑巴，～佬
姐	tse55	姐：小～[文]
借	tse33	借：～钱
且	tsʰe35	且：而～，况～
寫	se35	写：～字
斜	tsʰe11	斜：不正
謝	tse22	谢：多～；姓
遮	tse55	遮：遮挡[动]；伞[名]
者	tse35	者：记～，作～
蔗	tse33	蔗：甘蔗
車	tsʰe55	车：火～
蛇	se11	蛇：毒～
射	se22	射：发～，～箭
捨	se35	舍：～唔得（舍不得）
社	se33	社：～会，公～
爺	je11	爷：父亲；爷爷[文]
野	je24	野：～人
夜	je22	夜：日～，～班
傻	ʃɔ11	傻：～瓜，～子
瓜	kua55	瓜：西～，～分
誇	kʰua55	夸：～大，～张
瓦	ɡᵑa24	瓦：～片
花	fa55	花：开～
補	pou35	补：～鞋，～充
布	pou33	布：红～，～料
部	pou22	部：～队，干～
步	pou22	步：跑～
墓	bᵐou22	墓：坟～，～地
賭	tou35	赌：～博
土	tʰou35	土：～地
圖	tʰou11	图：画～，地～
度	tou33	度：～数，长～
奴	lou11	奴：～隶
爐	lou11	炉：火～
路	lou22	路：大～
