#漢字	音標	解釋
多	ɗo55	多 多少
拖	tʰo55	拖 拖拉机
他	tʰa55	他 其他
駝	tʰo31	驼 骆驼
舵	tʰo35	舵 舵手
大	ɗa31	大 大夫、大黄
哪	na31	哪 哪里；哪吒
那	na31	那 那里；那霍（地名）
羅	lo31	罗 姓
鑼	lo31	锣 锣鼓
蘿	lo31	萝 萝卜
籮	lo31	箩 箩筐
左	tʃo35	左 左右
佐	tʃo35	佐 辅佐
搓	tʃʰa55	搓 搓手
歌	ko55	歌 唱歌
哥	ko55	哥 哥哥
個	ko33	个 一个
可	ho35	可 可以
蛾	ŋo31	蛾 飞蛾
鵝	ŋo31	鹅 天鹅
俄	ŋo31	俄 俄国
我	ŋo23	我 我们
餓	ŋo31	饿 肚子饿
荷	ho31	荷 薄荷
河	ho31	河 黄河
何	ho31	何 姓何
荷	ho31	荷 荷花
賀	ho31	贺 祝贺
阿	a55	阿 阿哥
阿	ʔo55	阿 阿胶；阿弥陀佛
茄	kʰɛ31	茄 茄子
波	ɓo55	波 风波
菠	ɓo55	菠 菠菜
跛	ɓɐi55	跛 跛足
簸	ɓo55	簸 簸箕
播	ɓo33	播 播种
坡	pʰo55	坡 山坡
玻	ɓo55	玻 玻璃
破	pʰo33	破 破坏
婆	pʰo31	婆 外婆
薄	ɓɔʔ031	薄 薄荷
魔	mo55	魔 魔术
磨	mo31	磨 磨刀（动）
摩	mo55	摩 摩擦
磨	mo31	磨 石磨（名）
朵	ɗo35	朵 一朵花
躲	ɗo35	躲 躲避
剁	ɗi̯ɛʔ033	剁 剁猪肉
妥	tʰo23	妥 妥当
唾	ʃu31	唾 唾液
糯	nɛ31	糯 糯米
螺	lɛ31	螺 田螺
腡	lɛ31	腡 手指纹
囉	lo55	啰 啰嗦
銼	tʃʰo33	锉 锉刀
坐	tʃʰo23	坐 请坐
座	tʃo31	座 座位
蓑	ɬou55	蓑 蓑衣
梭	ʃo55	梭 织布梭
唆	ʃo55	唆 唆使
鎖	ɬo35	锁 门锁
瑣	ɬo35	琐 琐碎
鍋	vo55	锅 砂锅；锅铲
戈	ko55	戈 大动干戈
果	ko35	果 水果
裹	ko35	裹 包裹
過	ko33	过 过去
科	fo55	科 文科
棵	fo33	棵 一棵
顆	fo33	颗 颗粒
課	fo33	课 上课
訛	ŋo31	讹 讹诈
臥	ŋo31	卧 卧铺
火	fo35	火 火车
伙	fo35	伙 伙食
夥	fo35	伙 伙计，合伙
貨	fo33	货 货物
和	vo31	和 和气
禾	vo31	禾 禾苗
禍	vo23	祸 祸害
和	vo31	和 和诗，唱和
窩	vo55	窝 鸟窝
靴	hɛ55	靴 靴子
巴	ɓa55	巴 巴掌
芭	ɓa55	芭 芭蕉
疤	ɓa55	疤 伤疤
把	ɓa35	把 把柄
霸	ɓa33	霸 霸王
把	ɓa35	把 把握、一把
壩	ɓa33	坝 堤坝
爸	ɓa55	爸 爸爸
怕	pʰa33	怕 害怕
爬	pʰa31	爬 爬树
琶	pʰa31	琶 琵琶
杷	pʰa31	杷 枇杷
耙	pʰa31	耙 犁耙
麻	ma31	麻 麻袋
痲	ma55	痲 麻疹
蟆	mo55	蟆 蛤蟆
媽	ma55	妈 妈妈
馬	ma23	马 骑马
碼	ma23	码 码头
罵	ma31	骂 骂人
拿	na31	拿 拿手；推拿
茶	tʃʰa31	茶 茶叶
楂	tʃa55	楂 山楂
渣	tʃa55	渣 药渣
詐	tʃa33	诈 诈骗
榨	tʃa33	榨 榨油
炸	tʃa33	炸 炸弹
叉	tʃʰa55	叉 叉腰
杈	tʃʰa55	杈 枝杈
差	tʃʰa55	差 差别
岔	tʃʰa55	岔 三岔路口
査	tʃʰa31	查 调查
沙	ʃa55	沙 沙漠
紗	ʃa55	纱 纱布
砂	ʃa55	砂 朱砂；砂纸
痧	ʃa55	痧 刮痧；斑痧
灑	ʃa35	洒 洒水
家	ka55	家 成家，老家
加	ka55	加 加工
痂	ka55	痂 结痂
嘉	ka55	嘉 嘉宾
傢	ka55	家 家具
假	ka35	假 真假
賈	ka35	賈 姓，贾宝玉
假	ka35	假 放假
架	ka33	架 衣架
駕	ka33	驾 驾驶
嫁	ka33	嫁 出嫁
價	ka33	价 价钱
牙	ŋa31	牙 牙齿
芽	ŋa31	芽 豆芽
衙	ŋa31	衙 衙门
蚜	ŋa31	蚜 蚜虫（生在豆类、棉花、稻等幼苗上）
雅	ŋa23	雅 典雅
蝦	ha55	虾 虾蟆（蛤蟆）
嚇	haʔ031	吓 恐吓
霞	ha31	霞 朝霞
蝦	ha55	虾 鱼虾
下	ha23	下 下降
夏	ha31	夏 春夏
廈	ha31	厦 高楼大厦，商厦
