#漢字	音標	解釋
多	tsiɔŋ55	多 多少
將	tsiɔŋ55	将 将军
縛	tsiɔŋ55	缚 缚鞋带，缚鸡
拖	tʰo55	拖 拖拉机
駝	tʰo24	驼 骆驼
舵	tʰo24	舵 舵手
那	na31	那 那里；那霍（地名）
羅	lo24	罗 姓
蘿	lo24	萝 萝卜
左	tso31	左 左右
搓	tsʰai55	搓 搓手；搓棉线
歌	ko55	歌 唱歌
哥	ko55	哥 哥哥
個	kai33	个 一个
可	kʰo31	可 可以
蛾	ŋo24	蛾 飞蛾
鵝	ŋo24	鹅 天鹅
我	ŋo55	我 我们（文）
餓	ŋo33	饿 肚子饿
河	ho24	河 黄河
何	ho24	何 姓何
荷	ho24	荷 荷花；薄荷
賀	ho33	贺 祝贺
阿	a55	阿 阿哥
阿	o33	阿 阿胶；阿弥陀佛
茄	kʰio24	茄 茄子
波	po55	波 风波
菠	po55	菠 菠菜
跛	pe55	跛 跛足
簸	pɔi33	簸 簸箕
播	po33	播 播种
坡	pʰo55	坡 山坡
玻	po55	玻 玻璃
破	pʰo33	破 破坏
婆	pʰo24	婆 外婆
魔	mo55	魔 魔术
磨	mo33	磨 磨刀（动）；石磨（名）
朵	to31	朵 一朵花
剁	tɔk055	剁 剁猪肉
妥	tʰo31	妥 妥当
糯	no33	糯 糯米
螺	lo24	螺 田螺
囉	lo55	啰 啰嗦
銼	tsʰo33	锉 锉刀
坐	tsʰo55	坐 请坐
座	tsʰo33	座 座位
蓑	so55	蓑 蓑衣
梭	so55	梭 织布梭
唆	so55	唆 唆使
鎖	so31	锁 门锁
瑣	so31	琐 琐碎
鍋	ʋɔk055	锅 砂锅；锅铲
果	kuo31	果 水果
裹	kuo31	裹 包裹
過	kuo33	过 过去
科	kʰo55	科 文科
棵	kʰo55	棵 一棵
顆	kʰo55	颗 颗粒
課	fo33	课 上课
臥	ŋo33	卧 卧室
火	fo31	火 火车
夥	fo31	伙 伙计，合伙
貨	fo33	货 货物
和	fo24	和 和气
禾	ʋo24	禾 禾苗
禍	ʋo33	祸 祸害
窩	ʋo55	窝 鸟窝
靴	hio55	靴 靴子
巴	pa55	巴 巴掌
芭	pa55	芭 芭蕉
把	pa31	把 把握、一把
霸	pa33	霸 霸王
壩	pa33	坝 堤坝
爸	pa55	爸 爸爸
怕	pʰa33	怕 害怕
爬	pʰa24	爬 爬树
杷	pʰa24	杷 枇杷
麻	ma24	麻 麻袋
痲	ma24	痲 麻疹
媽	ma55	妈 妈妈
馬	ma55	马 骑马
碼	ma55	码 码头
罵	ma33	骂 骂人
拿	na55	拿 拿手；推拿
茶	tsʰa24	茶 茶叶
搽	tsʰa24	搽 搽药
楂	tsa55	楂 山楂
渣	tsa55	渣 药渣
詐	tsa33	诈 诈骗
榨	tsa33	榨 榨油
叉	tsʰa55	叉 叉腰；母夜叉
杈	tsʰa55	杈 枝杈
差	tsʰa55	差 差别
岔	tsʰa55	岔 三岔路口
査	tsʰa24	查 调查
沙	sa55	沙 沙漠
紗	sa55	纱 纱布
痧	sa55	痧 刮痧；斑痧
灑	sa31	洒 洒水
家	ka55	家 成家，老家；家具
加	ka55	加 加工
假	ka31	假 真假
假	ka31	假 放假，假期
架	ka33	架 衣架
價	ka33	价 价钱
牙	ŋa24	牙 牙齿
芽	ŋa24	芽 豆芽
蝦	ha55	虾 鱼虾
霞	ha24	霞 朝霞
夏	ha33	夏 春夏
下	ha33	下 樓下；下面
鴉	a55	鸦 乌鸦
椏	a55	桠 桠杈
啞	a31	哑 哑巴
亞	a55	亚 亚洲
姐	tsia31	姐 姐姐
借	tsia33	借 借钱
且	tsʰia31	且 而且
些	sia55	些 一些
寫	sia31	写 写字
卸	sia33	卸 卸货
邪	sia24	邪 邪气
斜	tsʰia24	斜 斜线
謝	tsʰia33	谢 谢谢；姓
爹	ia24	爹 爷
遮	tsa55	遮 遮挡
者	tsa31	者 记者
蔗	tsa33	蔗 甘蔗
車	tsʰa55	车 火车
扯	tsʰa31	扯 拉扯
蛇	sa24	蛇 毒蛇
射	sa33	射 发射
麝	sa33	麝 麝香
賒	tsʰa55	赊 赊帐
捨	sa31	舍 舍得，舍弃
舍	sa31	舍 宿舍
社	sa55	社 公社
惹	ȵia55	惹 招惹
爺	ia24	爷 爷爷
也	ia33	也 也是
野	ia31	野 野兔
夜	ia33	夜 夜晚
傻	so24	傻 傻瓜
瓜	kua55	瓜 西瓜
寡	kua31	寡 寡妇
