#漢字	音標	解釋
撈	lou55	捞 捞钱
豹	pʰau33	豹 一种动物（少）
靑	tsʰiaŋ55	青 青色（白）
星	ɬiaŋ55	星 天星（白）
拖	tʰo55	拖 拖拉机
駝	tʰo21	驼 骆驼
舵	tʰo13	舵 舵手
那	na35	那 那里；那霍（地名）
羅	lo21	罗 姓
蘿	lo21	萝 萝卜
左	tso35	左 左右
搓	tsʰo55	搓 搓手；搓棉线
歌	ko55	歌 唱歌
哥	ko55	哥 哥哥
個	ko33	个 一个
可	ho35	可 可以
蛾	ŋo21	蛾 飞蛾
鵝	ŋo55	鹅 天鹅
我	ŋo13	我 我们
餓	ŋo21	饿 肚子饿
河	ho21	河 黄河
何	ho21	何 姓何
荷	ho21	荷 荷花；薄荷
賀	ho21	贺 祝贺
阿	a33	阿 阿哥
阿	o55	阿 阿胶；阿弥陀佛
茄	kʰɛ21	茄 茄子
波	po55	波 风波
菠	po55	菠 菠菜
跛	pɐi55	跛 跛足
簸	paʔ033	簸 簸箕
播	po33	播 播种
坡	pʰo55	坡 山坡
玻	po55	玻 玻璃
破	pʰo33	破 破坏
婆	pʰo21	婆 外婆
魔	mo55	魔 魔术
磨	mo21	磨 磨刀（动）；石磨（名）
朵	to35	朵 一朵花
剁	tøʔ055	剁 剁猪肉
妥	tʰo13	妥 妥当
糯	no21	糯 糯米
螺	lo21	螺 田螺
囉	lo21	啰 啰嗦
銼	tsʰo33	锉 锉刀
坐	tsʰo13	坐 请坐
座	tsʰo13	座 座位
蓑	ɬo35	蓑 蓑衣
梭	so55	梭 织布梭
唆	ɬo55	唆 唆使
鎖	ɬo35	锁 门锁
瑣	ɬo35	琐 琐碎
鍋	ʋɔk021	锅 砂锅；锅铲
果	ko35	果 水果
裹	ko35	裹 包裹
過	ko33	过 过去
科	fo55	科 文科
棵	pʰo55	棵 一棵
顆	kʰo55	颗 颗粒
課	fo33	课 上课
臥	ŋo21	卧 卧室
火	fo35	火 火车
夥	fo35	伙 伙计，合伙
貨	fo33	货 货物
和	ʋo21	和 和气
禾	ʋo21	禾 禾苗
禍	ʋo35	祸 祸害
倭	ʋo55	倭 倭寇
窩	ʋo55	窝 鸟窝
萵	ʋo55	莴 莴笋
靴	hei55	靴 靴子
巴	pa55	巴 巴掌
芭	pa55	芭 芭蕉
把	pa35	把 把握、一把
霸	pa33	霸 霸王
壩	pa33	坝 堤坝
爸	pa55	爸 爸爸
怕	pʰa33	怕 害怕
爬	pʰa21	爬 爬树
杷	pʰa21	杷 枇杷
麻	ma21	麻 麻袋
痲	ma21	痲 麻疹
媽	ma55	妈 妈妈
馬	ma13	马 骑马
碼	ma13	码 码头
罵	ma21	骂 骂人
拿	na35	拿 拿手；推拿
茶	tsʰa21	茶 茶叶
搽	tsʰa21	搽 搽药
楂	tsa55	楂 山楂
渣	tsa55	渣 药渣
詐	tsa33	诈 诈骗
榨	tsa33	榨 榨油
叉	tsʰa55	叉 叉腰；母夜叉
杈	tsʰa55	杈 枝杈
差	tsʰa55	差 差别
岔	tsʰa55	岔 三岔路口
査	tsʰa21	查 调查
沙	sa55	沙 沙漠
紗	sa55	纱 纱布
痧	sa55	痧 刮痧；斑痧
灑	sa35	洒 洒水
家	ka55	家 成家，老家；家具
加	ka55	加 加工
假	ka35	假 真假
假	ka35	假 放假，假期
架	ka33	架 衣架
價	ka33	价 价钱
牙	ŋa21	牙 牙齿
芽	ŋa21	芽 豆芽
蝦	ha55	虾 鱼虾
霞	ha21	霞 朝霞
夏	ha21	夏 春夏
下	ha21	下 樓下；下面
鴉	a55	鸦 乌鸦
椏	a55	桠 桠杈
啞	a35	哑 哑巴
亞	a33	亚 亚洲
姐	tsei35	姐 姐姐
借	tsɛ33	借 借钱
且	tsʰɛ35	且 而且
些	ɬɛ55	些 一些
寫	ɬɛ35	写 写字
卸	ɬɛ33	卸 卸货
邪	tsʰɛ21	邪 邪气
斜	tsʰɛ21	斜 斜线
謝	tsɛ21	谢 谢谢；姓
爹	tɛ55	爹 爹娘
遮	tsɛ55	遮 遮挡
者	tsɛ35	者 记者
