#漢字	音標	解釋
多	to55	多 多少
拖	tʰo55	拖 拖拉机
他	tʰa55	他 其他
駝	tʰo21	驼 骆驼
舵	tʰo21	舵 舵手
大	tai21	大 大夫、大黄
哪	na21	哪 哪里；哪吒
那	na21	那 那里；那良（地名）
羅	lo21	罗 姓
鑼	lo21	锣 锣鼓
蘿	lo21	萝 萝卜
籮	lo21	箩 箩筐
左	tʃo35	左 左右
佐	tʃo35	佐 辅佐
搓	tʃʰo55	搓 搓手；搓衣领
歌	ko55	歌 唱歌
哥	ko55	哥 哥哥
個	ko33	个 一个
可	ho35	可 可以
蛾	ŋo21	蛾 飞蛾
鵝	ŋo55	鹅 天鹅
俄	ŋo21	俄 俄国
我	ŋo13	我 我们
餓	ŋo21	饿 肚子饿
荷	ho21	荷 薄荷
河	ho21	河 黄河
何	ho21	何 姓何
荷	ho21	荷 荷花
賀	ho21	贺 祝贺
阿	a55	阿 阿哥
阿	o55	阿 阿胶；阿弥陀佛
茄	kʰe21	茄 茄子
波	po55	波 风波
菠	po55	菠 菠菜
跛	pɐi55	跛 跛脚
簸	poʔ033	簸 簸箕
播	po33	播 播种
頗	pʰo35	颇 颇有心得
坡	pʰo55	坡 山坡
玻	po55	玻 玻璃
破	pʰo33	破 破坏
婆	pʰo21	婆 外婆
薄	poʔ022	薄 薄荷
魔	mo55	魔 魔术
磨	mo21	磨 磨刀（动）
摩	mo55	摩 摩擦
磨	mo21	磨 石磨（名）
朵	to35	朵 一朵花
躲	to35	躲 躲避
剁	tiaʔ055	剁 剁猪肉
妥	tʰo35	妥 妥当
橢	tʰo35	椭 椭圆
惰	to21	惰 懒惰
墮	to21	堕 堕胎
糯	no21	糯 糯米
螺	lo21	螺 田螺
腡	lo21	腡 手指纹
囉	lo55	啰 啰嗦
銼	tʃʰo33	锉 锉刀
坐	tʃʰo35	坐 请坐
座	tʃo21	座 座位
蓑	ɬo35	蓑 蓑衣
梭	ɬo55	梭 织布梭
唆	ɬo55	唆 唆使
鎖	ɬo35	锁 门锁
瑣	ɬo35	琐 琐碎
戈	kʰo55	戈 大动干戈
果	ko35	果 水果
裹	ko35	裹 包裹
餜	ko35	馃（粿） 炒粿条
過	ko33	过 过去
科	fo55	科 文科
棵	kʰo55	棵 一棵
顆	kʰo55	颗 颗粒
課	fo33	课 上课
訛	ŋo21	讹 讹诈；讹钱
臥	ŋo21	卧 卧铺
火	fo35	火 火车
伙	fo35	伙 伙食
夥	fo35	伙 伙计，合伙
貨	fo33	货 货物
和	ʋo21	和 和气
禾	ʋo21	禾 禾苗
禍	ʋo21	祸 祸害
和	ʋo21	和 和诗，唱和
窩	ʋo55	窝 鸟窝
靴	he55	靴 靴子
巴	pa55	巴 巴掌
芭	pa55	芭 芭蕉
疤	pa55	疤 伤疤
吧	pa55	吧 酒吧
笆	pa55	笆 篱笆
把	pa35	把 把柄
霸	pa33	霸 霸王
把	pa35	把 把握、一把
壩	pa33	坝 堤坝
爸	pa55	爸 爸爸
怕	pʰa33	怕 害怕
帕	pʰaʔ033	帕 手帕
爬	pʰa21	爬 爬树
琶	pʰa21	琶 琵琶
杷	pʰa21	杷 枇杷
耙	pʰa21	耙 犁耙
麻	ma21	麻 麻袋
痲	ma21	痲 麻疹
蟆	moʔ033	蟆 蛤蟆
媽	ma55	妈 妈妈
馬	ma13	马 骑马
碼	ma13	码 码头
罵	ma21	骂 骂人
拿	na21	拿 拿手；推拿
茶	tʃʰa21	茶 茶叶
搽	tʃʰa21	搽 搽药
楂	tʃa55	楂 山楂
渣	tʃa55	渣 药渣
詐	tʃa33	诈 诈骗
榨	tʃa33	榨 榨油
炸	tʃa33	炸 炸弹
叉	tʃʰa55	叉 叉腰
杈	tʃʰa55	杈 枝杈
差	tʃʰa55	差 差别
岔	tʃʰa55	岔 三岔路口
査	tʃʰa21	查 调查
乍	tʃa33	乍 初来乍到
沙	ʃa55	沙 沙漠
紗	ʃa55	纱 纱布
砂	ʃa55	砂 朱砂；砂纸
痧	ʃa55	痧 刮痧；斑痧
灑	ʃa35	洒 洒水
廈	ha21	厦 大厦；厦门
家	ka55	家 成家，老家
加	ka55	加 加工
痂	ka55	痂 结痂
嘉	ka55	嘉 嘉宾
傢	ka55	家 家具
假	ka35	假 真假
賈	ka35	賈 姓，贾宝玉
假	ka35	假 放假
架	ka33	架 衣架
駕	ka33	驾 驾驶
嫁	ka33	嫁 出嫁
稼	ka33	稼 庄稼
價	ka33	价 价钱
牙	ŋa21	牙 牙齿
芽	ŋa21	芽 豆芽
衙	ŋa21	衙 衙门
蚜	ŋa21	蚜 蚜虫（生在豆类、棉花、稻等幼苗上）
