#漢字	音標	解釋
多	to55	多 多少
拖	tʰo55	拖 拖拉机
駝	tʰo21	驼 骆驼
舵	tʰo13	舵 舵手
那	na35	那 那里；那霍（地名）
羅	lo21	罗 姓
蘿	lo21	萝 萝卜
左	tso35	左 左右
搓	no55	搓 搓手；搓棉线
歌	ko55	歌 唱歌
哥	ko55	哥 哥哥
個	ko33	个 一个
可	ho35	可 可以
蛾	ŋo21	蛾 飞蛾
鵝	ŋo55	鹅 天鹅
我	ŋo13	我 我们
餓	ŋo21	饿 肚子饿
河	ho21	河 黄河
何	ho21	何 姓何
荷	ho21	荷 荷花；薄荷
賀	ho21	贺 祝贺
阿	a33	阿 阿哥
阿	o53	阿 阿胶；阿弥陀佛
茄	kʰɛ21	茄 茄子
波	po55	波 风波
菠	po55	菠 菠菜
跛	pɐi55	跛 跛足
簸	pɔʔ033	簸 簸箕
播	po33	播 播种
坡	pʰo55	坡 山坡
玻	po55	玻 玻璃
破	pʰo33	破 破坏
婆	pʰo21	婆 外婆
魔	mo55	魔 魔术
磨	mo21	磨 磨刀（动）；石磨（名）
朵	to35	朵 一朵花
剁	tiɛʔ033	剁 剁猪肉
妥	tʰo13	妥 妥当
糯	no21	糯 糯米
螺	lo21	螺 田螺
囉	lo21	啰 啰嗦
銼	tsʰo33	锉 锉刀
坐	tsʰo13	坐 请坐
座	tso21	座 座位
蓑	ɬo35	蓑 蓑衣
梭	ɬo55	梭 织布梭
唆	ɬo55	唆 唆使
鎖	ɬo35	锁 门锁
瑣	ɬo35	琐 琐碎
鍋	ʋo55	锅 砂锅；锅铲
果	ko35	果 水果
裹	ko35	裹 包裹
過	ko33	过 过去
科	fo55	科 文科
棵	kʰo55	棵 一棵
顆	kʰo55	颗 颗粒
課	fo33	课 上课
臥	ŋo21	卧 卧室
火	fo35	火 火车
夥	fo35	伙 伙计，合伙
貨	fo33	货 货物
和	ʋo21	和 和气
禾	ʋo21	禾 禾苗
禍	ʋo13	祸 祸害
倭	ʋo55	倭 倭寇
窩	ʋo55	窝 鸟窝
萵	ʋo55	莴 莴笋
