#漢字	音標	解釋
惜	ɬek055	惜 可惜
姓	ɬeŋ44	姓 姓名（文）
性	ɬeŋ33	性 性别
藉	tʃek021	藉 狼藉
省	ɬeŋ35	省 反省
籍	tʃek021	籍 籍贯
淨	tʃeŋ31	净 净重（文）
靖	tʃeŋ31	靖 靖边，靖康
靜	tʃeŋ31	静 安静
晴	tʃʰeŋ11	晴 天晴
情	tʃʰeŋ11	情 情节
請	tʃʰeŋ35	请 请人，邀请
淸	tʃʰeŋ33	清 清洁，水很清
脊	tʃiaʔ033	脊 背脊
積	tʃek055	积 积极
跡	tʃek055	迹 笔迹
井	tʃiaŋ35	井 一口井（白）
睛	tʃeŋ33	睛 眼睛
晶	tʃeŋ33	晶 水晶
精	tʃeŋ33	精 精神
令	leŋ31	令 令人
嶺	liaŋ13	岭 山岭，岭南
領	liaŋ13	领 衣领（白）
名	meŋ11	名 名气，名声（文）
辟	pʰek055	辟 开辟
癖	pʰek055	癖 癖好，怪癖
僻	pʰek055	僻 偏僻
聘	pʰeŋ44	聘 聘请
璧	pek055	璧 玉璧
倂	peŋ44	并 合并
映	ieŋ35	映 反映
餠	piaŋ35	饼 饼干
英	ieŋ33	英 英雄
影	ieŋ35	影 电影
逆	ŋaʔ021	逆 逆风
迎	ŋeŋ11	迎 欢迎
屐	kiaʔ021	屐 木屐
劇	kiaʔ021	剧 戏剧
劇	kiaʔ021	剧 剧烈
競	keŋ31	竞 竞争
鯨	keŋ33	鲸 鲸鱼
卿	heŋ33	卿 人名用字；爱卿
慶	heŋ44	庆 庆祝
戟	kek055	戟 方天画戟
鏡	kiaŋ44	镜 镜子，圆镜
竟	keŋ35	竟 竟然
敬	keŋ44	敬 敬爱
景	keŋ35	景 景色
警	keŋ35	警 警察
境	keŋ35	境 境界
驚	kiaŋ33	惊 吃惊，好惊
京	keŋ33	京 北京
荆	keŋ33	荆 荆州
命	miaŋ31	命 一条命（白）
皿	mɐŋ13	皿 器皿
明	meŋ11	明 明年
盟	mɐŋ11	盟 同盟
鳴	meŋ11	鸣 鸣叫
病	piaŋ31	病 生病
坪	pʰeŋ11	坪 草坪
評	pʰeŋ11	评 批评
平	pʰeŋ11	平 平时（文）
碧	pek055	碧 碧玉
柄	piaŋ44	柄 把柄
秉	peŋ35	秉 秉公办事
丙	peŋ35	丙 甲乙丙丁
兵	peŋ33	兵 当兵
扼	aʔ033	扼 扼杀
軛	aʔ033	轭 牛轭（牛耕田时套的工具）
櫻	ieŋ33	樱 樱桃
鶯	aŋ33	莺 黄莺
鸚	ieŋ33	鹦 鹦鹉
核	vɐʔ021	核 核对
核	vɐʔ021	核 果核
幸	haŋ31	幸 幸福
莖	keŋ44	茎 花茎
革	kaʔ033	革 革命；皮革
隔	kaʔ033	隔 隔开，隔壁
耕	kaŋ33	耕 耕田
耿	kɐŋ35	耿 耿耿于怀
冊	tʃʰaʔ033	册 书册
策	tʃʰaʔ033	策 策略
責	tʃa44	责 责任
踭	tʃaŋ33	踭 脚后跟
箏	tʃaŋ33	筝 风筝
睜	tʃʰaŋ44	睁 睁眼
爭	tʃaŋ33	争 争吵，战争
橙	tʃʰɐŋ11	橙 橙子，脐橙
摘	tʃaʔ021	摘 文摘；摘花
麥	mɐʔ021	麦 大麦
脈	mɐʔ021	脉 把脉
氓	mɔŋ11	氓 流氓
萌	meŋ11	萌 萌芽
棚	pʰaŋ11	棚 瓜棚
蚌	pʰɔŋ35	蚌 蚌壳
檗	pʰaʔ033	檗 黄檗（中药名）
擘	mek055	擘 用手擘开
逬	pʰeŋ44	迸 迸裂
繃	pʰaŋ11	绷 绷带
浜	pɔŋ33	浜 沙家浜
行	haŋ11	行 品行
衡	haŋ11	衡 平衡
杏	haŋ31	杏 杏仁
嚇	haʔ033	吓 吓一跳
行	haŋ11	行 行走；行为
赫	haʔ033	赫 显赫
額	ŋaʔ021	额 名额
亨	hɐŋ33	亨 大亨
硬	ŋaŋ31	硬 软硬
客	haʔ033	客 客人
坑	haŋ33	坑 坑害
骼	lɔk033	骼 骨骼
更	kaŋ33	更 三更
格	kaʔ033	格 格子
埂	kaŋ33	埂 田埂
哽	kʰɐŋ35	哽 骨哽在喉
羹	kaŋ33	羹 调羹
粳	kaŋ33	粳 粳米
庚	kaŋ33	庚 庚子，庚款
更	kɐŋ44	更 更加
省	ʃaŋ35	省 省长
省	ʃaŋ35	省 节省
甥	ʃaŋ33	甥 外甥
笙	ʃaŋ33	笙 乐器
牲	ʃaŋ33	牲 牺牲；畜牲
生	ʃaŋ33	生 生活；生小孩
窄	tʃa44	窄 狭窄
宅	tʃaʔ021	宅 住宅
澤	tʃaʔ021	泽 毛泽东
擇	tʃaʔ021	择 择菜；选择
拆	tʃʰaʔ033	拆 拆开
撑	tʃʰaŋ33	撑 支撑
打	ta35	打 打针
冷	laŋ13	冷 天冷
陌	paʔ033	陌 陌生
孟	maŋ31	孟 孟子
猛	maŋ13	猛 凶猛
盲	maŋ11	盲 盲人，文盲
虻	mɔŋ11	虻 牛虻
帛	paʔ021	帛 财帛
白	paʔ021	白 白色；白吃白喝
膨	pʰaŋ11	膨 膨胀
魄	pʰaʔ033	魄 魂魄
彭	pʰaŋ11	彭 姓
珀	pʰaʔ033	珀 琥珀
拍	pʰaʔ033	拍 拍球
碰	pʰoŋ44	碰 碰到
迫	pek055	迫 迫害
烹	pʰɐŋ33	烹 烹调
柏	pʰaʔ033	柏 柏树
伯	paʔ033	伯 伯父
百	paʔ033	百 百姓
惑	vaʔ021	惑 迷惑
域	vek021	域 地域
或	vaʔ021	或 或者
國	kɔk033	国 中国
弘	hoŋ11	弘 弘扬
翼	iek021	翼 机翼
蠅	ieŋ11	蝇 苍蝇
孕	ȵiɐŋ31	孕 怀孕
抑	iek055	抑 压抑
憶	iek055	忆 回忆
億	iek055	亿 亿万
應	ieŋ33	应 应该
應	ieŋ44	应 应对，响应
鷹	ieŋ33	鹰 老鹰
興	heŋ44	兴 高兴
興	heŋ33	兴 兴旺
極	kek021	极 南极
凝	ŋeŋ11	凝 凝固
棘	laʔ021	棘 棘手
仍	ŋeŋ11	仍 仍然
扔	ŋeŋ11	扔 扔掉
植	tʃek021	植 植物
殖	tʃek021	殖 繁殖
丞	ʃeŋ11	丞 丞相
飾	ʃek055	饰 装饰
承	ʃeŋ11	承 继承
式	ʃek055	式 式样
勝	ʃeŋ44	胜 胜任
識	ʃek055	识 认识
勝	ʃeŋ44	胜 胜败，战胜
升	ʃeŋ33	升 升级
食	ʃek021	食 食物
蝕	ʃek021	蚀 月蚀，腐蚀
剩	ʃeŋ31	剩 剩余
乘	ʃeŋ11	乘 乘法
繩	ʃeŋ11	绳 麻绳
秤	tʃʰeŋ44	秤 一杆秤
稱	tʃʰeŋ33	称 相称，称心
稱	tʃʰeŋ33	称 称呼；称重量
職	tʃek055	职 职务
織	tʃek055	织 织布
證	tʃeŋ44	证 证明
症	tʃeŋ44	症 病症
拯	ʃeŋ11	拯 拯救
蒸	tʃeŋ33	蒸 蒸发
色	ʃek055	色 色彩
嗇	ʃek055	啬 吝啬
惻	tʃɐʔ055	恻 恻隐之心
測	tʃʰɐʔ055	测 测量
側	tʃʰɐʔ055	侧 侧面
直	tʃek021	直 直接
値	tʃek021	值 价值
瞪	tʃʰaŋ44	瞪 瞪眼
橙	tʃʰɐŋ11	橙 橙子
懲	tʃʰeŋ11	惩 惩罚
澄	kʰeŋ11	澄 水浑，澄一澄
媳	ɬek055	媳 媳妇
徵	tʃeŋ33	征 征求
熄	ɬek055	熄 熄灭
息	ɬek055	息 休息
各	kɔk033	各 各位
閣	kɔk033	阁 阁下；阁楼（现读）
杠	kɔŋ33	杠 抬物用具，高低杠
缸	kɔŋ33	缸 水缸
鋼	kɔŋ44	钢 钢铁，炼钢
剛	kɔŋ33	刚 刚好
綱	kɔŋ33	纲 大纲
崗	kɔŋ33	岗 站岗
岡	kɔŋ33	冈 井冈山
喪	ɬɔŋ44	丧 丧失
索	ɬɔk033	索 绳索
嗓	ɬɔŋ33	嗓 嗓子
喪	ɬɔŋ44	丧 婚丧，丧事
昨	tʃa44	昨 昨天
桑	ɬɔŋ33	桑 桑树
鑿	tʃɔk021	凿 用凿子凿
藏	tʃɔŋ31	藏 西藏
臟	tʃɔŋ31	脏 内脏
藏	tʃʰɔŋ11	藏 隐藏
錯	tʃʰo44	错 错杂
艙	tʃʰɔŋ33	舱 船舱
蒼	tʃʰɔŋ33	苍 苍白
倉	tʃʰɔŋ33	仓 仓库
作	tʃɔk033	作 工作
髒	tʃɔŋ44	脏 肮脏
葬	tʃɔŋ44	葬 埋葬
贓	tʃɔŋ33	赃 赃款
絡	lɔk033	络 联络
樂	lɔk021	乐 快乐
洛	lɔk033	洛 洛阳
駱	lɔk033	骆 骆驼
落	lɔk021	落 下落
烙	lɔk033	烙 烙印
晾	lɔŋ31	晾 晾衣服
浪	lɔŋ31	浪 浪费
狼	lɔŋ11	狼 豺狼
朗	lɔŋ13	朗 明朗
廊	lɔŋ11	廊 走廊
郞	lɔŋ11	郎 郎中
囊	nɔŋ11	囊 行囊
諾	nɔk033	诺 承诺
踱	tou31	踱 踱方步
鐸	tɔk021	铎 木铎，铃铎
蕩	tɔŋ31	荡 放荡
塘	tʰɔŋ11	塘 池塘
唐	tʰɔŋ11	唐 唐朝
糖	tʰɔŋ11	糖 糖果
螳	tʰɔŋ11	螳 螳螂
棠	tʰɔŋ11	棠 海棠
堂	tʰɔŋ11	堂 堂兄
托	tʰɔk033	托 托盘，托下巴
託	tʰɔk033	托 推托，寄托
趟	tʰɔŋ44	趟 一趟
燙	tʰɔŋ33	烫 烫手
纏	tʃʰin11	缠 纠缠
躺	tʰɔŋ35	躺 躺下
撤	tʃʰit033	撤 撤退
徹	tʃʰit033	彻 彻底
蜇	tʃit033	蜇 蝎子蜇人；海蜇
哲	tʃit033	哲 哲学
展	tʃin35	展 发展
涎	in11	涎 流下的口水
羨	ɬin31	羡 羡慕
薛	ɬit033	薛 姓
泄	ɬit033	泄 泄漏，排泄
綫	ɬin44	线 线索
癬	ɬin35	癣 脚癣
鮮	ɬin33	鲜 新鲜
鮮	ɬin33	鲜 朝鲜
仙	ɬin33	仙 神仙
餞	tʃʰin11	饯 饯行
踐	tʃin35	践 实践
賤	tʃin33	贱 犯贱
錢	tʃʰin11	钱 钱财
淺	tʃʰin35	浅 深浅
遷	tʃʰin44	迁 迁移
箭	tʃin44	箭 射箭
濺	tʃʰin35	溅 溅水
煎	tʃin33	煎 煎药
剪	tʃin35	剪 铰剪
烈	lit021	烈 烈士
裂	lit021	裂 分裂（文）
枝	tʃi33	枝 荔枝
篩	ʃɐi33	筛 筛子
支	tʃi33	支 支持
馳	tʃʰi11	驰 奔驰
池	tʃʰi11	池 池塘
蜘	tʃi33	蜘 蜘蛛
智	tʃi44	智 智慧
知	tʃi33	知 知道
賜	ɬiaʔ033	赐 赏赐
璽	ʃɐi44	玺 玉玺
徙	ʃɐi35	徙 迁徙
撕	ʃi33	撕 撕破
廝	ʃi33	厮 厮打
斯	ʃi33	斯 斯大林
刺	tʃʰi44	刺 鱼刺
雌	tʃʰi33	雌 雌雄
此	tʃʰi35	此 此地
紫	tʃi35	紫 紫色
離	lei11	离 离开
璃	lei11	璃 玻璃
荔	lɐi31	荔 荔枝
