#漢字	音標	解釋
多	tɔ31	多：～少
拖	tʰɔ31	拖：～拉机
他	tʰa31	他：其～
駝	tʰɔ55	驼：骆～
羅	lɔ55	罗：姓
左	tsɔ51	左：～右
哥	kɔ55	哥：大～，学生～
可	kʰɔ51	可：～能，许～证
鵝	ŋɔ55	鹅：天～
我	ŋɔ55	我：自～[文]
我	ŋai55	我：涯，第一人称[白]
餓	iau31	饿：饥～
河	hɔ55	河：黄～
賀	hɔ51	贺：祝～，～礼
阿	a33	阿：～爸
茄	kʰɛu55	茄：茄子；番～
波	pɔ31	波：风～，～浪
破	pʰɔ51	破：～坏
婆	pʰɔ55	婆：老～
磨	mu35	磨：石～[名]
朶	lui51	朵：一～花，花～
糯	nu35	糯：～米
坐	tsʰɔ31	坐：～车，～稳
座	tsʰɔ31	座：～位，上～
簑	sui31	蓑：棕～，～衣
鎖	sɔ51	锁：～匙
果	kɔ51	果：水～
過	kɔ51	过：～去，～头
科	kʰɔ33	科：～学，文～
課	kʰɔ51	课：上～
火	fɔ51	火：着～，～车
貨	fɔ51	货：～车，百～
禾	vɔ55	禾：割～，～苗
靴	hɛ55	靴：皮～
巴	pa33	巴：～掌，～结，～黎
把	pa51	把：～握，～脉
霸	pa51	霸：恶～，～王
爬	pʰa55	爬：～树
麻	ma55	麻：天～，～烦
馬	ma31	马：骑～，～虎
拿	na31	拿：～手，推～
茶	tsʰa55	茶：～叶
渣	tsa31	渣：药～
炸	tsa51	炸：～药
査	tsʰa55	查：调～
沙	sa31	沙：泥～，～漠
家	ka31	家：老～，～庭
假	ka51	假：真～，～设
架	ka51	架：书～
牙	ŋa55	牙：～齿，刷～
蝦	ha55	虾：鱼～，～公
下	ha35	下：～背，底～
下	ha35	下：～降，～流
啞	a51	哑：哑巴，～佬
姐	tsia51	姐：小～[文]
借	tsiak031	借：～钱
且	tsʰia51	且：而～，况～
寫	sia51	写：～字
斜	sia55	斜：不正
謝	sia51	谢：多～；姓
遮	tʃa31	遮：遮挡[动]；伞[名]
者	tʃa51	者：记～，作～
蔗	tʃa51	蔗：甘蔗
車	tʃʰa31	车：火～
扯	tʃʰa51	扯：～开，～烂
蛇	ʃa55	蛇：毒～
射	ʃa51	射：发～，～箭
捨	ʃa51	舍：～唔得（舍不得）
社	ʃa35	社：～会，公～
惹	ʒɿ51	惹：～事
爺	ʒia55	爷：父亲；爷爷[文]
野	ʒia51	野：～人
夜	ʒia35	夜：日～，～班
傻	sa51	傻：～瓜，～子
瓜	kuɔ31	瓜：西～，～分
誇	kʰua31	夸：～大，～张
瓦	ŋua51	瓦：～片
花	fa31	花：开～
華	fa55	华：中～
補	pu51	补：～鞋，～充
布	pu51	布：红～，～料
部	pʰu35	部：～队，干～
步	pʰu35	步：跑～
模	moŋ55	模：～型，～范
墓	mu35	墓：坟～，～地
都	tu31	都：都是
賭	tu51	赌：～博
土	tʰu51	土：～地
圖	tʰu55	图：画～，地～
度	tʰu35	度：～数，长～
奴	nu55	奴：～隶
爐	lu55	炉：火～
滷	lu51	卤：盐～，～水
路	lu35	路：大～
租	tsu31	租：～金，出～
祖	tsu51	祖：～宗，～国
做	tsɔ51	做：～好事
粗	tsʰu31	粗：～心
蘇	su31	苏：～州；姓
姑	ku35	姑：大～
鼓	ku51	鼓：锣～，～励
故	ku51	故：～事，～乡
苦	kʰu51	苦：辛～，食～（吃苦）
苦	kʰu51	苦：～味
褲	kʰu51	裤：裤子
吳	ŋ̍55	吴：姓
五	ŋ̍51	五：数字
誤	ŋɔ35	误：～会，错～
虎	fu51	虎：老～
胡	fu55	胡：二～ ；姓
戶	fu35	户：～口
烏	vu31	乌：黑
女	ŋɯ51	女：女人
呂	lɯ35	吕：姓
慮	lɯ35	虑：考～
序	su35	序：顺～
楚	tsʰu51	楚：清～
豬	tʃu31	猪：～肉
除	tʃʰu55	除：～法
初	tsʰu31	初：当～，～中
鋤	tsʰu55	锄：～草，～禾日当午
助	tsu35	助：帮～
梳	sɿ31	梳：梳子[名]；梳头[动]
煮	tʃu51	煮：～饭
處	tʃʰu51	处：～理，相～
書	ʃu31	书：读～
鼠	tʃʰu51	鼠：老～
薯	ʃu55	薯：番～
如	ʒu55	如：～果，假～
舉	kɯ51	举：～报，～重
鋸	kɯ51	锯：电～
去	kʰɯ51	去：来～，过～
佢	kɯ55	佢：他，第三人称
巨	kɯ35	巨：～大，艰～
魚	ŋ̍55	鱼：金～
語	ŋɯ51	语：～文
虛	hɯ31	虚：～心
許	su51	许：允～；姓
餘	ʒu55	余：多～
預	ʒu35	预：～报，～备
夫	fu31	夫：～妻，车～
府	fu51	府：政～
斧	pu51	斧：～头
輔	fu35	辅：～导，～助
武	vu51	武：～器，～术
舞	vu51	舞：跳～
務	vu35	务：任～，～农
取	tʃʰu51	取：～钱
趣	tʃʰu51	趣：兴～
聚	tsu35	聚：～会
需	su31	需：～要
柱	tsʰu31	柱：柱子
住	tsu35	住：～宿
朱	tʃu31	朱：姓
主	ʦu51	主：～人，地～
樹	ʃu35	树：～立，种～
區	kʰɯ31	区：地～，～别
具	kʰɯ35	具：～体
遇	ŋɔ35	遇：遭～，相～，～到
雨	vu51	雨：落～，谷～，～水
臺	tʰai55	台：～湾
代	tʰɔi35	代：～替，～表
耐	naĩ35	耐：～力，～心，忍～
來	lɔi55	来：过～，～去
再	tsai51	再：～来
彩	tsʰai51	彩：～色
菜	tsʰɔi51	菜：煮～，青～
才	tsʰai55	才：人～，～气，秀～
賽	sai51	赛：比～
該	kai31	该：应～
改	kɔi51	改：修～，～正
開	kʰɔi31	开：公～，～门
海	hɔi51	海：大～
哀	ai31	哀：悲～
愛	ɔĩ51	爱：～情；要
帶	tai51	带：鞋～
大	tʰai35	大：大小
賴	lai35	赖：依～，无～；姓
艾	hĩ35	艾：艾草
害	hɔi35	害：～人
拜	pɛ51	拜：结～，礼～，～佛
排	pʰai55	排：～队
埋	pɔi51	埋：～伏
齋	tsai31	斋：食～（吃斋）
階	kɔi31	阶：台～，～级
介	kai51	介：～绍，中～
擺	pai51	摆：摇～
派	pʰai51	派：正～，～出所
買	mi31	买：～卖
賣	mi31	卖：买～
柴	tsʰɛu55	柴：姓；火～
街	kɛ33	街：～路
解	kɔi51	解：～释，讲～[文]
鞋	hɛ55	鞋：布～
蟹	hɛ51	蟹：老～
矮	ɛ51	矮：高矮
敗	pʰai35	败：失～
幣	pi35	币：人民～
例	li35	例：举～，～外
制	tsi51	制：～度
世	ʃɛ51	世：～界
藝	ŋi51	艺：～术，文～晚会
米	mi51	米：大米
低	tɛ31	低：高～
底	tɛ51	底：水～
梯	tʰɔi31	梯：楼～
體	tʰi51	体：～育，身～
題	tʰi55	题：～目，难～
蹄	tʰɛ55	蹄：马～
弟	ti35	弟：兄～[文]
弟	tʰɛ31	弟：弟弟，老～[白]
泥	ni55	泥：水～，地～（地板）
犁	lɯ55	犁：耕田用具
禮	li51	礼：～貌
齊	tsʰɛ55	齐：整～，放～，来～[白]
西	sɛ31	西：东西南北
洗	sɛ51	洗：～菜，～衣机
細	sɛ51	细：粗细，大小
雞	kɛ31	鸡：～公（公鸡）
計	kɛ51	计：～算，会～
溪	kʰɛ31	溪：～水
啟	kʰi51	启：～发
係	hɛ35	系：是[白]
杯	pui31	杯：茶～
輩	pʰɔi35	辈：～分，长～
背	pʰɔi35	背：违～，后～
配	pʰɔi51	配：分～，搭～
賠	pʰɔi55	赔：～钱
背	pʰɔi35	背：～书
梅	mɔi55	梅：～花
妹	mɔi51	妹：妹妹，姊～，老～
堆	tui31	堆：一～[量]，～放[动]
對	tui51	对：～错；成双成～
推	tʰui31	推：～荐，～动
退	tʰui51	退：后～，～步[文]
內	nuĩ35	内：～行，～外
雷	lui55	雷：打～，～公；姓
催	tsʰui31	催：～促，～眠
罪	tsʰui35	罪：得～，犯～[文]
碎	tsʰui51	碎：～布，破～
塊	kʰuai51	块：一～钱，～头
灰	fui31	灰：石～，～色
回	fɔi35	回：～想[文]
最	tsui51	最：～好
外	ŋuaĩ35	外：～面
會	fui35	会：开～
會	vɔi35	会：～睡，～来
乖	kuai31	乖：小孩听话
怪	kuai51	怪：奇～
懷	fai55	怀：～疑
壞	fai35	坏：～人
拐	kuai51	拐：～卖，铁～李
掛	kua51	挂：～起来，牵～，～钩
歪	uaĩ31	歪：～风邪气
話	va35	话：笑～，讲～[文，名]
話	va35	话：说[白，动]
稅	sui35	税：交～，～收
銳	zui35	锐：尖～，～角
肺	hui51	肺：猪～
皮	pʰi55	皮：调～，～肤
此	tsʰɿ51	此：到～为止
知	ti31	知：通～，～道，无～[文]
知	ti31	知：知道，唔～[白]
池	tsʰi55	池：水～
紙	tsi51	纸：白～
兒	zi55	儿：～童
徛	kʰi31	徛：站立；（山）斜度高
儀	ŋi55	仪：礼～，～式
蟻	ŋi51	蚁：蚂蚁，白～
義	ŋi35	义：情～，～气
戲	hi51	戏：做～
椅	ŋĩ51	椅：椅子，藤～
易	zi35	易：容～
比	pi51	比：～较，对～
屁	pʰi51	屁：放～
鼻	pʰĩ35	鼻：鼻子；鼻涕
眉	mĩ55	眉：眉毛，画～
美	mui31	美：～丽，～化
地	tʰi35	地：土～
膩	nik055	腻：油～，细～
資	tsɿ31	资：～本
姊	tsi51	姊：～妹
次	tsʰɿ51	次：名～，～品
自	tsi51	自：～私
自	ʦʰɿ35	自：～私
四	si51	四：数字
師	sɿ31	师：老～，～父
指	tsi51	指：手～，～甲
屎	ʃi51	屎：狗～
二	ŋi35	二：数字
姨	ʒi55	姨：大～，～丈
李	li51	李：姓；水果
理	li51	理：道～，～由
子	tsɿ51	子：～孙；孔～
字	tsʰɿ35	字：～典，文～
絲	si31	丝：～绸
詞	sɿ55	词：歌～
寺	si35	寺：～庙，灵光～
柿	pi31	柿：柿子，～饼
痣	tsi51	痣：乌～
齒	tsʰi51	齿：牙～
詩	ʃi31	诗：～人
時	ʃi55	时：～间，当～
耳	ŋi51	耳：耳朵，中～炎
基	ki33	基：～本，地～
記	ki51	记：笔～，～号
起	kʰi51	起
喜	hi51	喜：～欢
醫	zi33	医：～生
意	zi51	意：～思
以	zi51	以：可～，～为
幾	kiɔ35	几：～只
幾	ki51	几：～只
氣	kʰi51	气：～人，空～
希	hi31	希：～望
隨	sui55	随：～时，～便
吹	tʃʰɛ31	吹：～牛皮，～喇叭
跪	kʰui35	跪：下～
危	mui31	危：～险，安～
委	vui51	委：～托，常～
