#漢字	音標	解釋
多	tuɐ34	多：～少
拖	huɐ34	拖：～拉机
他	hɒ34	他：其～
駝	huɐ22	驼：骆～
哪	ⁿduɐ21	哪：～吒
羅	luɐ22	罗：姓
左	tsuɐ45	左：～右
哥	kuɐ45	哥：大～，学生～
可	huɐ45	可：～能，许～证
鵝	ᵑɡuɐ22	鹅：天～
我	ᵑɡuɐ21	我：自～[文]
我	ᵑɡuɐ21	我：涯，第一人称[白]
餓	ᵑɡuɐ31	饿：饥～
河	huɐ22	河：黄～
賀	huɐ31	贺：祝～，～礼
阿	a34	阿：～爸
茄	kiɐ34	茄：茄子；番～
波	puɐ34	波：风～，～浪
破	pʰuɐ34	破：～坏
婆	pʰuɐ22	婆：老～
磨	ᵐbuɐ31	磨：石～[名]
朶	tuɐ45	朵：一～花，花～
糯	ⁿduɐ31	糯：～米
坐	ʈʰuɐ21	坐：～车，～稳
座	tsuɐ31	座：～位，上～
簑	suɐ34	蓑：棕～，～衣
鎖	suɐ45	锁：～匙
果	kuɐ45	果：水～
過	kuɐ34	过：～去，～头
科	fuɐ34	科：～学，文～
課	fuɐ34	课：上～
火	fuɐ45	火：着～，～车
貨	fuɐ34	货：～车，百～
禾	vuɐ22	禾：割～，～苗
靴	hiɐ34	靴：皮～
巴	pɒ34	巴：～掌，～结，～黎
把	pɒ45	把：～握，～脉
霸	pɒ34	霸：恶～，～王
怕	pʰɒ34	怕：害怕，惊～
爬	pʰɒ22	爬：～树
麻	ᵐbɒ22	麻：天～，～烦
馬	ᵐbɒ21	马：骑～，～虎
拿	ⁿdɒ22	拿：～手，推～
茶	ʈʰɒ22	茶：～叶
渣	tsɒ21	渣：药～
炸	tsɒ34	炸：～药
査	ʈʰɒ34	查：调～
沙	sɒ34	沙：泥～，～漠
家	kɒ34	家：老～，～庭
假	kɒ45	假：真～，～设
架	kɒ21	架：书～
牙	ᵑɡɒ22	牙：～齿，刷～
蝦	hɒ34	虾：鱼～，～公
下	hɒ31	下：～背，底～
下	hɒ31	下：～降，～流
啞	ɒ45	哑：哑巴，～佬
姐	tsiɐ45	姐：小～[文]
借	tsiɐ34	借：～钱
且	ʈʰiɐ45	且：而～，况～
寫	siɐ45	写：～字
斜	ʈʰiɐ22	斜：不正
謝	tsiɐ31	谢：多～；姓
遮	tsiɐ34	遮：遮挡[动]；伞[名]
者	tsiɐ45	者：记～，作～
蔗	tsiɐ34	蔗：甘蔗
車	ʈʰiɐ34	车：火～
扯	ʈʰiɐ45	扯：～开，～烂
蛇	siɐ22	蛇：毒～
射	siɐ31	射：发～，～箭
捨	siɐ45	舍：～唔得（舍不得）
社	siɐ21	社：～会，公～
惹	ᵑɡiɐ21	惹：～事
爺	jiɐ22	爷：父亲；爷爷[文]
野	jiɐ21	野：～人
夜	jiɐ31	夜：日～，～班
傻	suɐ21	傻：～瓜，～子
瓜	kuɐ34	瓜：西～，～分
誇	kʰuɐ34	夸：～大，～张
瓦	ᵑɡɒ45	瓦：～片
花	fɒ34	花：开～
華	vɒ22	华：中～
補	pou45	补：～鞋，～充
布	pou34	布：红～，～料
部	pou31	部：～队，干～
步	pou31	步：跑～
模	ᵐbou22	模：～型，～范
墓	ᵐbou31	墓：坟～，～地
都	tou45	都：都是
賭	tou45	赌：～博
土	hou45	土：～地
圖	hou22	图：画～，地～
度	tou31	度：～数，长～
奴	ⁿdou22	奴：～隶
爐	lou22	炉：火～
滷	lou21	卤：盐～，～水
路	lou31	路：大～
租	tsou34	租：～金，出～
祖	tsou45	祖：～宗，～国
做	tsou34	做：～好事
粗	ʈʰou34	粗：～心
