#漢字	音標	解釋
多	tɔ34	多：～少
拖	tʰɔ34	拖：～拉机
他	tʰa34	他：其～
駝	tʰɔ21	驼：骆～
哪	la21	哪：～吒
羅	lɔ21	罗：姓
左	tsɔ31	左：～右
哥	kɔ34	哥：大～，学生～
可	hɔ31	可：～能，许～证
鵝	ɡɔ21	鹅：天～
我	gɔ34	我：自～[文]
我	gai31	我：涯，第一人称[白]
餓	gɔ55	饿：饥～
河	hɔ21	河：黄～
賀	hɔ55	贺：祝～，～礼
阿	a34	阿：～爸
茄	kʰø21	茄：茄子；番～
波	pɔ34	波：风～，～浪
破	pʰɔ55	破：～坏
婆	pʰɔ21	婆：老～
磨	bɔ21	磨：石～[名]
朶	tɔ31	朵：一～花，花～
糯	lɔ55	糯：～米
坐	tsʰɔ34	坐：～车，～稳
座	tsɔ55	座：～位，上～
簑	sɔ34	蓑：棕～，～衣
鎖	sɔ31	锁：～匙
果	kɔ31	果：水～
過	kɔ55	过：～去，～头
科	fɔ34	科：～学，文～
課	fɔ55	课：上～
火	fɔ31	火：着～，～车
貨	fɔ55	货：～车，百～
禾	vɔ21	禾：割～，～苗
靴	hø34	靴：皮～
巴	pa34	巴：～掌，～结，～黎
把	pa31	把：～握，～脉
霸	pa55	霸：恶～，～王
怕	pʰa55	怕：害怕，惊～
爬	pʰa21	爬：～树
麻	ba21	麻：天～，～烦
馬	ba34	马：骑～，～虎
拿	la21	拿：～手，推～
茶	tsʰa21	茶：～叶
渣	tsa34	渣：药～
炸	tsa55	炸：～药
査	tsʰa21	查：调～
沙	sa34	沙：泥～，～漠
家	ka34	家：老～，～庭
假	ka41	假：真～，～设
架	ka55	架：书～
牙	ga21	牙：～齿，刷～
蝦	ha34	虾：鱼～，～公
下	ha34	下：～背，底～
下	ha55	下：～降，～流
啞	a41	哑：哑巴，～佬
姐	tsia41	姐：小～[文]
借	tsia55	借：～钱
且	tsʰia41	且：而～，况～
寫	sia41	写：～字
斜	tsʰia21	斜：不正
謝	sia55	谢：多～；姓
遮	tsa34	遮：遮挡[动]；伞[名]
者	tsia41	者：记～，作～
蔗	tsa55	蔗：甘蔗
