#漢字	音標	解釋
左	tʰɔ35	左：左手，左右
佐	tʰɔ22	佐：辅佐，佐料
搓	tsʰɔ53	搓：搓手，搓绳子，搓衣服，搓麻将
歌	kɔ53	歌：唱歌，歌曲
哥	kɔ53	哥：哥哥，老哥，哥们儿
個	kɔ33	个：一个，这个。个人，个体户。
可	hɔ35	可：可以，许可证
蛾	ŋɔ21	蛾：飞蛾，夏天晚上集中到亮处的动物，似蝴蝶
鵝	ŋɔ21	鹅：一种家禽
俄	ŋɔ21	俄：俄国，苏俄
我	ŋɔ213	我：注意文白读
餓	ŋɔ22	饿：肚子饿，饿他一顿，饿肚子
荷	hɔ21	荷：薄荷（有两种，做菜用、药用）
何	hɔ21	何：姓，哪里
河	hɔ21	河：一条河，黄河
荷	hɔ21	荷：荷花
賀	hɔ22	贺：姓，祝贺
阿	ɔ55	阿：阿胶，阿弥陀佛
茄	kʰɛ35	茄：茄子
波	pɔ55	波：波浪，风波
菠	pɔ55	菠：菠菜
簸	pɔ33	簸：簸一簸
跛	pɐi53	跛：跛足
播	pɔ33	播：传播，播种
頗	pɔ33	颇：颇有心得，偏颇，廉颇
坡	pɔ55	坡：山坡，山体滑坡
玻	pɔ55	玻：玻璃
破	pʰɔ33	破：东西破了，破鱼肚，破坏
婆	pʰɔ21	婆：外婆，老太婆
薄	pɔk	薄：薄菏（有两种，做菜用、药用）
魔	mɔ53	魔：魔鬼，魔术
磨	mɔ21	磨：磨刀，磨墨
摩	mɔ53	摩：摩擦，按摩
磨	mɔ22	磨：石磨，磨豆腐
朵	tɔ35	朵：一朵花
躲	tɔ35	躲：躲起来，躲避
剁	tœk055	剁：用刀向下砍
妥	tʰɔ13	妥：妥当，妥协
橢	tʰɔ13	椭：橢圆
唾	tʰo33	唾：唾液（吐出来的口水）唾沫
糯	lɔ22	糯：糯米
螺	lɔ21	螺：螺蛳
腡	lɔ21	脶：手指纹，圆的
囉	lɔ53	啰：啰唆
銼	tsʰɔ33	锉：锉刀，木锉
坐	tsʰɔ13	坐：坐下来，请坐
座	tsɔ22	座：座位，上座
蓑	sɔ53	蓑：蓑衣
梭	sɔ53	梭：织布梭
唆	sɔ53	唆：啰唆，唆使
鎖	sɔ35	锁：一把锁，锁匙
瑣	sɔ35	琐：琐碎，烦琐
鍋	vɔ53	锅：砂锅，锅铲
戈	kʰɔ53	戈：大动干戈
果	kɔ35	果：水果，果冻
裹	kɔ35	裹：包裹，裹东西（如棕子）
過	kuɔ33	过：过去（走过去，从前）
科	fɔ53	科：文科，科学
棵	pɔ53	棵：一棵，棵子（植物的梗子，根茎）
顆	pʰɔ35	颗：一颗珍珠，颗粒
課	fɔ33	课：上课，课文
訛	ŋɔ22	讹：讹诈，讹传，以讹传讹
臥	ŋɔ22	卧：卧倒，卧铺，卧薪尝胆
火	fɔ35	火：着火，火车，火神庙
夥	fɔ35	伙：伙计（店里打杂工的），合伙
伙	fɔ35	伙：伙食
貨	fɔ33	货：到货，货车，百货商店
和	vɔ21	和：我和你,和牌，和平
禾	vɔ21	禾：水稻
禍	vɔ22	祸：闯祸，祸害
和	vɔ21	和：和面，唱和，和诗
倭	vɔ53	倭：倭寇
窩	vɔ53	窝：窝藏，窝囊，窝火
靴	hœ53	靴：靴子，皮靴
巴	pa53	巴：巴掌，巴结，巴黎
芭	pa53	芭：芭蕉，芭蕾
疤	pa53	疤：结疤，伤疤
把	pa35	把：把握，一把刀，把脉，抓一把
垻	pa33	坝：平地
壩	pa33	坝：大坝，堤坝
爸	pa53	爸：父亲
怕	pʰa33	怕：害怕，怕生
爬	pʰa21	爬：爬树，爬行动物
琶	pʰa21	琶：琵琶
杷	pʰa21	杷：枇杷
耙	pʰa21	耙：犁耙，用牛拉的碎土工具
麻	ma21	麻：麻袋，天麻
蟆	mo55	蟆：蛤蟆（青蛙、蛙类、蝌蚪），癞蛤蟆
媽	ma55	妈：妈妈，后妈
痲	ma21	痳：痳疹，痳疯
馬	ma13	马：骑马，马后砲，马虎
碼	ma13	码：码头，筹码
駡	ma22	骂：骂人，咒骂
拿	kʰai55	拿：拿不出手，拿手，拿东西，推拿
茶	tsa21	茶：茶叶，喝茶
搽	tsʰa21	搽：搽药，搽雪花膏
楂	tsa53	楂：山楂
渣	tsa53	渣：甘蔗渣，油渣，药渣，渣滓
詐	tsa33	诈：诈骗，敲诈
榨	tsa33	榨：榨油，榨菜，压榨
炸	tsa33	炸：轰炸，炸弹
叉	tsʰa53	叉：鱼叉，叉腰
杈	a53	杈：枝杈
差	tsʰa53	差：差别，时差，好的差的
