#漢字	音標	解釋
多	tɔ453	多：多少
拖	tʰɔ453	拖：拖拉机
他	tʰa453	他：其他
駝	tʰɔ13	驼：骆驼
舵	tʰɔ31	舵：舵手
大	tai31	大：大夫、大黄
哪	na35	哪：哪里；哪吒
那	na31	那：那里；那霍（地名）
羅	lɔ13	罗：姓
鑼	lɔ13	锣：锣鼓
蘿	lɔ31	萝：萝卜
籮	lɔ13	箩：箩筐
左	tʃɔ35	左：左右
佐	tʃɔ33	佐：辅佐
搓	tʃʰa453	搓：搓手
歌	kɔ453	歌：唱歌
哥	kɔ453	哥：哥哥
個	kɔ33	个：一个
可	hɔ35	可：可以
蛾	ŋɔ31	蛾：飞蛾
鵝	ŋɔ453	鹅：天鹅
俄	ŋɔ31	俄：俄国
我	ŋɔ13	我：我们
餓	ŋɔ31	饿：肚子饿
荷	hɔ13	荷：薄荷
河	hɔ13	河：黄河
何	hɔ13	何：姓何
荷	hɔ31	荷：荷花
賀	hɔ31	贺：祝贺
阿	ʔa33	阿：阿哥
阿	ʔɔ453	阿：阿胶；阿弥陀佛
茄	kʰɛ31	茄：茄子
波	pɔ453	波：风波
菠	pɔ453	菠：菠菜
跛	pɐi453	跛：跛足
簸	pʰɔ33	簸：簸箕
播	pɔ33	播：播种
頗	pʰɔ35	颇：颇有心得
坡	pʰɔ453	坡：山坡
玻	pɔ453	玻：玻璃
破	pʰɔ33	破：破坏
婆	pʰɔ13	婆：外婆
薄	pu̯ɔk022	薄：薄荷
魔	mɔ453	魔：魔术
磨	mɔ13	磨：磨刀（动）
摩	mɔ13	摩：摩擦
磨	mɔ31	磨：石磨（名）
朵	tœ35	朵：一朵花
躲	tœ35	躲：躲避
剁	tœ33	剁：剁猪肉
妥	tʰɔ35	妥：妥当
橢	tʰɔ13	椭：椭圆
唾	tʰœ33	唾：唾液
惰	tœ31	惰：懒惰
墮	tɔ31	堕：堕落
糯	nœ31	糯：糯米
螺	lœ13	螺：田螺
腡	lœ13	腡：手指纹
囉	lɔ453	啰：啰嗦
裸	lɔ13	裸：裸体
銼	tʃʰœ33	锉：锉刀
坐	tʃʰœ13	坐：请坐
座	tʃœ31	座：座位
梭	ɬœ453	梭：织布梭
唆	ɬœ453	唆：唆使
鎖	ɬœ35	锁：门锁
瑣	ɬœ35	琐：琐碎
鍋	kwɔ453	锅：砂锅；锅铲
戈	kʰɔ453	戈：大动干戈
果	kwɔ35	果：水果
裹	kwɔ35	裹：包裹
