#漢字	音標	解釋
多	tɔ35	多：～少
拖	tʰɔ454	拖：～拉机
他	tʰa454	他：其～
駝	tʰɔ131	驼：骆～
舵	tʰɔ131	舵：～手
大	tai21	大：～夫，～黄
挪	nɔ21	挪：～用公款
哪	na131	哪：～里
哪	na21	哪：～吒
那	na21	那：～里；姓
羅	lɔ131	罗：姓
鑼	lɔ131	锣：～鼓
籮	lɔ131	箩：～筐
左	tɔ35	左：～右
佐	ʧɔ21	佐：辅～
歌	kɔ454	歌：唱～，～声
哥	kɔ454	哥：大～，学生～
個	kɔ51	个：两～，～别
個	kɔ51	个：我～（我的）
可	hɔ35	可：～能，许～证
蛾	ŋɔ131	蛾：飞～扑火
鵝	ŋɔ454	鹅：天～
俄	ŋɔ21	俄：～罗斯
我	ŋɔ131	我：自～[文]
我	ŋɔ131	我：涯，第一人称[白]
餓	ŋɔ21	饿：饥～
荷	hɔ21	荷：～花；薄～
荷	hɔ21	荷：挑，～担，～东西[白]
河	hɔ131	河：黄～
何	hɔ131	何：姓；如～
賀	hɔ21	贺：祝～，～礼
阿	ʔɔ454	阿：～胶；～弥陀佛
阿	a51	阿：～爸
茄	kʰɛ131	茄：茄子；番～
茄	ka454	茄：雪～
波	pɔ454	波：风～，～浪
菠	pɔ454	菠：～菜
跛	pɐi454	跛：～脚（跛足）[训]
簸	pɔ21	簸：～箕甲（蛇），～谷
簸	pɔ21	簸：颠～
頗	pʰɔ131	颇：～有心得，偏～
坡	pʰɔ454	坡：山～，～度
玻	pɔ454	玻：～璃
破	pʰɔ51	破：～坏
婆	pʰɔ131	婆：老～
薄	pɔk021	薄：～荷
魔	mɔ454	魔：～术，～鬼
磨	mɔ21	磨：～刀，水～[动]
磨	mɔ21	磨：～豆浆[动]
摩	mɔ454	摩：～擦，按～
磨	mɔ21	磨：石～[名]
朶	tœ35	朵：一～花，花～
躱	tœ35	躲：～避，～开
刴	tiɛt454	剁：～猪肉，～肉丸[训]
妥	tʰɔ35	妥：～当
橢	tʰɔ131	椭：～圆
惰	tœ21	惰：～性
糯	nœ21	糯：～米
騾	lœ131	骡
螺	lœ35	螺：田～
腡	lœ131	脶：手指纹
囉	lɔ131	啰：喽～，～嗦
裸	lɔ35	裸：～体
銼	tʰɛ131	锉：～刀
坐	ɬɛ131	坐：～车，～稳
座	ɬɛ35	座：～位，上～
簑	ʃui454	蓑：棕～，～衣
梭	ɬɛ454	梭：穿～，～子蟹
唆	ɬɛ454	唆：～使
鎖	ɬɛ35	锁：～匙
瑣	ɬɛ35	琐：～碎，烦～
戈	kʰɔ454	戈：干～，～壁
果	kʷɔ35	果：水～
裹	kɛ35	裹：包～
過	kɔ51	过：～去，～头
科	fɔ454	科：～学，文～
棵	pʰɛ454	棵：一～树
顆	lɔ35	颗：一～珍珠，～粒
課	fɔ21	课：上～
訛	hœ454	讹：～诈，以～传～
臥	mɔ21	卧：～室，～铺
火	fɔ35	火：着～，～车
夥	fɔ35	伙：合～，～计
貨	fɔ51	货：～车，百～
和	vɔ21	和：～平，～气[文]
和	vɔ21	和：～尚[白]
禾	vɔ131	禾：割～，～苗
禍	vɔ35	祸：大～临头，～害
和	vɔ131	和：唱～，～诗
倭	vɔ454	倭：～寇
窩	vɔ454	窝：～囊废，～藏
瘸	kʷʰai35	瘸：不灵活，～手，～脚
靴	hɛ454	靴：皮～
巴	pa35	巴：～掌，～结，～黎
芭	pa454	芭：～蕉，～蕾
疤	pa454	疤：伤～
把	pa35	把：～握，～脉
霸	pa51	霸：恶～，～王
壩	pa51	坝：堤，溪～
吧	pa454	吧：酒～
垻	pa51	坝：平地，湖洋～
爸	pa454	爸：爸爸
怕	pʰa454	怕：害怕，惊～
帕	pʰa131	帕：手～
爬	pʰa131	爬：～树
琶	pʰa131	琶：琵～
杷	pʰa131	杷：枇～
耙	pʰa131	耙：犁耙
麻	ma131	麻：天～，～烦
痲	ma21	痲：出～（得痳疹），～风
媽	ma454	妈：妈妈
媽	ma454	妈：～祖
馬	ma131	马：骑～，～虎
碼	ma131	码：～头，大～
罵	ma35	骂：～人
拿	na35	拿：～手，推～
