#漢字	音標	解釋
多	tɔ45	多
拖	tʰɔ45	拖
他	tʰa45	他
駝	tʰɔ213	駝
舵	tʰɔ213	舵
大	tʰai33	大
哪	na31	哪
那	na31	那
羅	lɔ213	羅
鑼	lɔ213	鑼
蘿	lɔ213	蘿
籮	lɔ213	籮
左	ʦʰɔ31	左
佐	ʦʰɔ31	佐
搓	ʦʰai33	搓
歌	kɔ33	歌
哥	kɔ33	哥
個	kai33	個
可	kʰɔ31	可
蛾	ŋɔ213	蛾
鵝	ŋɔ213	鵝
俄	ŋɔ213	俄
我	ŋɔ31	我
餓	ŋɔ31	餓
荷	hɔ213	荷
河	hɔ213	河
何	hɔ213	何
荷	hɔ213	荷
賀	hɔ31	賀
阿	a33	阿
阿	ɔ45	阿
茄	kʰɛ213	茄
波	pɔ45	波
菠	pɔ45	菠
跛	pei45	跛
簸	pɔi33	簸
播	pɔi33	播
坡	pʰɔ45	坡
玻	pɔ33	玻
破	pʰɔ33	破
婆	pʰɔ213	婆
薄	pɔk031	薄
魔	mɔ45	魔
磨	mɔ213	磨
摩	mɔ45	摩
磨	mɔ213	磨
朵	tɔ31	朵
躲	tɔ31	躲
剁	tɔ213	剁
妥	tʰɔ31	妥
唾	sɔi33	唾
糯	nɔ33	糯
螺	lɔ213	螺
腡	lɔ213	腡
囉	lɔ45	囉
銼	ʦʰɔ33	銼
坐	ʦʰɔ45	坐
座	ʦʰɔ45	座
蓑	sɔ45	蓑
梭	sɔ45	梭
唆	sɔ45	唆
鎖	sɔ31	鎖
瑣	sɔ31	瑣
鍋	ɔk031	鍋
戈	kʰɔ45	戈
果	vɔ31	果
裹	vɔ31	裹
過	kɔ33	過
科	fɔ45	科
棵	pʰɔ45	棵
顆	fɔ33	顆
課	fɔ33	課
臥	ŋɔ33	臥
火	fɔ31	火
伙	fɔ31	伙
夥	fɔ31	夥
貨	fɔ33	貨
和	fɔ213	和
禾	vɔ213	禾
禍	vɔ33	禍
倭	vɔ45	倭
窩	vɔ45	窩
萵	vɔ45	萵
靴	hɛ45	靴
巴	pa45	巴
芭	pa45	芭
疤	pa45	疤
把	pa31	把
霸	pa33	霸
把	pa31	把
壩	pa33	壩
爸	pa45	爸
怕	pʰa33	怕
爬	pʰa213	爬
琶	pʰa213	琶
杷	pʰa213	杷
耙	pʰa213	耙
麻	ma213	麻
痲	ma213	痲
蟆	ma213	蟆
媽	ma45	媽
馬	ma45	馬
碼	ma45	碼
罵	ma33	罵
拿	na45	拿
茶	ʦʰa213	茶
搽	ʦʰai45	搽
楂	ʦʰa213	楂
渣	ʦa213	渣
詐	ʦa33	詐
榨	ʦa33	榨
炸	ʦa33	炸
叉	ʦʰa45	叉
杈	ʦʰa45	杈
差	ʦʰa45	差
岔	ʦʰa45	岔
査	ʦʰɑ213	查
沙	sa213	沙
紗	sa45	紗
砂	sa45	砂
痧	sa45	痧
灑	sa31	灑
家	ka213	家
加	ka45	加
嘉	ka45	嘉
傢	ka45	傢
假	ka31	假
賈	ka33	賈
假	ka31	假
架	ka33	架
駕	ka33	駕
嫁	ka33	嫁
價	ka33	價
牙	ŋa213	牙
芽	ŋa213	芽
衙	ŋa213	衙
蚜	ŋa213	蚜
雅	ŋa213	雅
蝦	ha213	蝦
嚇	hak031	嚇
霞	ha213	霞
蝦	ha45	蝦
下	ha33	下
夏	ha33	夏
廈	ha33	厦
下	ha33	下
夏	ha33	夏
鴉	a45	鴉
丫	a45	丫
椏	a45	椏
啞	a31	啞
亞	a45	亞
姐	ʦɛ31	姐
借	ʦia33	借
且	ʦʰia31	且
藉	ʦʰit055	藉
些	sia213	些
寫	sia31	寫
瀉	sia33	瀉
卸	sia33	卸
邪	ʦʰia213	邪
斜	ʦʰɛ31	斜
謝	ʦʰia33	謝
爹	tia45	爹
遮	ʦa45	遮
者	ʦa31	者
蔗	ʦa33	蔗
車	ʦʰa45	車
扯	ʦʰa31	扯
蛇	sa213	蛇
射	sa33	射
麝	sa33	麝
奢	ʦɛ45	奢
賒	ʦʰa45	賒
捨	sa31	捨
赦	sa33	赦
舍	sa33	舍
佘	sa31	佘
社	sa213	社
惹	ȵa213	惹
耶	jai213	耶
爺	ja213	爺
椰	jai213	椰
也	ja33	也
野	ja31	野
夜	ja33	夜
傻	sɔ31	傻
耍	sa31	耍
瓜	kua45	瓜
蝸	vɔ45	蝸
寡	kua31	寡
剮	kuæk031	剮
誇	kʰua45	誇
垮	kʰua45	垮
跨	kʰua45	跨
瓦	ŋa31	瓦
花	fa45	花
化	fa33	化
華	fa213	華
劃	vak45	劃
華	fa213	華
蛙	va45	蛙
窪	va45	窪
補	pu31	補
譜	pʰu31	譜
布	pu33	布
佈	pu33	佈
鋪	pu33	鋪
普	pʰu31	普
浦	pʰu213	浦
鋪	pʰu33	鋪
怖	pu33	怖
蒲	pʰu31	蒲
菩	pʰu213	菩
脯	pʰu45	脯
葡	pʰu213	葡
部	pʰu33	部
簿	pʰu31	簿
步	pʰu33	步
捕	pʰu31	捕
埠	fei33	埠
模	mu213	模
模	mu45	模
摹	mu45	摹
墓	mu33	墓
暮	mu31	暮
慕	mu31	慕
募	mu33	募
都	tu45	都
都	tu45	都
堵	tu31	堵
賭	tu31	賭
肚	tu31	肚
妒	tu33	妒
土	tʰu31	土
吐	tʰu33	吐
吐	tʰu33	吐
兔	tʰu33	兔
徒	tʰu213	徒
屠	tʰu213	屠
途	tʰu213	途
塗	tʰu213	塗
圖	tʰu213	圖
杜	tʰu33	杜
肚	tu31	肚
度	tʰu33	度
渡	tʰu33	渡
鍍	tʰu33	鍍
奴	nu213	奴
努	nu213	努
怒	nu33	怒
