#漢字	音標	解釋
多	ɗɔ51	多：～少
拖	tʰɔ51	拖：～拉机
他	tʰa51	他：其～
駝	tɔ231	驼：骆～
舵	tɔ231	舵：～手
大	tai21	大：～夫，～黄
挪	nɔ231	挪：～用公款
哪	na35	哪：～里
哪	na21	哪：～吒
那	na21	那：～里；姓
羅	lɔ21	罗：姓
鑼	lɔ21	锣：～鼓
籮	lɔ231	箩：～筐
左	tɔ35	左：～右
佐	ʧɔ21	佐：辅～
歌	kɔ51	歌：唱～，～声
哥	kɔ51	哥：大～，学生～
個	kɔ33	个：两～，～别
個	kɔ33	个：我～（我的）
可	hɔ35	可：～能，许～证
蛾	ŋɔ231	蛾：飞～扑火
鵝	ŋɔ51	鹅：天～
俄	ŋɔ231	俄：～罗斯
我	ŋɔ13	我：自～[文]
我	ŋɔ13	我：涯，第一人称[白]
餓	ŋɔ21	饿：饥～
荷	hɔ231	荷：～花；薄～
荷	hɔ231	荷：挑，～担，～东西[白]
河	hɔ231	河：黄～
何	hɔ231	何：姓；如～
賀	hɔ21	贺：祝～，～礼
阿	ɔ51	阿：～胶；～弥陀佛
阿	a33	阿：～爸
茄	kʰɛ231	茄：茄子；番～
茄	kʰɛ231	茄：雪～
波	ɓɔ51	波：风～，～浪
菠	ɓɔ51	菠：～菜
跛	ɓɐi51	跛：～脚（跛足）[训]
簸	ɓɔk033	簸：～箕甲（蛇），～谷
簸	ɓɔk021	簸：颠～
坡	pʰɔ51	坡：山～，～度
玻	ɓɔ51	玻：～璃
破	pʰɔ33	破：～坏
婆	pɔ231	婆：老～
薄	pɔk033	薄：～荷
魔	mɔ51	魔：～术，～鬼
磨	mɔ231	磨：～刀，水～[动]
磨	mɔ231	磨：～豆浆[动]
摩	mɔ51	摩：～擦，按～
磨	mɔ231	磨：石～[名]
朶	ɗɔ35	朵：一～花，花～
躱	tɔ35	躲：～避，～开
刴	ɗɔk053	剁：～猪肉，～肉丸[训]
妥	tʰɔ35	妥：～当
橢	tɔ35	椭：～圆
唾	ʧʰui21	唾：～弃，～液
惰	tɔ231	惰：～性
糯	nɔ21	糯：～米
騾	lui231	骡
螺	lɔ231	螺：田～
腡	lɔ231	脶：手指纹
囉	lɔ51	啰：喽～，～嗦
裸	fɔ33	裸：～体
銼	ʧɔ21	锉：～刀
坐	tʰɔ13	坐：～车，～稳
座	tʰɔ21	座：～位，上～
簑	ɬui51	蓑：棕～，～衣
梭	ɬɔ51	梭：穿～，～子蟹
唆	ɬɔ51	唆：～使
鎖	ɬɔ35	锁：～匙
瑣	ɬɔ35	琐：～碎，烦～
戈	kʰɔ51	戈：干～，～壁
果	kɔ35	果：水～
裹	kɔ35	裹：包～
過	kɔ33	过：～去，～头
科	fɔ51	科：～学，文～
棵	fɔ33	棵：一～树
顆	fɔ33	颗：一～珍珠，～粒
課	fɔ33	课：上～
訛	ŋɔ231	讹：～诈，以～传～
臥	ŋɔ21	卧：～室，～铺
火	fɔ35	火：着～，～车
夥	fɔ35	伙：合～，～计
貨	fɔ33	货：～车，百～
和	vɔ231	和：～平，～气[文]
和	fɔ231	和：～尚[白]
