#漢字	音標	解釋
多	tɔ55	多 多少
拖	tʰɔ55	拖 拖拉机
他	tʰa55	他 其他
駝	tʰɔ11	驼 骆驼
舵	tʰɔ11	舵 舵手
大	tai22	大 大夫、大黄
哪	na24	哪 哪里；哪吒
那	na24	那 那里；那霍（地名）
羅	lɔ11	罗 姓
鑼	lɔ11	锣 锣鼓
蘿	lɔ11	萝 萝卜
籮	lɔ11	箩 箩筐
左	tsɔ24	左 左右
佐	tsɔ24	佐 辅佐
搓	tsʰɔ55	搓 搓手
歌	kɔ55	歌 唱歌
哥	kɔ55	哥 哥哥
個	kɔ33	个 一个
可	hɔ24	可 可以
蛾	ŋɔ11	蛾 飞蛾
鵝	ŋɔ24	鹅 天鹅
俄	ŋɔ11	俄 俄国
我	ŋɔ33	我 我们
餓	ŋɔ22	饿 肚子饿
荷	hɔ11	荷 薄荷
河	hɔ11	河 黄河
何	hɔ11	何 姓何
荷	hɔ11	荷 荷花
賀	hɔ22	贺 祝贺
阿	∅a55	阿 阿哥
阿	∅ɔ55	阿 阿胶；阿弥陀佛
茄	kʰœ24	茄 茄子
波	pɔ55	波 风波
菠	pɔ55	菠 菠菜
跛	pei55	跛 跛足
簸	pɔ55	簸 簸箕
播	pɔ55	播 播种
坡	pɔ55	坡 山坡
玻	pɔ55	玻 玻璃
破	pʰɔ55	破 破坏
婆	pʰɔ11	婆 外婆
薄	pɔk033	薄 薄荷
魔	mɔ55	魔 魔术
磨	mɔ11	磨 磨刀（动）
摩	mɔ55	摩 摩擦
磨	mɔ33	磨 石磨（名）
朵	tɔ24	朵 一朵花
躲	tɔ24	躲 躲避
剁	tiɔk055	剁 剁猪肉
妥	tʰɔ33	妥 妥当
唾	soi11	唾 唾液
糯	nɔ33	糯 糯米
螺	lɔ11	螺 田螺
腡	lɔ24	腡 手指纹
囉	lɔ55	啰 啰嗦
銼	tsʰɔ33	锉 锉刀
坐	tsʰɔ33	坐 请坐
座	tsɔ22	座 座位
蓑	sɔ55	蓑 蓑衣
梭	sɔ55	梭 织布梭
唆	sɔ55	唆 唆使
鎖	sɔ24	锁 门锁
瑣	sɔ24	琐 琐碎
鍋	wɔ55	锅 砂锅；锅铲
戈	kʰɔ55	戈 大动干戈
果	kɔ24	果 水果
裹	kɔ24	裹 包裹
過	kɔ33	过 过去
科	fɔ55	科 文科
棵	pʰɔ55	棵 一棵
顆	kɔ24	颗 颗粒
課	fɔ33	课 上课
訛	ŋɔ11	讹 讹诈
臥	ŋɔ22	卧 卧室
火	fɔ24	火 火车
伙	fɔ24	伙 伙食
夥	fɔ24	伙 伙计，合伙
貨	fɔ33	货 货物
和	wɔ11	和 和气
禾	wɔ11	禾 禾苗
禍	wɔ22	祸 祸害
和	wɔ11	和 和诗，唱和
倭	wɔ55	倭 倭寇
窩	wɔ55	窝 鸟窝
萵	wɔ55	莴 莴笋
靴	hœ55	靴 靴子
巴	pa55	巴 巴掌
芭	pa55	芭 芭蕉
疤	pa55	疤 伤疤
把	pa24	把 把柄
霸	pa33	霸 霸王
把	pa24	把 把握、一把
壩	pa33	坝 堤坝
爸	pa55	爸 爸爸
怕	pʰa33	怕 害怕
爬	pʰa11	爬 爬树
琶	pʰa11	琶 琵琶
杷	pʰa11	杷 枇杷
耙	pʰa11	耙 犁耙
