#漢字	音標	解釋
多	tɔu22	多：～少
拖	tʰɔu22	拖：～拉机
他	tʰa22	他：其～
駝	tʰɔu41	驼：骆～
哪	na41	哪：～吒
羅	lɔu41	罗：姓
左	tsɔu31	左：～右
哥	kɔu22	哥：大～，学生～
可	kʰɔu31	可：～能，许～证
鵝	ŋɔu41	鹅：天～
我	ŋɔu31	我：自～[文]
我	ŋai41	我：涯，第一人称[白]
餓	ŋɔu31	饿：饥～
河	hɔu41	河：黄～
賀	hɔu31	贺：祝～，～礼
阿	a22	阿：～爸
茄	tʃʰiɔu41	茄：茄子；番～
波	pɔu22	波：风～，～浪
破	pʰɔu45	破：～坏
婆	pʰɔu41	婆：老～
磨	mɔu31	磨：石～[名]
朶	tɔu31	朵：一～花，花～
糯	nɔu31	糯：～米
坐	tsʰɔu22	坐：～车，～稳
座	tsʰɔu22	座：～位，上～
簑	sɔu22	蓑：棕～，～衣
鎖	sɔu31	锁：～匙
果	kɔu31	果：水～
過	kɔu45	过：～去，～头
科	kʰɔu22	科：～学，文～
課	kʰɔu45	课：上～
火	fɔu31	火：着～，～车
貨	fɔu45	货：～车，百～
禾	vɔu41	禾：割～，～苗
靴	ʃiɔu22	靴：皮～
巴	pa22	巴：～掌，～结，～黎
把	pa31	把：～握，～脉
霸	pa45	霸：恶～，～王
怕	pʰa45	怕：害怕，惊～
爬	pʰa41	爬：～树
麻	ma41	麻：天～，～烦
馬	ma22	马：骑～，～虎
拿	na41	拿：～手，推～
茶	tsʰa41	茶：～叶
渣	tsa22	渣：药～
炸	tsa45	炸：～药
査	tsʰa41	查：调～
沙	sa22	沙：泥～，～漠
家	ka22	家：老～，～庭
假	ka31	假：真～，～设
架	ka45	架：书～
牙	ŋa41	牙：～齿，刷～
蝦	ha41	虾：鱼～，～公
下	ha22	下：～背，底～
下	ha31	下：～降，～流
啞	a31	哑：哑巴，～佬
姐	ʦia31	姐：小～[文]
借	ʦia45	借：～钱
且	tsʰia31	且：而～，况～
寫	sia31	写：～字
斜	ʨʰia41	斜：不正
謝	ʦʰia31	谢：多～；姓
遮	tsa22	遮：遮挡[动]；伞[名]
者	tsa31	者：记～，作～
蔗	tsa45	蔗：甘蔗
車	tsʰa22	车：火～
扯	tsʰɿ31	扯：～开，～烂
蛇	sa41	蛇：毒～
射	sa31	射：发～，～箭
捨	sa31	舍：～唔得（舍不得）
社	sa22	社：～会，公～
惹	ȵia31	惹：～事
爺	ia41	爷：父亲；爷爷[文]
野	ia22	野：～人
夜	ia31	夜：日～，～班
傻	sɔu41	傻：～瓜，～子
瓜	ka22	瓜：西～，～分
誇	kʰa22	夸：～大，～张
瓦	ŋa31	瓦：～片
花	fa22	花：开～
華	fa41	华：中～
補	pu31	补：～鞋，～充
布	pu45	布：红～，～料
部	pʰu31	部：～队，干～
步	pʰu31	步：跑～
模	mu41	模：～型，～范
墓	mu45	墓：坟～，～地
都	tu22	都：都是
賭	tu31	赌：～博
土	tʰu31	土：～地
圖	tʰu41	图：画～，地～
度	tʰu31	度：～数，长～
奴	nu41	奴：～隶
爐	lu41	炉：火～
滷	lu22	卤：盐～，～水
路	lu31	路：大～
租	tʃu22	租：～金，出～
祖	tʃu31	祖：～宗，～国
做	tsɔu45	做：～好事
粗	tʃʰu22	粗：～心
蘇	ʃu22	苏：～州；姓
叫	ʧ	叫：大～；小孩哭
曉	ʃ	晓：春～，～得
拿	na22	拿：拿东西
