#漢字	音標	解釋
多	tɔu22	多：～少
拖	tʰɔu22	拖：～拉机
他	tʰa22	他：其～
大	tʰai31	大：～夫，～黄
那	na31	那：～里；姓
羅	lɔu41	罗：姓
左	tsɔu31	左：～右
哥	kɔu22	哥：大～，学生～
個	kai45	个：两～，～别
個	kei45	个：我～（我的）
可	kʰɔu31	可：～能，许～证
鵝	ŋɔu41	鹅：天～
我	ŋɔu31	我：自～[文]
我	ŋai41	我：涯，第一人称[白]
餓	ŋɔu31	饿：饥～
荷	hɔu41	荷：～花；薄～
荷	kʰai22	荷：挑，～担，～东西[白]
河	hɔu41	河：黄～
賀	hɔu31	贺：祝～，～礼
阿	ɔu22	阿：～胶；～弥陀佛
阿	a22	阿：～爸
茄	tʃʰiɔu41	茄：茄子；番～
波	pɔu22	波：风～，～浪
跛	pei22	跛：～脚（跛足）[训]
簸	pɔi45	簸：～箕甲（蛇），～谷
坡	pɔu22	坡：山～，～度
玻	pɔu22	玻：～璃
破	pʰɔu45	破：～坏
婆	pʰɔu41	婆：老～
薄	pʰɔk4	薄：～荷
魔	mɔu41	魔：～术，～鬼
磨	mɔu41	磨：～刀，水～[动]
磨	mɔu31	磨：～豆浆[动]
摩	mɔu41	摩：～擦，按～
磨	mɔu31	磨：石～[名]
刴	tiɔk4	剁：～猪肉，～肉丸[训]
妥	tʰɔu45	妥：～当
糯	nɔu31	糯：～米
螺	lɔu41	螺：田～
腡	lɔu41	脶：手指纹
坐	tsʰɔu22	坐：～车，～稳
鎖	sɔu31	锁：～匙
果	kɔu31	果：水～
過	kɔu45	过：～去，～头
科	kʰɔu22	科：～学，文～
棵	kɔu31	棵：一～树
課	kʰɔu45	课：上～
臥	ŋɔu31	卧：～室，～铺
火	fɔu31	火：着～，～车
貨	fɔu45	货：～车，百～
和	fɔu41	和：～平，～气[文]
和	vɔu41	和：～尚[白]
禾	vɔu41	禾：割～，～苗
禍	vɔu22	祸：大～临头，～害
靴	ʃiɔu22	靴：皮～
巴	pa22	巴：～掌，～结，～黎
把	pa31	把：～握，～脉
霸	pa45	霸：恶～，～王
壩	pa45	坝：堤，溪～
爸	pa31	爸：爸爸
怕	pʰa45	怕：害怕，惊～
爬	pʰa41	爬：～树
耙	pʰa41	耙：犁耙
麻	ma41	麻：天～，～烦
媽	ma22	妈：妈妈
馬	ma22	马：骑～，～虎
罵	ma45	骂：～人
拿	na22	拿：～手，推～
茶	tsʰa41	茶：～叶
楂	tsa22	楂：山～
渣	tsa22	渣：药～
詐	tsa45	诈：～骗
榨	tsa45	榨：～菜，～油
炸	tsa45	炸：～药
叉	tsʰa22	叉：刀～，～腰
差	tsʰa22	差：～别
岔	tsʰa45	岔：～路，三～路口
査	tsʰa41	查：调～
沙	sa22	沙：泥～，～漠
灑	ʃa31	洒：～水
痧	sa22	痧：发～，刮～
家	ka22	家：老～，～庭
砂	sa22	砂：朱～，～纸
加	ka22	加：～工
嘉	ka22	嘉：～宾
假	ka31	假：真～，～设，放～，～期
架	ka45	架：书～
嫁	ka45	嫁：～人
價	ka45	价：～钱，～值
牙	ŋa41	牙：～齿，刷～
芽	ŋa41	芽：豆～
衙	ŋa41	衙：～门
雅	ŋa41	雅：文～；～典（国名）
蝦	ha41	虾：鱼～，～公
嚇	hak2	吓：～人
霞	ha41	霞：晚～
下	ha22	下：～背，底～
下	ha31	下：取下，～下来
廈	ha31	厦：～门，大～
下	ha31	下：～降，～流
夏	ha31	夏：春～秋冬
鴉	a22	鸦：老～，乌～，～片
丫	ia22	丫：～鬟，～头
啞	a31	哑：哑巴，～佬
亞	a22	亚：～洲，～军
姐	tsia31	姐：小～[文]
姐	tsɿ31	姐：姐姐[白]
借	tsia45	借：～钱
且	tsʰia31	且：而～，况～
些	sia22	些：一～
寫	sia31	写：～字
瀉	sia45	泻：腹～，一～千里
卸	sia45	卸：～货，推～
邪	sia41	邪：～气，～门歪道
斜	tsia41	斜：倾～[文]
斜	tsia41	斜：不正[白]
謝	tsia31	谢：多～；姓
爹	tia22	爹：～娘
遮	tʃa22	遮：遮挡[动]；伞[名]
者	tʃa31	者：记～，作～
蔗	ʦa45	蔗：甘蔗
車	tʃʰa22	车：火～
蛇	ʃa41	蛇：毒～
射	ʃa31	射：发～，～箭
麝	ʃa31	麝：～香
賒	tʃʰa22	赊：～帐
捨	ʃa31	舍：～唔得（舍不得）
舍	ʃa45	舍：宿～
社	ʃa22	社：～会，公～
惹	ȵia22	惹：～事
爺	ia41	爷：父亲；爷爷[文]
也	ia45	也：～知
野	ia22	野：～人
夜	ia31	夜：日～，～班
傻	sɔu45	傻：～瓜，～子
瓜	kua22	瓜：西～，～分
蝸	vɔu22	蜗：～牛
寡	kua31	寡：～妇，守～
誇	kʰua22	夸：～大，～张
垮	kʰua22	垮：～台
跨	kʰua45	跨：～栏，～度
娃	va22	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa22	花：开～
化	fa45	化：变～
華	fa41	华：中～
劃	vak4	划：～船
華	fa22	华：～山；姓
蛙	va22	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu22	谱：族～，歌～
布	pu45	布：红～，～料
鋪	pʰu22	铺：～路，床～
普	pʰu22	普：～通，～遍
浦	pʰu45	浦：黄～江
鋪	pʰu45	铺：店～，当～
怖	ku45	怖：恐～
菩	pʰu41	菩：～萨
脯	pʰu41	脯：胸～
部	pʰu31	部：～队，干～
簿	pʰu31	簿：练习～，帐～
步	pʰu31	步：跑～
模	mu41	模：～型，～范
暮	mu45	暮：日暮
墓	mu45	墓：坟～，～地
都	tu22	都：首～，～市
都	tu22	都：都是
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
土	tʰu31	土：～地
吐	tʰu45	吐：～痰；呕～
兔	tʰu45	兔：野～
徒	tʰu41	徒：～弟
圖	tʰu41	图：画～，地～
杜	tʰu45	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu31	度：～数，长～
奴	nu41	奴：～隶
努	nu31	努：～力
怒	nu31	怒：愤～，～气
盧	lu41	卢：姓
魯	lu22	鲁：～国，～迅
虜	lu22	虏：俘～
