#漢字	音標	解釋
多	tɔu11	多：～少
拖	tʰɔu11	拖：～拉机
他	tʰa11	他：其～
大	tʰai31	大：～夫，～黄
挪	nɔu41	挪：～用公款
那	na31	那：～里；姓
羅	lɔu41	罗：姓
左	ʦɔu31	左：～右
哥	kɔu11	哥：大～，学生～
個	kai45	个：两～，～别
個	kɛi45	个：我～（我的）
可	kʰɔu31	可：～能，许～证
鵝	ŋɔu41	鹅：天～
我	ŋɔu31	我：自～[文]
我	ŋai41	我：涯，第一人称[白]
餓	ŋɔu31	饿：饥～
荷	hɔu41	荷：～花；薄～
荷	kʰai11	荷：挑，～担，～东西[白]
河	hɔu41	河：黄～
賀	hɔu31	贺：祝～，～礼
阿	ɔu11	阿：～胶；～弥陀佛
阿	a11	阿：～爸
茄	kʰiɔu41	茄：茄子；番～
波	pɔu11	波：风～，～浪
跛	pɛi11	跛：～脚（跛足）[训]
簸	pɔi45	簸：～箕甲（蛇），～谷
坡	pɔu11	坡：山～，～度
玻	pɔu11	玻：～璃
破	pʰɔu45	破：～坏
婆	pʰɔu41	婆：老～
薄	pʰɔk045	薄：～荷
魔	mɔu41	魔：～术，～鬼
磨	mɔu31	磨：～刀，水～[动]
磨	mɔu31	磨：～豆浆[动]
摩	mɔu41	摩：～擦，按～
磨	mɔu31	磨：石～[名]
躱	tɔu31	躲：～避，～开
刴	tɔk031	剁：～猪肉，～肉丸[训]
妥	tʰɔu45	妥：～当
糯	nɔu31	糯：～米
螺	lɔu41	螺：田～
腡	lɔu41	脶：手指纹
坐	ʦʰɔu11	坐：～车，～稳
鎖	sɔu31	锁：～匙
戈	kʰɔu11	戈：干～，～壁
果	kɔu31	果：水～
過	kɔu45	过：～去，～头
科	kʰɔu11	科：～学，文～
棵	kʰɔu45	棵：一～树
課	kʰɔu45	课：上～
臥	ŋɔu31	卧：～室，～铺
火	fɔu31	火：着～，～车
貨	fɔu45	货：～车，百～
和	fɔu41	和：～平，～气[文]
和	vɔu41	和：～尚[白]
禾	vɔu41	禾：割～，～苗
禍	fɔu31	祸：大～临头，～害
靴	sɔu11	靴：皮～
巴	pa11	巴：～掌，～结，～黎
把	pa31	把：～握，～脉
霸	pa45	霸：恶～，～王
壩	pa45	坝：堤，溪～
爸	pa31	爸：爸爸
怕	pʰa45	怕：害怕，惊～
爬	pʰa41	爬：～树
耙	pʰa41	耙：犁耙
麻	ma41	麻：天～，～烦
媽	ma11	妈：妈妈
馬	ma11	马：骑～，～虎
罵	ma45	骂：～人
拿	na11	拿：～手，推～
茶	ʦʰa41	茶：～叶
楂	ʦa11	楂：山～
渣	ʦa11	渣：药～
詐	ʦa45	诈：～骗
榨	ʦa45	榨：～菜，～油
炸	ʦa45	炸：～药
叉	ʦʰa11	叉：刀～，～腰
差	ʦʰa11	差：～别
岔	ʦʰa45	岔：～路，三～路口
査	ʦʰa41	查：调～
沙	sa11	沙：泥～，～漠
灑	sa31	洒：～水
痧	sa11	痧：发～，刮～
家	ka11	家：老～，～庭
砂	sa11	砂：朱～，～纸
加	ka11	加：～工
嘉	ka11	嘉：～宾
假	ka31	假：真～，～设，放～，～期
架	ka45	架：书～
嫁	ka45	嫁：～人
價	ka45	价：～钱，～值
牙	ŋa41	牙：～齿，刷～
芽	ŋa41	芽：豆～
衙	ŋa41	衙：～门
雅	ŋa41	雅：文～；～典（国名）
蝦	ha41	虾：鱼～，～公
嚇	hak031	吓：～人
霞	ha41	霞：晚～
下	ha11	下：～背，底～
下	ha11	下：取下，～下来
廈	ha31	厦：～门，大～
下	ha31	下：～降，～流
夏	ha31	夏：春～秋冬
暇	ha41	暇：闲～
鴉	a11	鸦：老～，乌～，～片
丫	a11	丫：～鬟，～头
啞	a31	哑：哑巴，～佬
亞	a11	亚：～洲，～军
姐	ʦia31	姐：小～[文]
姐	ʦi31	姐：姐姐[白]
借	ʦia45	借：～钱
且	ʦʰia31	且：而～，况～
些	sia11	些：一～
寫	sia31	写：～字
瀉	sia45	泻：腹～，一～千里
卸	sia45	卸：～货，推～
邪	sia41	邪：～气，～门歪道
斜	ʦʰia41	斜：倾～[文]
斜	ʦʰia45	斜：不正[白]
謝	ʦʰia31	谢：多～；姓
爹	tia11	爹：～娘
遮	ʦa11	遮：遮挡[动]；伞[名]
者	ʦa31	者：记～，作～
蔗	ʦa45	蔗：甘蔗
車	ʦʰa11	车：火～
扯	ʦʰɿ31	扯：～开，～烂
蛇	sa41	蛇：毒～
射	sa31	射：发～，～箭
麝	sa31	麝：～香
奢	ʦʰa11	奢：～侈
賒	ʦʰa11	赊：～帐
捨	sa31	舍：～唔得（舍不得）
赦	sa45	赦：～免
